X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm),Y:Pos_ROLL-?˜ë?ì²?deg),Y:Pos_PITCH-?˜ë?ì²?deg),Y:Pos_YAW-?˜ë?ì²?deg)
9.470253,446378.64,388553.82,318563.57,242791.15,167619.82,309881.49,234874.88,161096.35,94675.751,41742.947,-3.77E-28,41.427553,7289.0673,-0.000201633,-0.026950639,-0.000320106
9.480253,446409.58,388652.27,318741.58,243043.69,167924.78,309565.95,234622.27,160924.86,94586.334,41719.322,2.75E-29,41.494867,7289.0759,-0.000202147,-0.025334488,-0.00031981
9.490253,446423.72,388737.48,318914.49,243301.33,168244.55,309233.41,234362.62,160756.44,94507.796,41709.608,-2.30E-28,41.562188,7289.0844,-0.000202654,-0.023532061,-0.000319471
9.500253,446392,388782.78,319064.87,243559.37,168587.4,308871.34,234096.29,160603.84,94461.589,41737.121,7.15E-28,41.629516,7289.0931,-0.000203111,-0.021555628,-0.000319032
9.510253,446425.38,388889.11,319257.23,243832.48,168917.64,308531.59,233825.02,160420.29,94366.493,41712.696,1.61E-28,41.696851,7289.1017,-0.000203667,-0.019419131,-0.000318712
9.520253,446423.21,388964.49,319432.07,244105.87,169265.8,308168.99,233548.63,160249.07,94296.502,41717.157,-1.05E-27,41.764192,7289.1105,-0.000204186,-0.017138055,-0.000318314
9.530253,446395.25,389017.54,319594.49,244379.9,169627.54,307789.27,233268.19,160086.58,94244.641,41742.602,5.16E-28,41.83154,7289.1192,-0.000204678,-0.014729258,-0.000317861
9.540253,446429.36,389128.11,319795.48,244666.06,169974.43,307433.64,232985.14,159895.87,94146.676,41718.421,2.15E-28,41.898894,7289.128,-0.000205259,-0.012210794,-0.000317523
9.550253,446414.06,389194.25,319968.84,244947.44,170339.63,307052.71,232699.82,159725.15,94084.599,41734.105,9.09E-29,41.966255,7289.1368,-0.000205778,-0.00960174,-0.000317086
9.560253,446394.56,389256.85,320140.41,245229.33,170707.69,306668.47,232413.58,159555.75,94025.478,41753.284,1.44E-28,42.033621,7289.1456,-0.000206294,-0.006921981,-0.000316639
9.570253,446428.01,389367.75,320343.17,245518.95,171059.76,306308.1,232127.6,159363.8,93927.611,41729.995,2.94E-30,42.100994,7289.1545,-0.000206882,-0.004192006,-0.000316296
9.580253,446404.28,389426.14,320511.44,245799.09,171427.99,305923.38,231842.71,159197.17,93872.048,41752.649,2.23E-28,42.168372,7289.1634,-0.00020739,-0.001432705,-0.000315842
9.590253,446397.17,389499.01,320687.98,246079.34,171788.37,305549.05,231560.16,159024.87,93804.888,41761.915,-1.20E-28,42.235756,7289.1723,-0.000207916,0.001334866,-0.000315425
9.600253,446429.16,389606.6,320885.42,246362.01,172132.75,305196.52,231280.95,158837.83,93709.848,41739.669,-1.03E-28,42.303145,7289.1813,-0.000208489,0.004089694,-0.000315088
9.610253,446402.71,389659.55,321045.34,246631.41,172489.11,304823.59,231006.21,158678.68,93658.758,41764.217,8.27E-28,42.37054,7289.1903,-0.000208975,0.006811024,-0.000314644
9.620253,446410.8,389742.43,321222.07,246900.4,172828.09,304473.14,230736.83,158507.95,93583.584,41760.808,2.74E-28,42.43794,7289.1993,-0.000209497,0.009478586,-0.000314275
9.630253,446441.13,389843.75,321407.75,247166.22,173152.22,304140.83,230473.68,158331.48,93493.567,41739.291,-2.86E-28,42.505345,7289.2083,-0.000210037,0.012072794,-0.000313959
9.640253,446417.96,389894.08,321556.83,247416.36,173482.82,303794.29,230217.96,158182.52,93444.503,41760.458,-1.20E-28,42.572755,7289.2174,-0.00021049,0.014574944,-0.00031355
