X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm),Y:Pos_ROLL-?˜ë?ì²?deg),Y:Pos_PITCH-?˜ë?ì²?deg),Y:Pos_YAW-?˜ë?ì²?deg)
2.390253,314185.97,261416.18,208183.04,156653.7,108995.32,336619.81,284532.12,231028.45,178301.16,128542.57,-1.09E-27,7.0984362,7297.8894,4.11E-05,-0.15034535,-0.000226091
2.400253,313937.74,261285.85,208178.06,156766.28,109202.44,336374.83,284399.49,231020.25,178414.08,128757.96,1.52E-26,7.1553628,7297.8906,4.11E-05,-0.1523421,-0.000225561
2.410253,317066.99,262983.02,208343.97,155492.61,106771.72,339298.92,285955.05,231058.17,176977.62,126082.75,2.08E-26,7.2124945,7297.8892,4.12E-05,-0.1542793,-0.000232026
2.420253,312478.03,260494.5,208098.29,157356.31,110335.44,335043.97,283709.4,231035.58,179113.81,130035.36,-1.89E-26,7.2698312,7297.8883,4.11E-05,-0.15614359,-0.000222559
2.430253,317238.34,263072.26,208345.48,155412.06,106626.04,339512.94,286093,231109.04,176941.84,125972.15,4.48E-26,7.3273725,7297.8837,4.13E-05,-0.15791349,-0.000232398
2.440253,314166.98,261396.7,208163.87,156635.63,108979.11,336703.2,284619.01,231115.23,178384.28,128618.58,1.00E-26,7.3851182,7297.8799,4.13E-05,-0.15957714,-0.000226093
2.450253,314857.32,261758.02,208175.22,156318.96,108399.28,337403.53,285006.78,231155.6,178085.71,128032.84,-2.76E-26,7.443068,7297.8742,4.14E-05,-0.16111475,-0.000227573
2.460253,316929.23,262869.01,208259.16,155438.81,106747.14,339391.86,286079.32,231209.87,177149.42,126263.88,5.31E-27,7.5012217,7297.8672,4.16E-05,-0.16251082,-0.000231911
2.470253,313096.61,260770,208014.04,156938.5,109653.15,335918.08,284265.33,231232.32,178953.82,129564.61,1.64E-26,7.5595789,7297.861,4.16E-05,-0.16375172,-0.00022409
2.480253,317569.15,263186.52,208233.58,155093.81,106150.66,340137.82,286523.39,231312.92,176917.14,125746.74,-2.96E-26,7.6181394,7297.8522,4.18E-05,-0.16481854,-0.000233366
2.490253,314170.04,261318.88,208006.94,156411.24,108708.78,337079.03,284930.52,231345.1,178525.47,128674.35,-8.74E-27,7.676903,7297.8449,4.18E-05,-0.16570177,-0.000226444
2.500253,315608.64,262081.9,208049.95,155778.94,107535,338491.13,285700.03,231400.46,177885.04,127446.41,-4.29E-26,7.7358693,7297.8362,4.20E-05,-0.16638484,-0.000229486
2.510253,316717.47,262666.15,208074.18,155278.68,106616.8,339594.45,286305.38,231450.31,177393.51,126499.21,2.41E-26,7.7950382,7297.8275,4.21E-05,-0.16685744,-0.000231854
2.520253,313680.04,260991.65,207858.77,156436.82,108881.22,336880.41,284896.07,231485.61,178830.2,129111.02,1.78E-27,7.8544092,7297.8199,4.22E-05,-0.16711026,-0.0002257
2.530253,317723.2,263179.89,208063.13,154777.97,105729.47,340674.4,286921.75,231545.67,176979.03,125654.68,2.36E-26,7.9139822,7297.8106,4.24E-05,-0.16713127,-0.000234076
2.540253,314202.54,261242.88,207823.64,156135.26,108368.17,337511.5,285273.19,231577.69,178641.59,128681.49,6.10E-26,7.9737569,7297.8034,4.24E-05,-0.16691733,-0.000226915
2.550253,316201.95,262318.53,207912.84,155298.47,106789,339407.26,286289.06,231615.96,177728.73,126968.16,1.23E-26,8.033733,7297.7951,4.26E-05,-0.16645933,-0.00023108
2.560253,316469.79,262450.89,207901.32,155153.04,106538,339703.23,286457.54,231641.42,177614.23,126735.33,-9.01E-27,8.0939102,7297.7877,4.26E-05,-0.16575566,-0.00023169
2.570253,314226.51,261213.15,207740.51,156005.69,108205.8,337695,285410.82,231660.71,178668.14,128656.58,2.40E-27,8.1542884,7297.7814,4.27E-05,-0.16480483,-0.000227149
2.580253,317745.9,263130.06,207941.42,154594.62,105504.31,340940.87,287128.31,231678.76,177034.97,125639.71,3.51E-27,8.2148671,7297.774,4.27E-05,-0.16360484,-0.000234391
2.590253,314279.32,261228.22,207716.54,155946.22,108119.23,337797.11,285478.71,231689.38,178657.52,128611.54,1.42E-26,8.2756461,7297.7689,4.27E-05,-0.16216153,-0.000227316
2.600253,316665.38,262531.28,207860.7,155001.18,106300.27,339976.43,286624.16,231687.22,177540.73,126559.87,1.88E-26,8.3366252,7297.7628,4.27E-05,-0.16047569,-0.000232206
2.610253,316228.4,262291.54,207832.51,155171.83,106629.98,339567.96,286403.43,231675.91,177733.28,126923.43,2.20E-26,8.3978041,7297.758,4.27E-05,-0.1585561,-0.000231313
2.620253,314748.47,261482.81,207742.1,155756.57,107756.45,338200.86,285676.4,231660.19,178409.11,128180.05,2.32E-26,8.4591826,7297.7538,4.27E-05,-0.15641066,-0.000228282
2.630253,317689.74,263102.99,207945.27,154627.16,105559.25,340832.62,287045.23,231626.39,177014.72,125648.82,1.61E-28,8.5207603,7297.7488,4.26E-05,-0.15404821,-0.000234259
2.640253,314421.52,261319.99,207753.17,155929.75,108058.42,337818.93,285448.17,231604.81,178523.95,128440.69,6.29E-27,8.5825369,7297.7457,4.25E-05,-0.15148396,-0.000227545
2.650253,317038.07,262769.78,207951.88,154950.74,106132.77,340121.76,286633.69,231552.16,177271.14,126184.58,4.50E-27,8.6445123,7297.7414,4.24E-05,-0.1487286,-0.000232819
2.660253,316037.26,262235.87,207917.38,155384.28,106939.07,339134.86,286089.71,231503.22,177704.89,127024.22,-3.27E-27,8.7066861,7297.7381,4.23E-05,-0.14580055,-0.000230709
2.670253,315268.48,261831.6,207901.82,155732.69,107577.78,338347.5,285647.33,231446.43,178024.89,127662.82,3.61E-28,8.7690581,7297.7347,4.22E-05,-0.14271607,-0.000229065
2.680253,317609.97,263142.28,208104.43,154891.1,105897,340351.68,286661.8,231364.7,176882.61,125637.73,-4.73E-27,8.831628,7297.7303,4.20E-05,-0.13949317,-0.000233735
2.690253,314655.38,261541.43,207952.74,156100.4,108195.5,337572.66,285173.41,231312.16,178226.03,128152.12,-1.00E-26,8.8943955,7297.7271,4.18E-05,-0.13615424,-0.000227617
2.700253,317365.36,263062.13,208195.75,155138.52,106262.73,339880.62,286338.28,231213.02,176904.24,125811.33,2.08E-26,8.9573604,7297.7219,4.16E-05,-0.13271741,-0.000233
2.710253,315942.01,262307.68,208156.45,155769.32,107427.26,338460.25,285552.87,231136.89,177519.59,127008.23,2.18E-27,9.0205224,7297.7172,4.14E-05,-0.12920752,-0.000229977
2.720253,315816.39,262269.82,208209.67,155905.41,107626.47,338198.51,285369.66,231045.14,177520.45,127091.09,-9.94E-27,9.0838812,7297.7113,4.11E-05,-0.12564588,-0.000229586
2.730253,317564.12,263268.81,208401.46,155334.19,106439.11,339605.94,286053.61,230931.11,176637.22,125570.72,-6.62E-27,9.1474366,7297.7041,4.09E-05,-0.12205571,-0.000232984
2.740253,315012.05,261895.45,208289.28,156406.32,108459.32,337158.77,284730.6,230858.52,177780.63,127735.06,-1.29E-26,9.2111883,7297.6967,4.07E-05,-0.11846242,-0.000227657
2.750253,317697.48,263417.38,208559.06,155493.23,106590.63,339389.02,285838.35,230727.69,176454.09,125414.6,-2.39E-27,9.2751359,7297.6867,4.03E-05,-0.11488716,-0.000232931
2.760253,315991.02,262512.21,208510.89,156248.67,107987.2,337690.72,284902.51,230642.13,177196.61,126852.96,1.34E-26,9.3392793,7297.6764,4.01E-05,-0.11135629,-0.000229308
2.770253,316427.72,262792.56,208619.8,156192.47,107793.62,337902.85,284957.94,230529.34,176925.45,126454.67,1.91E-26,9.4036182,7297.6638,3.98E-05,-0.1078914,-0.000230023
2.780253,317612.51,263488.83,208787.21,155857.82,107050.85,338776.72,285355.66,230404.84,176300.09,125417.27,1.34E-26,9.4681523,7297.6492,3.95E-05,-0.10451571,-0.000232246
2.790253,315525.94,262372.75,208709.35,156754.98,108728.9,336742.62,284248.01,230327.25,177224.16,127182.57,-3.35E-27,9.5328813,7297.6333,3.93E-05,-0.10125244,-0.000227859
2.800253,318088.19,263835,208985.88,155909.75,106975.53,338837.24,285277.86,230184.19,175950.59,124971.42,1.29E-27,9.597805,7297.6142,3.90E-05,-0.098120593,-0.000232852
2.810253,316233.08,262846.05,208924.23,156718.7,108480.57,337013.51,284281.07,230107.65,176768.84,126540.18,1.61E-26,9.662923,7297.5938,3.88E-05,-0.095142715,-0.000228933
2.820253,317139.96,263389.62,209073.7,156492.72,107947.17,337640.05,284551.25,229989.04,176278.56,125744.95,4.38E-27,9.7282352,7297.5703,3.85E-05,-0.092335584,-0.000230587
2.830253,317814.5,263804.57,209205.47,156353.62,107585.46,338061.26,284715.81,229874.65,175898.93,125149.76,2.88E-27,9.7937413,7297.5444,3.82E-05,-0.089717297,-0.000231773
2.840253,316228.49,262961.46,209157.22,157051.88,108881.55,336491.99,283856.51,229804.5,176595.96,126490.89,5.57E-28,9.8594409,7297.5163,3.80E-05,-0.087304065,-0.000228413
2.850253,318589.01,264315.07,209423.64,156288.53,107283.54,338406.35,284793.56,229665.96,175421.96,124459.97,-7.71E-28,9.9253338,7297.4845,3.76E-05,-0.085108097,-0.000232991
2.860253,316708.74,263305.79,209348.24,157091.08,108789.31,336589.62,283811.31,229610.59,176266.15,126056.66,2.27E-26,9.9914198,7297.451,3.75E-05,-0.083143647,-0.000229045
2.870253,317984.43,264054.35,209526.04,156726.45,107982.52,337553.8,284260.79,229496.03,175610.48,124955.08,-1.22E-26,10.057699,7297.4139,3.72E-05,-0.081418764,-0.000231445
