epoch,loss,mean_absolute_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,138316.859375,325.6492004394531,164.20034790039062,77298.96875,248.6807403564453,167.9592742919922
1,113029.984375,290.2913513183594,146.02830505371094,60444.66015625,218.80970764160156,155.81216430664062
2,91822.421875,259.31854248046875,131.26580810546875,47439.44921875,191.00962829589844,145.0260009765625
3,74634.765625,232.95408630371094,119.84349822998047,38054.2109375,165.83717346191406,135.99122619628906
4,61291.75,211.7967071533203,111.75778198242188,31993.919921875,145.0411376953125,129.5790252685547
5,51482.7421875,194.67137145996094,105.9853744506836,29042.01953125,129.98046875,126.2846908569336
6,45061.453125,182.14341735839844,102.73120880126953,28718.220703125,123.88538360595703,127.91370391845703
7,41563.56640625,173.80406188964844,101.64256286621094,30402.3125,124.74198913574219,133.06326293945312
8,40425.578125,168.68331909179688,101.99211120605469,33364.1796875,130.2325897216797,140.30560302734375
9,40957.85546875,166.0062713623047,103.24592590332031,36872.8203125,137.73155212402344,147.89010620117188
10,42470.1171875,165.0523223876953,104.96966552734375,40271.421875,144.9619903564453,154.5328369140625
11,44305.15234375,164.95355224609375,106.6336441040039,43045.390625,151.15504455566406,159.73939514160156
12,45936.02734375,165.40695190429688,108.05963134765625,44832.28515625,155.40298461914062,163.0554962158203
13,46951.20703125,165.48550415039062,108.80728912353516,45507.50390625,157.1451873779297,164.2774200439453
14,47219.30859375,164.99737548828125,108.84282684326172,45127.1953125,156.49610900878906,163.53277587890625
15,46733.734375,163.86712646484375,108.18159484863281,43806.94140625,153.6551971435547,161.04037475585938
16,45558.203125,162.07594299316406,106.8592758178711,41748.02734375,149.10816955566406,157.11148071289062
17,43859.46875,159.8867950439453,105.0487060546875,39186.29296875,143.3864288330078,152.12754821777344
18,41831.140625,157.4939727783203,102.8952407836914,36346.609375,137.25584411621094,146.5757293701172
19,39651.96875,155.0682373046875,100.5249252319336,33448.55859375,130.95077514648438,140.70065307617188
20,37501.4375,152.89947509765625,98.12828826904297,30691.802734375,124.78968048095703,134.783447265625
21,35544.31640625,151.06097412109375,95.8084945678711,28207.982421875,119.16610717773438,129.0933074951172
22,33868.875,149.5834197998047,93.63728332519531,26066.9296875,114.49861907958984,123.92276000976562
23,32518.193359375,148.49716186523438,91.68218994140625,24301.939453125,110.84941864013672,119.4103775024414
24,31503.447265625,147.82501220703125,90.00251007080078,22905.310546875,108.36140441894531,115.71875762939453
25,30800.62109375,147.54281616210938,88.61185455322266,21832.814453125,106.95404052734375,112.81856536865234
26,30341.69921875,147.49098205566406,87.44829559326172,21034.84765625,106.31919860839844,110.5763931274414
27,30043.6015625,147.5002899169922,86.46125030517578,20444.90234375,106.0092544555664,108.76160430908203
28,29831.833984375,147.45457458496094,85.6085433959961,19984.5390625,105.68156433105469,107.19353485107422
29,29615.2890625,147.2145233154297,84.82424926757812,19575.541015625,105.16553497314453,105.78804016113281
30,29322.15625,146.64437866210938,84.0386734008789,19177.3125,104.44694519042969,104.53678894042969
31,28913.13671875,145.68284606933594,83.21392822265625,18772.068359375,103.47938537597656,103.38912963867188
32,28370.984375,144.32479858398438,82.34033203125,18356.646484375,102.23278045654297,102.31863403320312
33,27694.564453125,142.54737854003906,81.39356994628906,17944.30078125,100.75361633300781,101.3293228149414
