epoch,loss,mean_absolute_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,3174844.0,1709.518310546875,1056.7474365234375,2781488.5,1609.85302734375,1169.2113037109375
1,3026233.25,1666.206787109375,1027.621337890625,2646501.75,1567.7100830078125,1135.850830078125
2,2883592.25,1623.7496337890625,999.1939697265625,2515279.75,1525.54833984375,1102.34765625
3,2744739.25,1581.238525390625,970.6588134765625,2389353.75,1483.92822265625,1069.2996826171875
4,2611378.5,1539.264892578125,942.46728515625,2266519.75,1442.239501953125,1036.2401123046875
5,2481141.75,1497.2132568359375,914.2637329101562,2148118.5,1400.8751220703125,1003.4189453125
6,2355490.75,1455.482421875,886.26416015625,2033440.0,1359.6103515625,970.676513671875
7,2233759.25,1413.878662109375,858.3441772460938,1922929.75,1318.640869140625,938.158203125
8,2116329.25,1372.5689697265625,830.6263427734375,1816386.0,1277.93994140625,905.8934936523438
9,2002946.125,1331.51123046875,803.1036376953125,1713599.375,1237.3828125,873.7052001953125
10,1893514.0,1290.61865234375,775.662353515625,1615141.5,1197.2724609375,841.891845703125
11,1788522.875,1250.1588134765625,748.529541015625,1520511.625,1157.4129638671875,810.2717895507812
12,1687509.5,1209.9537353515625,721.5604248046875,1429642.125,1117.8162841796875,778.8629760742188
13,1590398.0,1170.014892578125,694.772705078125,1342732.0,1078.6123046875,747.7728271484375
14,1497392.25,1130.4708251953125,668.2569580078125,1259679.25,1039.775634765625,716.9683227539062
15,1408402.625,1091.29931640625,641.9886474609375,1180433.125,1001.3306884765625,686.4710693359375
16,1323375.625,1052.5281982421875,615.9903564453125,1104803.5,963.2526245117188,656.28759765625
17,1242093.875,1014.120361328125,590.2506103515625,1032995.875,925.6715698242188,626.49853515625
18,1164795.75,976.2155151367188,564.8501586914062,964897.75,888.583740234375,597.0979614257812
19,1091358.125,938.8053588867188,539.7811889648438,900345.3125,851.964599609375,568.0718994140625
20,1021615.0625,901.86767578125,515.0327758789062,839260.0,815.839111328125,539.4436645507812
21,955490.625,865.431396484375,490.62945556640625,781702.3125,780.30126953125,511.2892761230469
22,893043.25,829.58154296875,466.6227722167969,727531.3125,745.3380126953125,483.59088134765625
23,834133.8125,794.3103637695312,443.0064392089844,676598.125,710.9337158203125,456.3403015136719
24,778609.625,759.6005249023438,419.7701416015625,628793.1875,677.1170654296875,429.56463623046875
25,726361.5625,725.48583984375,396.944091796875,584143.1875,643.9628295898438,403.3125915527344
26,677423.0,692.038330078125,374.5655517578125,542498.75,611.4796142578125,377.6008605957031
27,631634.9375,659.2647705078125,352.64642333984375,503707.75,579.6517333984375,352.41766357421875
28,588846.1875,627.1558837890625,331.1827087402344,467697.75,548.5191650390625,327.791015625
29,548979.25,595.77001953125,310.2301330566406,434350.0625,518.29931640625,303.9473876953125
30,511920.90625,565.4525756835938,290.22607421875,403581.53125,492.9450988769531,285.14630126953125
31,477583.53125,537.2042846679688,272.2215881347656,375247.9375,472.0018310546875,270.45849609375
32,445817.53125,511.2460632324219,256.20611572265625,349224.875,452.85150146484375,257.5420227050781
33,416495.96875,487.64007568359375,242.30221557617188,325355.25,434.9544982910156,245.77548217773438
34,389459.625,466.5550231933594,230.59585571289062,303625.875,417.9447021484375,234.7503204345703
35,364706.71875,449.3558349609375,222.0352020263672,283797.40625,401.6464538574219,224.3284912109375
36,341966.90625,435.19378662109375,215.9206085205078,265853.4375,386.106201171875,214.53732299804688
37,321242.1875,423.4394836425781,211.687744140625,249652.109375,371.4234619140625,207.00473022460938
38,302384.34375,412.97808837890625,208.34426879882812,235084.921875,357.82049560546875,201.19578552246094
39,285285.78125,403.3627014160156,205.5570526123047,221985.109375,345.3407287597656,196.65045166015625
40,269768.21875,394.5032043457031,203.27606201171875,210267.765625,333.8460693359375,193.05760192871094
41,255747.78125,386.3606872558594,201.4255828857422,199866.90625,323.5196533203125,190.45628356933594
42,243160.703125,378.9168395996094,199.97877502441406,190593.25,315.6542053222656,189.62303161621094
43,231797.328125,372.1253662109375,199.0204620361328,182425.296875,309.9888916015625,190.29051208496094
44,221652.3125,366.76556396484375,198.9468231201172,175229.53125,305.63031005859375,191.8013916015625
45,212580.671875,362.31976318359375,199.3722686767578,168893.546875,303.0606384277344,194.447265625
46,204465.671875,358.4726257324219,200.0951690673828,163347.421875,301.7485046386719,197.8055419921875
47,197232.59375,355.0767822265625,201.00083923339844,158505.296875,300.88677978515625,201.3057861328125
48,190797.40625,351.99298095703125,201.98983764648438,154316.1875,300.27935791015625,204.80142211914062
49,185108.5625,349.2587585449219,203.07740783691406,150668.578125,299.83721923828125,208.24441528320312
50,180045.484375,346.91888427734375,204.30482482910156,147504.640625,299.55426025390625,211.61888122558594
51,175544.1875,344.9807434082031,205.6742706298828,144749.5625,299.3540344238281,214.83493041992188
52,171533.34375,343.2295837402344,207.0172576904297,142382.0,299.2983093261719,217.97265625
53,167987.390625,341.7146911621094,208.3840789794922,140309.546875,299.2631530761719,220.93887329101562
54,164803.515625,340.3265380859375,209.7037353515625,138490.546875,299.23114013671875,223.71412658691406
55,161946.28125,339.0768127441406,210.97926330566406,136868.59375,299.1787414550781,226.27732849121094
56,159352.1875,337.8357849121094,212.1086883544922,135382.546875,299.0502624511719,228.57553100585938
57,156964.984375,336.57476806640625,213.07147216796875,134027.765625,298.8633117675781,230.59300231933594
58,154788.109375,335.3292236328125,213.88116455078125,132755.234375,298.6217956542969,232.43246459960938
59,152730.1875,334.0231018066406,214.5292510986328,131478.125,298.19659423828125,233.97364807128906
60,150712.546875,332.5968933105469,214.97433471679688,130171.25,297.5476379394531,235.15640258789062
61,148710.625,331.008544921875,215.1404266357422,129000.8671875,296.9363708496094,236.1681671142578
62,146936.625,329.5882873535156,215.30140686035156,127850.578125,296.2587585449219,237.0785369873047
63,145208.84375,328.11993408203125,215.39315795898438,126730.8203125,295.5453796386719,237.87094116210938
64,143539.578125,326.617919921875,215.36061096191406,125567.03125,294.7157287597656,238.4208526611328
65,141871.140625,325.04736328125,215.1561737060547,124391.7109375,293.82879638671875,238.7761688232422
66,140254.46875,323.4852294921875,214.85523986816406,123146.65625,292.83233642578125,238.8889923095703
67,138604.734375,321.8199462890625,214.38571166992188,121873.6640625,291.7551574707031,238.82394409179688
68,136917.953125,320.045166015625,213.72984313964844,120528.4765625,290.4938659667969,238.54159545898438
69,135215.078125,318.20819091796875,212.95046997070312,119162.296875,289.0972595214844,238.037353515625
70,133542.609375,316.3573913574219,212.10018920898438,117786.921875,287.6369934082031,237.42298889160156
71,131903.25,314.5032653808594,211.2008056640625,116430.78125,286.1771240234375,236.721435546875
72,130273.2421875,312.62945556640625,210.23374938964844,115033.125,284.6103210449219,235.90380859375
73,128617.3515625,310.66748046875,209.14144897460938,113607.9921875,282.9866943359375,234.99273681640625
74,126988.2734375,308.7068176269531,208.01625061035156,112195.3359375,281.36712646484375,234.03062438964844
75,125355.0625,306.7269592285156,206.8282470703125,110700.671875,279.5806579589844,232.8596954345703
76,123665.90625,304.64910888671875,205.51698303222656,109202.0390625,277.68341064453125,231.55828857421875
77,121992.421875,302.5588073730469,204.14573669433594,107649.5703125,275.61627197265625,230.07330322265625
78,120312.78125,300.4401550292969,202.71078491210938,106106.3125,273.51165771484375,228.48313903808594
79,118640.125,298.3107604980469,201.22909545898438,104601.6171875,271.3965148925781,226.84730529785156
80,117025.515625,296.2333679199219,199.76953125,103072.359375,269.2237548828125,225.16424560546875
81,115388.4765625,294.1071472167969,198.24302673339844,101581.828125,267.1025390625,223.52609252929688
82,113788.0625,291.9952392578125,196.71812438964844,100086.8515625,264.96343994140625,221.85816955566406
83,112197.0390625,289.85137939453125,195.1624298095703,98576.7734375,262.82989501953125,220.1611785888672
84,110586.71875,287.64849853515625,193.5494384765625,97048.15625,260.6246643066406,218.38385009765625
85,108945.8046875,285.36669921875,191.85247802734375,95570.9140625,258.4510803222656,216.61572265625
86,107395.015625,283.1907958984375,190.23666381835938,94129.6328125,256.3002014160156,214.86257934570312
87,105875.1328125,281.0418701171875,188.63084411621094,92659.7109375,254.0478057861328,213.01699829101562
88,104325.65625,278.828857421875,186.95217895507812,91203.3671875,251.7274627685547,211.10789489746094
89,102810.6015625,276.6547546386719,185.29168701171875,89770.421875,249.42250061035156,209.20150756835938
90,101305.9140625,274.46417236328125,183.61659240722656,88375.40625,247.20445251464844,207.37330627441406
91,99847.1640625,272.28228759765625,181.96900939941406,86978.8984375,245.05401611328125,205.5944061279297
92,98376.5,270.0054016113281,180.26438903808594,85616.6796875,242.9800567626953,203.87864685058594
93,96939.328125,267.7612609863281,178.59320068359375,84280.6328125,240.91400146484375,202.1800079345703
94,95524.375,265.5693359375,176.95156860351562,82968.328125,238.8050079345703,200.45191955566406
95,94148.0078125,263.4688720703125,175.37103271484375,81644.2421875,236.59503173828125,198.64544677734375
96,92752.4921875,261.3107604980469,173.73597717285156,80375.546875,234.44615173339844,196.91163635253906
97,91413.5234375,259.2424011230469,172.18045043945312,79109.65625,232.29977416992188,195.18179321289062
98,90083.625,257.1894836425781,170.63885498046875,77886.2734375,230.21617126464844,193.51007080078125
99,88794.671875,255.19378662109375,169.1460723876953,76683.078125,228.18939208984375,191.88653564453125
100,87522.15625,253.21043395996094,167.67025756835938,75490.2890625,226.2057647705078,190.3033905029297
101,86253.8125,251.2154998779297,166.19178771972656,74319.4140625,224.27589416503906,188.7731475830078
102,85004.2890625,249.23731994628906,164.7353515625,73172.53125,222.40147399902344,187.29856872558594
103,83772.390625,247.2783966064453,163.3050537109375,72041.4765625,220.56857299804688,185.8636932373047
104,82554.375,245.33782958984375,161.89756774902344,70925.078125,218.71340942382812,184.4212646484375
105,81350.234375,243.41641235351562,160.5086212158203,69818.03125,216.8246612548828,182.96194458007812
106,80160.7734375,241.50140380859375,159.1261749267578,68712.0390625,214.8961181640625,181.47616577148438
107,78964.15625,239.5550537109375,157.72337341308594,67607.7734375,212.92417907714844,179.9586181640625
108,77775.5390625,237.6090087890625,156.32493591308594,66518.1640625,210.9612579345703,178.45269775390625
109,76588.4453125,235.6512908935547,154.92098999023438,65446.23046875,209.02032470703125,176.96942138671875
110,75434.671875,233.73976135253906,153.56533813476562,64392.0234375,207.12905883789062,175.53797912597656
111,74290.21875,231.8225555419922,152.2139434814453,63351.34765625,205.279052734375,174.15005493164062
112,73155.21875,229.9099884033203,150.8777313232422,62343.83984375,203.50411987304688,172.84500122070312
113,72045.796875,228.03732299804688,149.58653259277344,61355.76171875,201.76710510253906,171.5832061767578
114,70951.0703125,226.1764678955078,148.31346130371094,60394.37109375,200.1104278564453,170.38388061523438
115,69883.515625,224.34913635253906,147.07177734375,59450.83984375,198.5304412841797,169.24972534179688
116,68830.7109375,222.54527282714844,145.8544921875,58526.5234375,196.98326110839844,168.15081787109375
117,67793.984375,220.780029296875,144.67051696777344,57613.2421875,195.4288330078125,167.0519561767578
118,66766.921875,219.02215576171875,143.49771118164062,56710.8125,193.85581970214844,165.95127868652344
119,65752.234375,217.2716827392578,142.33932495117188,55818.6796875,192.25706481933594,164.8428497314453
120,64749.6796875,215.5250701904297,141.19102478027344,54935.01171875,190.64016723632812,163.7244110107422
121,63755.8125,213.77548217773438,140.04339599609375,54052.55078125,188.98890686035156,162.5775146484375
122,62763.48828125,212.00694274902344,138.87799072265625,53185.68359375,187.3620147705078,161.44866943359375
123,61784.2890625,210.25662231445312,137.7295684814453,52335.3984375,185.73971557617188,160.33628845214844
124,60825.4921875,208.5286865234375,136.6063690185547,51502.4140625,184.16912841796875,159.264892578125
125,59881.375,206.8235321044922,135.50222778320312,50677.5859375,182.63624572753906,158.22518920898438
126,58943.140625,205.1176300048828,134.40203857421875,49866.70703125,181.13824462890625,157.22003173828125
127,58015.3515625,203.42718505859375,133.31954956054688,49077.2734375,179.6835174560547,156.2494354248047
128,57111.23046875,201.76953125,132.26219177246094,48301.29296875,178.26980590820312,155.3114471435547
129,56219.75,200.12547302246094,131.218505859375,47532.98046875,176.8997344970703,154.40614318847656
130,55333.94921875,198.48013305664062,130.1781463623047,46773.85546875,175.53424072265625,153.50296020507812
131,54457.35546875,196.83901977539062,129.13723754882812,46025.71875,174.13931274414062,152.58026123046875
132,53594.08203125,195.20709228515625,128.10302734375,45285.09375,172.69921875,151.62672424316406
133,52742.7265625,193.58090209960938,127.07389831542969,44557.08203125,171.22486877441406,150.6529083251953
134,51907.26171875,191.96859741210938,126.0567398071289,43842.53515625,169.7707977294922,149.6964569091797
135,51086.125,190.37460327148438,125.05374908447266,43131.0234375,168.33599853515625,148.74887084960938
136,50266.54296875,188.76712036132812,124.03781127929688,42431.078125,166.93116760253906,147.81906127929688
137,49457.54296875,187.17076110839844,123.02909088134766,41747.421875,165.55995178222656,146.91912841796875
138,48668.48828125,185.60458374023438,122.04785919189453,41075.58984375,164.22474670410156,146.04335021972656
139,47889.9140625,184.04693603515625,121.07134246826172,40413.5078125,162.92332458496094,145.1909942626953
140,47119.6171875,182.4983367919922,120.09896087646484,39769.06640625,161.63995361328125,144.35740661621094
141,46369.35546875,180.9801788330078,119.1521987915039,39123.12109375,160.3187713623047,143.4873809814453
