epoch,loss,mean_absolute_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,380673.125,588.3698120117188,398.87713623046875,329505.0625,553.8352661132812,450.281982421875
1,332251.875,546.4180297851562,366.1090393066406,284880.8125,511.7117614746094,411.2726745605469
2,287363.40625,504.7855529785156,333.3629150390625,244134.84375,470.13079833984375,372.845458984375
3,246369.265625,463.8345947265625,301.0986328125,207060.96875,429.2145690917969,334.5954895019531
4,209212.203125,423.2597961425781,268.9140319824219,173808.609375,388.9311218261719,296.8558654785156
5,175981.78125,383.3263854980469,237.18734741210938,144463.234375,349.96246337890625,260.130126953125
6,146733.84375,344.399169921875,206.25332641601562,118762.9765625,312.1466369628906,224.25161743164062
7,121225.5390625,306.82098388671875,176.32009887695312,96654.1328125,275.9405822753906,189.87696838378906
8,99379.8046875,271.5611877441406,148.36122131347656,78003.34375,245.2936248779297,162.63644409179688
9,81079.453125,241.0459747314453,126.9621353149414,62617.7109375,218.68234252929688,141.58245849609375
10,66104.0,216.18455505371094,112.08618927001953,50267.765625,195.07101440429688,125.56819152832031
11,54213.69140625,196.4608612060547,103.21162414550781,40709.33203125,174.6001739501953,112.65131378173828
12,45150.54296875,180.86265563964844,99.6913833618164,33665.7265625,159.6848602294922,105.68190002441406
13,38624.98828125,169.43255615234375,100.04522705078125,28799.654296875,146.7321014404297,100.38577270507812
14,34279.375,160.5008544921875,102.01470947265625,25754.833984375,135.903564453125,96.58837890625
15,31746.74609375,153.71588134765625,105.48745727539062,24150.73828125,129.06304931640625,98.60718536376953
16,30630.10546875,149.13265991210938,110.34541320800781,23686.875,125.49116516113281,106.46482849121094
17,30611.32421875,146.32403564453125,115.6907730102539,23959.20703125,123.12828063964844,114.04020690917969
18,31300.677734375,144.58285522460938,120.86980438232422,24678.6796875,121.66767883300781,121.01969909667969
19,32359.7109375,143.76455688476562,125.65536499023438,25598.32421875,121.21358489990234,127.40599060058594
20,33555.765625,143.53614807128906,129.86453247070312,26501.572265625,121.84383392333984,133.11610412597656
21,34667.5234375,143.45138549804688,133.20956420898438,27213.783203125,122.5914306640625,137.39031982421875
22,35512.53515625,143.303466796875,135.71421813964844,27621.09375,122.91830444335938,140.0365753173828
23,35988.11328125,142.87205505371094,137.2930450439453,27679.888671875,122.56620788574219,141.13595581054688
24,36045.5234375,141.99276733398438,137.69384765625,27299.375,121.43136596679688,140.51890563964844
25,35598.515625,140.4165802001953,136.77737426757812,26541.63671875,119.48567962646484,138.3630828857422
26,34690.49609375,138.16555786132812,134.6676025390625,25474.71875,116.80361938476562,134.92288208007812
