epoch,loss,mean_absolute_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,5179946.5,2238.553955078125,894.6904296875,4784439.5,2164.43798828125,818.4029541015625
1,4984854.5,2195.18212890625,877.84619140625,4603166.5,2122.298583984375,802.8948974609375
2,4796992.0,2152.651123046875,861.3043212890625,4424694.0,2079.989990234375,787.3204345703125
3,4612400.5,2110.043212890625,844.7376098632812,4251136.5,2037.9735107421875,771.8711547851562
4,4432690.0,2067.68212890625,828.285888671875,4081920.75,1996.18896484375,756.493896484375
5,4257327.0,2025.5323486328125,811.8928833007812,3917093.25,1954.6458740234375,741.1941528320312
6,4086472.75,1983.621826171875,795.5863037109375,3756014.25,1913.1483154296875,725.9273071289062
7,3919613.0,1941.78759765625,779.33056640625,3599639.25,1871.9842529296875,710.7839965820312
8,3757488.25,1900.2620849609375,763.1950073242188,3447478.5,1831.0565185546875,695.7210083007812
9,3599744.0,1858.9852294921875,747.1491088867188,3299219.5,1790.2830810546875,680.7160034179688
10,3446038.75,1817.8675537109375,731.1661987304688,3155013.5,1749.709716796875,665.7854614257812
11,3296487.5,1776.94384765625,715.259521484375,3014570.75,1709.2791748046875,650.906005859375
12,3150830.5,1736.1700439453125,699.40771484375,2878055.75,1669.0565185546875,636.096435546875
13,3009225.5,1695.6036376953125,683.6310424804688,2745658.0,1629.0806884765625,621.3875122070312
14,2871885.25,1655.291015625,667.96484375,2616833.25,1589.2242431640625,606.7213745117188
15,2738215.5,1615.094970703125,652.340087890625,2492532.0,1549.81201171875,592.2138671875
16,2609224.25,1575.349853515625,636.8873901367188,2372478.25,1510.7681884765625,577.8436889648438
17,2484580.75,1535.966064453125,621.576416015625,2256368.75,1472.030029296875,563.5852661132812
18,2364031.25,1496.8973388671875,606.3878173828125,2144075.75,1433.5780029296875,549.4293212890625
19,2247398.75,1458.10986328125,591.30517578125,2035752.5,1395.489013671875,535.406982421875
20,2134876.75,1419.6922607421875,576.3662109375,1931296.5,1357.7515869140625,521.5144653320312
21,2026366.375,1381.6358642578125,561.568359375,1830535.5,1320.333984375,507.73846435546875
22,1921651.75,1343.8939208984375,546.891357421875,1733750.75,1283.3748779296875,494.13006591796875
23,1821052.0,1306.6171875,532.3943481445312,1640697.0,1246.811767578125,480.6678466796875
24,1724301.75,1269.738525390625,518.0523071289062,1551215.625,1210.624267578125,467.3415222167969
25,1631243.875,1233.238525390625,503.854736328125,1465325.125,1174.834228515625,454.1650085449219
26,1541906.625,1197.14404296875,489.81890869140625,1383089.625,1139.5343017578125,441.1645202636719
27,1456329.25,1161.5364990234375,475.9673156738281,1304324.625,1104.67138671875,428.3255310058594
28,1374343.25,1126.37158203125,462.2883605957031,1228951.875,1070.2635498046875,415.65087890625
29,1295867.75,1091.6661376953125,448.78466796875,1156864.0,1036.288330078125,403.13720703125
30,1220785.625,1057.3970947265625,435.4521179199219,1088123.125,1002.8360595703125,390.8135070800781
31,1149170.375,1023.6575317382812,422.3229675292969,1022619.5,969.896728515625,378.6778259277344
32,1080902.0,990.4346313476562,409.3936462402344,960167.875,937.426513671875,366.71368408203125
33,1015787.4375,957.6837768554688,396.6465148925781,900865.0625,905.5224609375,354.95819091796875
34,953920.0625,925.4974365234375,384.119140625,844527.5,874.15966796875,343.39886474609375
35,895129.4375,893.8619995117188,371.80224609375,791059.375,843.3269653320312,332.0343017578125
36,839308.3125,862.7608032226562,359.6929931640625,740452.625,813.0826416015625,320.8851013183594
37,786447.0,832.2515869140625,347.8122863769531,692538.8125,783.390625,309.937744140625
38,736374.6875,802.2994995117188,336.1465148925781,647191.8125,754.2283935546875,299.1849060058594
39,688962.5,772.8832397460938,324.6884460449219,604398.875,725.64697265625,288.64532470703125
40,644192.375,744.0496215820312,313.45611572265625,564072.25,697.6693725585938,278.32550048828125
41,601977.6875,715.8253173828125,302.45794677734375,526130.4375,670.3031005859375,268.22906494140625
42,562235.75,688.2177124023438,291.69793701171875,490456.84375,643.5333251953125,258.3512268066406
43,524844.625,661.2113037109375,281.17034912109375,456933.40625,617.3473510742188,248.68641662597656
44,489683.375,634.7933349609375,270.8692626953125,425477.71875,591.7408447265625,239.2350311279297
45,456668.21875,608.9608764648438,260.7958068847656,395959.46875,566.6922607421875,229.9865264892578
46,425660.5,583.6892700195312,250.93746948242188,368443.09375,542.3303833007812,220.9896697998047
47,396731.09375,559.1100463867188,241.34725952148438,342748.71875,518.5814208984375,212.2168731689453
48,369693.25,535.1483764648438,231.99537658691406,318779.03125,495.43670654296875,203.6648406982422
49,344447.15625,511.7960205078125,222.87840270996094,296451.9375,472.89190673828125,195.3326416015625
50,320907.59375,489.0484313964844,213.99533081054688,275706.4375,450.97576904296875,187.23013305664062
51,299011.875,466.9341735839844,205.35658264160156,256440.8125,429.66650390625,179.34918212890625
52,278654.59375,445.4602355957031,196.9639892578125,238575.546875,408.95562744140625,171.68763732910156
53,259755.96875,424.7536926269531,188.85348510742188,222049.5,389.02484130859375,164.2985076904297
54,242250.734375,405.0685729980469,181.0913543701172,206776.6875,371.0946350097656,157.53451538085938
55,226050.78125,386.8081359863281,173.77682495117188,192684.078125,355.0101623535156,151.33966064453125
56,211080.859375,369.56890869140625,166.80809020996094,179700.890625,341.0299987792969,145.77711486816406
57,197267.953125,353.295654296875,160.18104553222656,167758.484375,328.2641296386719,140.60179138183594
58,184541.234375,338.1969909667969,153.95738220214844,156779.984375,316.1548156738281,135.6599884033203
59,172821.203125,325.15985107421875,148.39596557617188,146717.15625,304.5303039550781,130.9017333984375
60,162058.109375,313.3907775878906,143.2675323486328,137511.8125,293.64593505859375,126.40596771240234
61,152192.109375,302.66680908203125,138.50689697265625,129099.484375,283.870361328125,122.27244567871094
62,143156.34375,292.9857177734375,134.10897827148438,121423.3671875,274.6545715332031,118.35082244873047
63,134892.078125,284.3041076660156,130.0577392578125,114430.078125,265.8674621582031,114.59823608398438
64,127344.1328125,276.5558776855469,126.33322143554688,108068.5546875,257.4855651855469,111.00687408447266
65,120459.71875,269.61175537109375,122.89557647705078,102288.7578125,249.4784698486328,107.56657409667969
66,114187.0078125,263.2171936035156,119.67430114746094,97049.671875,241.84213256835938,104.27595520019531
67,108483.5234375,257.36651611328125,116.66807556152344,92305.6328125,234.58123779296875,101.13660430908203
68,103302.0390625,251.99871826171875,113.85547637939453,88015.65625,227.75514221191406,98.16796112060547
69,98600.0625,247.08056640625,111.2242431640625,84138.984375,221.5431671142578,95.4306869506836
70,94335.1640625,242.94110107421875,108.89353942871094,80636.1171875,216.41404724121094,93.08267974853516
71,90466.3046875,239.3086700439453,106.76583099365234,77488.2734375,212.02340698242188,91.00566101074219
72,86974.4609375,235.9639892578125,104.76818084716797,74654.25,208.31259155273438,89.17654418945312
73,83816.6328125,232.85614013671875,102.88255310058594,72104.8671875,205.3097686767578,87.60386657714844
74,80962.453125,229.9752655029297,101.10494995117188,69812.75,202.96519470214844,86.27433013916016
75,78383.40625,227.30555725097656,99.43003845214844,67752.4375,201.17391967773438,85.15431213378906
76,76053.015625,224.8231658935547,97.8497085571289,65900.328125,199.7984161376953,84.19745635986328
77,73946.65625,222.498291015625,96.35367584228516,64234.71875,198.551513671875,83.30662536621094
78,72041.6796875,220.34515380859375,94.94532012939453,62735.56640625,197.3917999267578,82.46681213378906
79,70317.1640625,218.3656463623047,93.62461853027344,61396.375,196.33287048339844,81.68462371826172
80,68768.625,216.5556182861328,92.39375305175781,60164.66015625,195.30523681640625,80.92897033691406
81,67334.2109375,214.81361389160156,91.20756530761719,59060.6875,194.3587646484375,80.22305297851562
82,66042.015625,213.18157958984375,90.09075164794922,58058.640625,193.45950317382812,79.55229949951172
83,64862.625,211.6332550048828,89.02995300292969,57145.80078125,192.59359741210938,78.91133880615234
84,63782.69140625,210.15264892578125,88.0197525024414,56310.74609375,191.76434326171875,78.30070495605469
85,62790.14453125,208.74447631835938,87.06120300292969,55543.078125,190.9700164794922,77.71908569335938
86,61874.01171875,207.3930206298828,86.14751434326172,54833.60546875,190.197509765625,77.16152954101562
87,61024.515625,206.08827209472656,85.27471160888672,54173.9765625,189.44464111328125,76.626708984375
88,60232.80859375,204.82919311523438,84.44129180908203,53556.82421875,188.70938110351562,76.11331939697266
89,59491.02734375,203.61219787597656,83.64485168457031,52975.60546875,187.9860382080078,75.61895751953125
90,58792.13671875,202.43673706054688,82.8849105834961,52424.54296875,187.27093505859375,75.14158630371094
91,58129.95703125,201.2999267578125,82.16038513183594,51898.55078125,186.56446838378906,74.68074798583984
92,57498.984375,200.1963653564453,81.46724700927734,51393.1953125,185.85379028320312,74.23135375976562
93,56894.39453125,199.12364196777344,80.8036880493164,50904.6484375,185.14041137695312,73.79349517822266
94,56311.99609375,198.08212280273438,80.16971588134766,50429.5625,184.4191131591797,73.36463928222656
95,55748.12109375,197.0608367919922,79.56059265136719,49965.12109375,183.68980407714844,72.94425201416016
96,55199.609375,196.05938720703125,78.97532653808594,49508.9140625,182.95184326171875,72.53148651123047
97,54663.7578125,195.07424926757812,78.41183471679688,49058.890625,182.20411682128906,72.12559509277344
98,54138.21875,194.0991973876953,77.86717224121094,48613.3984375,181.4480743408203,71.7264404296875
99,53621.09765625,193.13314819335938,77.34013366699219,48171.0,180.68392944335938,71.33354949951172
100,53110.69140625,192.1753387451172,76.82998657226562,47728.08203125,179.9058837890625,70.94508361816406
101,52603.19921875,191.21780395507812,76.33355712890625,47291.33203125,179.13009643554688,70.56441497802734
102,52104.96484375,190.27105712890625,75.85114288330078,46852.43359375,178.33726501464844,70.18596649169922
103,51607.578125,189.32293701171875,75.3805160522461,46411.71484375,177.5352020263672,69.81246948242188
104,51111.45703125,188.3731231689453,74.92109680175781,45974.171875,176.73439025878906,69.44429779052734
105,50620.43359375,187.42886352539062,74.47073364257812,45534.66015625,175.91668701171875,69.07735443115234
106,50130.171875,186.4838104248047,74.03103637695312,45094.09375,175.08755493164062,68.71232604980469
107,49641.0859375,185.5374755859375,73.59967041015625,44652.578125,174.24624633789062,68.34852600097656
108,49153.140625,184.5913543701172,73.1767349243164,44208.95703125,173.3906707763672,67.98493957519531
109,48665.03515625,183.641845703125,72.76018524169922,43759.15625,172.51226806640625,67.61991882324219
110,48173.24609375,182.68328857421875,72.34996032714844,43318.41796875,171.64389038085938,67.26199340820312
111,47691.9375,181.7395477294922,71.94993591308594,42876.75,170.76869201660156,66.90349578857422
112,47210.44921875,180.79112243652344,71.55078125,42430.49609375,169.8751220703125,66.54133605957031
113,46725.28515625,179.8303680419922,71.1512222290039,41987.3984375,168.97862243652344,66.18290710449219
114,46245.1484375,178.87486267089844,70.76021575927734,41543.22265625,168.07252502441406,65.82604217529297
115,45766.11328125,177.92018127441406,70.37666320800781,41102.23046875,167.16546630859375,65.47026824951172
116,45290.796875,176.9659881591797,69.99510192871094,40659.5546875,166.24571228027344,65.11168670654297
117,44814.2890625,176.00173950195312,69.6121597290039,40215.08984375,165.31402587890625,64.75328826904297
118,44337.79296875,175.0345001220703,69.23443603515625,39777.47265625,164.39328002929688,64.39783477783203
119,43867.76953125,174.07447814941406,68.85778045654297,39336.12890625,163.45384216308594,64.040283203125
120,43395.90625,173.10731506347656,68.4851303100586,38901.75390625,162.52345275878906,63.6866455078125
121,42931.75390625,172.1487579345703,68.11653900146484,38466.4765625,161.58436584472656,63.33042907714844
122,42466.24609375,171.17832946777344,67.7438735961914,38037.375,160.6511688232422,62.97883987426758
123,42008.86328125,170.2225799560547,67.3804702758789,37609.58203125,159.71644592285156,62.62664031982422
124,41552.95703125,169.26580810546875,67.0167465209961,37184.0703125,158.77957153320312,62.27422332763672
125,41099.4140625,168.30703735351562,66.65298461914062,36761.1640625,157.84197998046875,61.922245025634766
126,40648.74609375,167.34791564941406,66.2899169921875,36339.47265625,156.9014129638672,61.570430755615234
127,40199.8984375,166.3880157470703,65.92838287353516,35903.8984375,155.9197540283203,61.20586395263672
128,39738.07421875,165.3917999267578,65.55599975585938,35495.5859375,154.98533630371094,60.869239807128906
129,39308.015625,164.46417236328125,65.2248764038086,35076.4921875,154.03843688964844,60.51676940917969
130,38862.828125,163.49749755859375,64.86305236816406,34648.1640625,153.04583740234375,60.15752029418945
131,38412.55859375,162.50845336914062,64.5071029663086,34216.12890625,152.01231384277344,59.79036331176758
132,37959.30859375,161.5013427734375,64.15357971191406,33772.68359375,150.97943115234375,59.4237174987793
133,37492.3125,160.4661407470703,63.790470123291016,33330.5234375,149.91966247558594,59.05720520019531
134,37040.01171875,159.45550537109375,63.45238494873047,32884.52734375,148.83157348632812,58.67109680175781
135,36578.5234375,158.42161560058594,63.0927619934082,32471.26953125,147.83302307128906,58.31263732910156
136,36139.5234375,157.41683959960938,62.73548889160156,32015.66015625,146.69578552246094,57.891883850097656
137,35654.5546875,156.29147338867188,62.314945220947266,31544.056640625,145.5196075439453,57.455875396728516
138,35152.90625,155.10655212402344,61.87089920043945,31117.830078125,144.51113891601562,57.07722473144531
139,34685.6484375,154.0092010498047,61.45301055908203,30678.09765625,143.39517211914062,56.66209030151367
140,34218.51953125,152.8946075439453,61.03431701660156,30217.685546875,142.1884307861328,56.222476959228516
141,33739.984375,151.7606658935547,60.622032165527344,29756.390625,141.01979064941406,55.799415588378906
142,33256.53515625,150.60061645507812,60.20271682739258,29268.046875,139.662841796875,55.30719757080078
143,32741.919921875,149.32159423828125,59.7396125793457,28788.806640625,138.44126892089844,54.86150360107422
144,32235.435546875,148.10166931152344,59.29692077636719,28328.640625,137.19625854492188,54.400611877441406
145,31754.6328125,146.91339111328125,58.85158157348633,27872.748046875,135.96290588378906,53.94415283203125
146,31256.12890625,145.63304138183594,58.37288284301758,27421.125,134.6351318359375,53.44905471801758
147,30789.765625,144.38792419433594,57.8989372253418,27008.265625,133.4839630126953,53.014835357666016
148,30348.57421875,143.2438201904297,57.46080017089844,26567.3359375,132.28309631347656,52.570045471191406
149,29884.03125,142.03501892089844,57.00528335571289,26121.662109375,131.05531311035156,52.11794662475586
150,29405.15625,140.7809600830078,56.53948974609375,25666.037109375,129.71514892578125,51.61491012573242
151,28916.712890625,139.4690704345703,56.0396728515625,25224.84765625,128.38548278808594,51.1187629699707
152,28462.896484375,138.25302124023438,55.5804557800293,24797.16796875,127.15654754638672,50.659278869628906
153,27996.7421875,136.9769744873047,55.10099411010742,24412.32421875,125.95079040527344,50.200035095214844
154,27601.759765625,135.912353515625,54.688209533691406,24027.048828125,124.81010437011719,49.76427459716797
