lift_weight(ton),lift_height(m),rising_angle(deg),swing_angle(deg),left_ground_pressure_max(kg/cm2),left_ground_pressure_min(kg/cm2),left_pressure_length(m),right_ground_pressure_max(kg/cm2),right_ground_pressure_min(kg/cm2),right_pressure_length(m),left-0.0m,left-0.675m,left-1.35m,left-2.025m,left-2.7m,left-3.375m,left-4.05m,left-4.725m,left-5.4m,left-6.075m,left-6.75m,right-0.0m,right-0.675m,right-1.35m,right-2.025m,right-2.7m,right-3.375m,right-4.05m,right-4.725m,right-5.4m,right-6.075m,right-6.75m
1,10,50,45,1.31,0.22,6.75,2.44,0.4,6.75,1.31,1.201,1.092,0.983,0.874,0.765,0.656,0.547,0.438,0.329,0.22,2.44,2.236,2.032,1.828,1.624,1.42,1.216,1.012,0.808,0.604,0.4
1.5,1,30,0,4.83,0,3.07,4.83,0,3.07,4.83,3.768,2.706,1.644,0.582,0,0,0,0,0,0,4.83,3.768,2.706,1.644,0.582,0,0,0,0,0,0
1.5,1,30,20,2.96,0,3.49,5.51,0,3.49,2.96,2.388,1.815,1.243,0.67,0.098,0,0,0,0,0,5.51,4.444,3.379,2.313,1.247,0.182,0,0,0,0,0
1.5,1,30,45,1.09,0,5.13,4.68,0,5.13,1.09,0.947,0.803,0.66,0.516,0.373,0.229,0.086,0,0,0,4.68,4.064,3.448,2.833,2.217,1.601,0.985,0.369,0,0,0
1.5,1,40,0,3.32,0,4.46,3.32,0,4.46,3.32,2.818,2.315,1.813,1.31,0.808,0.305,0,0,0,0,3.32,2.818,2.315,1.813,1.31,0.808,0.305,0,0,0,0
1.5,1,40,20,2.34,0,4.8,3.83,0,4.8,2.34,2.011,1.682,1.353,1.024,0.695,0.366,0.037,0,0,0,3.83,3.291,2.753,2.214,1.676,1.137,0.598,0.06,0,0,0
1.5,1,40,45,1.21,0,6.12,3.63,0,6.12,1.21,1.077,0.943,0.81,0.676,0.543,0.409,0.276,0.142,0.009,0,3.63,3.23,2.829,2.429,2.029,1.628,1.228,0.827,0.427,0.027,0
1.5,1,50,0,2.39,0,6.18,2.39,0,6.18,2.39,2.129,1.868,1.607,1.346,1.085,0.824,0.563,0.302,0.041,0,2.39,2.129,1.868,1.607,1.346,1.085,0.824,0.563,0.302,0.041,0
1.5,1,50,20,1.92,0,6.42,2.69,0,6.42,1.92,1.718,1.516,1.314,1.113,0.911,0.709,0.507,0.305,0.103,0,2.69,2.407,2.124,1.842,1.559,1.276,0.993,0.71,0.427,0.145,0
1.5,1,50,45,1.31,0.12,6.75,2.7,0.26,6.75,1.31,1.191,1.072,0.953,0.834,0.715,0.596,0.477,0.358,0.239,0.12,2.7,2.456,2.212,1.968,1.724,1.48,1.236,0.992,0.748,0.504,0.26
1.5,5,30,0,4.8,0,3.08,4.8,0,3.08,4.8,3.748,2.696,1.644,0.592,0,0,0,0,0,0,4.8,3.748,2.696,1.644,0.592,0,0,0,0,0,0
1.5,5,30,20,2.95,0,3.51,5.48,0,3.51,2.95,2.383,1.815,1.248,0.681,0.113,0,0,0,0,0,5.48,4.426,3.372,2.318,1.265,0.211,0,0,0,0,0
1.5,5,30,45,1.09,0,5.15,4.66,0,5.15,1.09,0.947,0.804,0.661,0.519,0.376,0.233,0.09,0,0,0,4.66,4.049,3.438,2.828,2.217,1.606,0.995,0.385,0,0,0
1.5,5,40,0,3.31,0,4.47,3.31,0,4.47,3.31,2.81,2.31,1.811,1.311,0.811,0.311,0,0,0,0,3.31,2.81,2.31,1.811,1.311,0.811,0.311,0,0,0,0
1.5,5,40,20,2.33,0,4.81,3.82,0,4.81,2.33,2.003,1.676,1.349,1.022,0.695,0.368,0.041,0,0,0,3.82,3.284,2.748,2.212,1.676,1.14,0.604,0.068,0,0,0
1.5,5,40,45,1.21,0,6.13,3.62,0,6.13,1.21,1.077,0.944,0.81,0.677,0.544,0.411,0.277,0.144,0.011,0,3.62,3.221,2.823,2.424,2.026,1.627,1.228,0.83,0.431,0.032,0
1.5,5,50,0,2.39,0,6.19,2.39,0,6.19,2.39,2.129,1.869,1.608,1.348,1.087,0.826,0.566,0.305,0.044,0,2.39,2.129,1.869,1.608,1.348,1.087,0.826,0.566,0.305,0.044,0
1.5,5,50,20,1.92,0,6.43,2.69,0,6.43,1.92,1.718,1.517,1.315,1.114,0.912,0.711,0.509,0.308,0.106,0,2.69,2.408,2.125,1.843,1.56,1.278,0.996,0.713,0.431,0.149,0
1.5,5,50,45,1.31,0.13,6.75,2.69,0,6.75,1.31,1.192,1.074,0.956,0.838,0.72,0.602,0.484,0.366,0.248,0.13,2.69,2.421,2.152,1.883,1.614,1.345,1.076,0.807,0.538,0.269,0
1.5,10,30,0,4.77,0,3.11,4.77,0,3.11,4.77,3.735,2.699,1.664,0.629,0,0,0,0,0,0,4.77,3.735,2.699,1.664,0.629,0,0,0,0,0,0
1.5,10,30,20,2.94,0,3.53,5.45,0,3.53,2.94,2.378,1.816,1.253,0.691,0.129,0,0,0,0,0,5.45,4.408,3.366,2.324,1.281,0.239,0,0,0,0,0
1.5,10,30,45,1.09,0,5.16,4.64,0,5.16,1.09,0.947,0.805,0.662,0.52,0.377,0.234,0.092,0,0,0,4.64,4.033,3.426,2.819,2.212,1.605,0.998,0.391,0,0,0
1.5,10,40,0,3.29,0,4.49,3.29,0,4.49,3.29,2.795,2.301,1.806,1.312,0.817,0.322,0,0,0,0,3.29,2.795,2.301,1.806,1.312,0.817,0.322,0,0,0,0
1.5,10,40,20,2.33,0,4.83,3.8,0,4.83,2.33,2.004,1.679,1.353,1.028,0.702,0.376,0.051,0,0,0,3.8,3.269,2.738,2.207,1.676,1.145,0.614,0.083,0,0,0
1.5,10,40,45,1.21,0,6.14,3.61,0,6.14,1.21,1.077,0.944,0.811,0.678,0.545,0.412,0.279,0.146,0.013,0,3.61,3.213,2.816,2.419,2.023,1.626,1.229,0.832,0.435,0.038,0
1.5,10,50,0,2.38,0,6.21,2.38,0,6.21,2.38,2.121,1.863,1.604,1.345,1.087,0.828,0.569,0.31,0.052,0,2.38,2.121,1.863,1.604,1.345,1.087,0.828,0.569,0.31,0.052,0
1.5,10,50,20,1.91,0,6.45,2.68,0,6.45,1.91,1.71,1.51,1.31,1.11,0.911,0.711,0.511,0.311,0.111,0,2.68,2.4,2.119,1.839,1.558,1.278,0.997,0.717,0.436,0.156,0
1.5,10,50,45,1.31,0.13,6.75,2.68,0.26,6.75,1.31,1.192,1.074,0.956,0.838,0.72,0.602,0.484,0.366,0.248,0.13,2.68,2.438,2.196,1.954,1.712,1.47,1.228,0.986,0.744,0.502,0.26
2,1,30,0,6.13,0,2.42,6.13,0,2.42,6.13,4.42,2.71,1.001,0,0,0,0,0,0,0,6.13,4.42,2.71,1.001,0,0,0,0,0,0,0
2,1,30,20,3.46,0,2.89,6.83,0,2.89,3.46,2.652,1.844,1.036,0.227,0,0,0,0,0,0,6.83,5.235,3.64,2.044,0.449,0,0,0,0,0,0
2,1,30,45,1.02,0,4.68,5.33,0,4.68,1.02,0.873,0.726,0.579,0.432,0.284,0.137,0,0,0,0,5.33,4.561,3.793,3.024,2.255,1.486,0.717,0,0,0,0
2,1,40,0,3.83,0,3.88,3.83,0,3.88,3.83,3.164,2.497,1.831,1.165,0.498,0,0,0,0,0,3.83,3.164,2.497,1.831,1.165,0.498,0,0,0,0,0
