X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-기복회전(deg),Y:Pos1_Relative-선회회전(deg),Y:Pos_TY-인양물(mm),Y:Pos_ROLL-하부체(deg),Y:Pos_PITCH-하부체(deg),Y:Pos_YAW-하부체(deg)
0.00000000,0.00000000,-1.5776208e-24,-1.5776208e-24,-1.5776208e-24,-1.5776208e-24,1.5013328e-14,1.5013328e-14,1.5013328e-14,1.5013328e-14,1.5013328e-14,0.00000000,-0.00000000,7288.7515,0.00000000,-0.00000000,0.00000000
0.010229000,499999.97,485274.78,243976.41,10595.297,-3.5477228,500000.00,490777.81,260123.88,16121.111,-3.5128655,1.5684163e-05,-6.1833195e-26,7288.5435,7.6031247e-05,-4.5219529e-05,-0.0012845854
0.020253000,500001.97,500001.49,2903.4632,0.52755170,0.045769800,500002.06,500001.57,14749.642,0.60786191,0.12508522,6.1444527e-05,6.1826856e-26,7288.3184,0.00020580429,-0.00026210451,-0.0034818116
0.030253000,500001.50,500001.16,500000.83,0.49156421,0.15613724,500001.60,500001.27,500000.93,0.59400398,0.25756345,0.00013700971,-1.0451081e-28,7288.0457,0.00029305776,-0.00065692728,-0.0046644183
0.040253000,499999.85,499999.53,499999.21,-1.1136180,-1.4339101,500000.20,499999.88,499999.55,-0.76819874,-1.0911667,0.00024239338,5.2795618e-29,7287.9131,0.00055855575,-0.0012338663,-0.0057078123
0.050253000,499999.62,499999.38,16546.523,-1.0853165,-1.3190728,499998.67,499998.45,290424.22,-2.0087720,-2.2363716,0.00037753553,-2.0415426e-25,7287.9282,0.00073047442,-0.0020180222,-0.0066509335
0.060253000,500000.96,500001.12,249371.93,1.4475525,1.6096907,500000.40,500000.57,0.73579379,0.90184491,1.0678960,0.00054237616,-2.9412463e-26,7287.9456,-0.00035709445,-0.0031045193,-0.0067543229
0.070253000,499999.10,499999.41,499999.71,0.018804822,0.32429414,500000.98,500001.27,500001.57,1.8597828,2.1528515,0.00073685528,1.5289070e-26,7287.9536,0.00073527426,-0.0040975454,-0.0059319097
0.080253000,499999.11,499999.36,137460.40,-0.12639850,0.12854874,499998.16,499998.42,499998.68,145365.21,-0.79258697,0.00096091287,-1.9734710e-26,7288.0990,0.0018327404,-0.0052522033,-0.0050331115
0.090253000,499999.60,500000.03,422292.99,0.88047460,1.3058559,499997.41,499997.85,-1.7055646,-1.2649934,-0.82442220,0.0012144889,3.9855449e-27,7288.3382,-0.00074897866,-0.0069560064,-0.0039798109
0.10025300,499997.78,499998.52,121772.56,-0.0051090532,0.73238473,500001.17,500001.88,199822.23,3.3152870,4.0305494,0.0014975235,3.4695994e-27,7288.5796,0.00020428768,-0.0083742208,-0.0021695898
0.11025300,499331.92,478133.42,432243.83,368592.68,294109.46,217916.86,144732.15,80468.779,31398.331,3792.3740,0.0018099566,-3.3772946e-23,7288.8232,-0.00050570461,-0.010064896,-0.00032441339
0.12025300,486667.55,460526.80,423351.49,377665.78,325993.84,485844.69,459183.04,421578.06,375558.61,323653.56,0.0021517281,-2.5638320e-24,7288.8410,6.8943793e-06,-0.011645392,-0.00023733183
0.13025300,500000.46,328169.04,-0.50054632,-0.97835746,-1.4561686,500001.81,500001.32,203755.40,0.34851951,-0.13888237,0.0025227781,9.5665586e-26,7288.7069,0.00056388113,-0.013240390,-0.0020372710
0.14025300,500002.07,500001.76,500001.46,54.150038,0.85035867,500000.42,500000.13,475994.65,-0.45881477,-0.75247460,0.0029230466,1.7369226e-25,7288.5271,-1.1769789e-05,-0.014987951,-0.0031900645
0.15025300,499999.52,499999.25,499998.98,-1.2853710,-1.5549341,500000.40,500000.13,267332.24,-0.42510880,-0.70085319,0.0033524735,1.5034478e-26,7288.4563,-0.00056813791,-0.016766446,-0.0041220898
0.16025300,499999.59,499999.51,-0.56632876,-0.64395909,-0.72158942,500000.21,500000.13,377747.19,-0.038214701,-0.12009484,0.0038109990,4.3799975e-26,7288.4826,0.00098598875,-0.018322441,-0.0047360732
0.17025300,500001.26,500001.43,420017.75,1.7768224,1.9479892,499999.56,499999.75,228545.32,0.11199519,0.29480364,0.0042985629,-6.6701407e-26,7288.5178,-8.3441827e-05,-0.020149833,-0.0045614724
0.18025300,499999.06,499999.33,499999.60,42262.801,0.13126294,499999.86,500000.12,463359.62,0.64842103,0.91104035,0.0048151053,-1.4577146e-25,7288.6083,-0.00039390276,-0.021860548,-0.0038153709
0.19025300,499998.17,499998.50,72499.623,-0.83220220,-0.49828834,499998.64,499998.98,386049.45,-0.36263133,-0.031651369,0.0053605662,4.7630430e-25,7288.8337,0.00057984291,-0.023389402,-0.0029277659
0.20025300,500000.08,498513.94,275006.08,13626.677,2.6904691,499999.26,424067.73,120960.79,1.2428291,1.9025750,0.0059348856,1.2155602e-26,7289.0840,-0.00015645403,-0.025034935,-0.0013741225
0.21025300,84617.238,81764.270,78947.209,76166.785,73423.729,133670.90,129994.28,126347.69,122732.11,119148.54,0.0065380035,3.5176817e-25,7289.3228,7.8358837e-05,-0.026474142,-1.6894011e-05
0.22025300,500000.66,439162.32,269956.40,90315.180,357.62816,500000.50,498521.37,398998.50,215742.98,50643.583,0.0071698598,3.0876416e-25,7289.2512,0.00022101724,-0.027756204,-0.00081241044
0.23025300,500001.07,500000.70,227458.35,-0.018704700,-0.37997951,500001.36,500000.99,120038.10,0.26776819,-0.095813399,0.0078303946,1.8370527e-25,7289.1380,-4.9222037e-05,-0.028949661,-0.0024145465
0.24025300,500000.46,500000.23,416944.90,-0.23603356,-0.46817997,500000.80,500000.57,500000.33,5046.1102,-0.13736847,0.0085195480,2.8492453e-25,7289.0419,0.00050399492,-0.029918628,-0.0032953860
0.25025300,500000.12,499999.96,256010.59,-0.35329618,-0.51033063,499999.25,499999.09,396208.67,-1.2084037,-1.3596827,0.0092372597,4.4629696e-26,7289.0629,0.00036891507,-0.030835544,-0.0039335824
0.26025300,499999.88,500000.00,262087.48,0.23182419,0.34954941,500000.52,500000.63,127200.89,0.85941963,0.97292301,0.0099834700,1.3263498e-25,7289.1420,-1.5905216e-05,-0.031634082,-0.0040221902
0.27025300,499999.61,499999.86,367983.24,0.35911571,0.61028490,499999.76,500000.01,500000.26,3686.2030,0.75907863,0.010758119,-3.2989274e-26,7289.2477,0.00060919656,-0.032162511,-0.0033914897
0.28025300,499999.15,499999.47,317850.88,0.11483956,0.43562935,499998.28,499998.61,327211.54,-0.73974524,-0.41276652,0.011561146,-4.6612864e-27,7289.4647,0.00012036507,-0.032663639,-0.0025038386
0.29025300,499998.93,433398.85,199605.42,12345.629,1.3079740,499999.84,458921.11,238363.61,28531.811,2.1921514,0.012392492,5.8762457e-25,7289.7363,9.8567378e-05,-0.032950003,-0.0010738284
0.30025300,152696.51,161732.17,170887.10,180148.52,189503.62,99865.687,108218.57,116787.34,125557.51,134514.53,0.013252096,-9.4849888e-25,7289.9684,-8.1628117e-05,-0.033072577,4.2001479e-05
0.31025300,500000.81,499767.11,362454.76,122342.18,-1.3427080,500000.74,478324.83,281651.49,56981.566,-1.4146297,0.014139899,-1.3865351e-24,7289.8946,-6.8550677e-05,-0.032947865,-0.0010518970
