X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm)
0.010229,62303.117,40448.96,22720.991,9702.4291,1976.4931,66599.983,44026.266,25492.656,11586.061,2893.3903,-6.27E-05,-2.36E-26,7288.714
0.020253,345825.48,327310.71,308367.04,289101.66,269621.74,363960.22,345845.84,327186.97,308093.28,288674.45,-0.000245778,-3.75E-25,7288.6577
0.030253,348185.84,360697.14,372906.58,384778.11,396275.73,360760.62,372897.38,384700.25,396133.83,407162.74,-0.000548039,-2.81E-25,7288.6364
0.040253,337279.14,294263.85,249997.51,205731.26,162716.27,336088.41,292989.5,248674.17,204396.22,161409.46,-0.000969574,-1.01E-25,7288.5823
0.050253,101896.8,120253.24,139515.71,159539.49,180179.88,90798.288,108600.04,127409.15,147078.63,167461.52,-0.001510142,-1.18E-25,7288.5794
0.060253,202727.74,161345.88,122328.02,86795.402,55869.246,193490.69,152555.53,114226.98,79624.29,49866.704,-0.002169505,4.93E-25,7288.4827
0.070253,151001.2,159321.09,167745.65,176264.8,184868.44,146710.18,155008.28,163417.23,171926.82,180526.83,-0.002947421,-2.00E-24,7288.4258
0.080253,257204.58,237192.27,217252.97,197500.79,178049.79,259764.18,239715.54,219725.72,199909.42,180381.34,-0.003843652,-5.84E-27,7288.3147
0.090253,262745.87,248686.48,234630.79,220618.36,206688.75,268118.52,254019.21,239908.51,225826.41,211812.88,-0.004857956,3.43E-27,7288.215
0.100253,210458.35,214536.91,218624.06,222718.8,226820.13,215242.25,219302.01,223369.09,227442.53,231521.34,-0.005990094,8.86E-26,7288.1147
0.110253,263496.64,228697.18,194265.62,160802.83,128909.64,269093.89,234222.35,199624.25,165904.02,133666.1,-0.007239826,-4.34E-26,7287.974
0.120253,149189.34,165894.9,182987.98,200387.81,218013.6,151625.92,168392.01,185533.64,202970.06,220620.5,-0.008606912,-2.24E-27,7287.8682
0.130253,270347.91,228113.69,186436.51,146391.23,109052.68,275196.63,232896.63,191033.21,150686.61,112937.11,-0.010091112,9.23E-26,7287.6896
0.140253,161682.68,179386.74,197441.32,215755.38,234237.84,163919.6,181674.07,199767.46,218108.72,236606.76,-0.011692186,9.89E-27,7287.562
0.150253,277174.1,241169.3,205327.79,170316.12,136800.84,281783.93,245742.86,209780.77,174567.76,140773.92,-0.013409894,2.65E-28,7287.3627
0.160253,191283.31,198756.97,206273.45,213826.4,221409.48,193901.37,201379.7,208898.5,216451.47,224032.29,-0.015243996,7.33E-27,7287.2046
0.170253,244482.53,223144.21,201980.84,181131.5,160735.26,248182.99,226784.5,205537.8,184582.84,164059.55,-0.017194252,-9.56E-28,7286.9976
0.180253,215182.8,206089.02,197048.3,188071.7,179170.29,218282.4,209144.1,200055.45,191027.63,182071.8,-0.019260421,-3.69E-28,7286.8011
0.190253,203914.99,199374.35,194849.15,190340.81,185850.73,206927.1,202352.61,197792.82,193249.13,188722.98,-0.021442265,2.37E-27,7286.5888
0.200253,244275.4,219745.33,195476.13,171679.42,148566.82,248398.74,223795.97,199419.94,175483.56,152199.74,-0.023739542,-1.16E-27,7286.3521
0.210253,181944.96,189765.92,197643.05,205568.9,213536.02,184880.8,192710.81,200594.02,208523.02,216490.39,-0.026152014,7.89E-27,7286.1315
0.220253,265440.6,232310.97,199458.04,167399.98,136654.97,270306.2,237116.99,204129.99,171866.32,140847.11,-0.028679439,1.59E-27,7285.861
