X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-기복회전(deg),Y:Pos1_Relative-선회회전(deg),Y:Pos_TY-인양물(mm),Y:Pos_ROLL-하부체(deg),Y:Pos_PITCH-하부체(deg),Y:Pos_YAW-하부체(deg)
0.00000000,0.00000000,-1.5776208e-24,-1.5776208e-24,-1.5776208e-24,-1.5776208e-24,1.5013328e-14,1.5013328e-14,1.5013328e-14,1.5013328e-14,1.5013328e-14,0.00000000,-0.00000000,7288.7515,0.00000000,-0.00000000,0.00000000
0.010229000,62303.117,40448.960,22720.991,9702.4291,1976.4931,66599.983,44026.266,25492.656,11586.061,2893.3903,-6.2736653e-05,-2.3556280e-26,7288.7140,1.4261886e-05,-3.7799997e-05,-0.00014578747
0.020253000,345825.48,327310.71,308367.04,289101.66,269621.74,363960.22,345845.84,327186.97,308093.28,288674.45,-0.00024577811,-3.7501577e-25,7288.6577,2.9722657e-05,-0.00015634734,-8.3215856e-05
0.030253000,348185.84,360697.14,372906.58,384778.11,396275.73,360760.62,372897.38,384700.25,396133.83,407162.74,-0.00054803885,-2.8097154e-25,7288.6364,1.5796048e-05,-0.00036124748,5.7299613e-05
0.040253000,337279.14,294263.85,249997.51,205731.26,162716.27,336088.41,292989.50,248674.17,204396.22,161409.46,-0.00096957352,-1.0107550e-25,7288.5823,6.1612241e-06,-0.00063989289,-0.00018783650
0.050253000,101896.80,120253.24,139515.71,159539.49,180179.88,90798.288,108600.04,127409.15,147078.63,167461.52,-0.0015101421,-1.1812255e-25,7288.5794,-2.2058638e-05,-0.0010011052,9.1812716e-05
0.060253000,202727.74,161345.88,122328.02,86795.402,55869.246,193490.69,152555.53,114226.98,79624.290,49866.704,-0.0021695046,4.9317708e-25,7288.4827,-4.9548064e-06,-0.0014190894,-0.00018092847
0.070253000,151001.20,159321.09,167745.65,176264.80,184868.44,146710.18,155008.28,163417.23,171926.82,180526.83,-0.0029474211,-2.0003679e-24,7288.4258,-7.7440067e-06,-0.0019102556,3.7760270e-05
0.080253000,257204.58,237192.27,217252.97,197500.79,178049.79,259764.18,239715.54,219725.72,199909.42,180381.34,-0.0038436515,-5.8425299e-27,7288.3147,6.9309943e-06,-0.0024552080,-8.4608548e-05
0.090253000,262745.87,248686.48,234630.79,220618.36,206688.75,268118.52,254019.21,239908.51,225826.41,211812.88,-0.0048579558,3.4283085e-27,7288.2150,9.6285836e-06,-0.0030578889,-5.9517919e-05
0.10025300,210458.35,214536.91,218624.06,222718.80,226820.13,215242.25,219302.01,223369.09,227442.53,231521.34,-0.0059900940,8.8590815e-26,7288.1147,5.6905163e-06,-0.0037099446,1.7305373e-05
0.11025300,263496.64,228697.18,194265.62,160802.83,128909.64,269093.89,234222.35,199624.25,165904.02,133666.10,-0.0072398262,-4.3386037e-26,7287.9740,1.3594272e-05,-0.0043982207,-0.00014722957
0.12025300,149189.34,165894.90,182987.98,200387.81,218013.60,151625.92,168392.01,185533.64,202970.06,220620.50,-0.0086069123,-2.2366796e-27,7287.8682,3.4596269e-07,-0.0051266677,7.5312589e-05
0.13025300,270347.91,228113.69,186436.51,146391.23,109052.68,275196.63,232896.63,191033.21,150686.61,112937.11,-0.010091112,9.2250427e-26,7287.6896,1.3929227e-05,-0.0058711586,-0.00017868675
0.14025300,161682.68,179386.74,197441.32,215755.38,234237.84,163919.60,181674.07,199767.46,218108.72,236606.76,-0.011692186,9.8914731e-27,7287.5620,-1.3202408e-07,-0.0066422240,7.8387895e-05
0.15025300,277174.10,241169.30,205327.79,170316.12,136800.84,281783.93,245742.86,209780.77,174567.76,140773.92,-0.013409894,2.6456131e-28,7287.3627,1.2531206e-05,-0.0074131623,-0.00015238764
