X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-기복회전(deg),Y:Pos1_Relative-선회회전(deg),Y:Pos_TY-인양물(mm),Y:Pos_ROLL-하부체(deg),Y:Pos_PITCH-하부체(deg),Y:Pos_YAW-하부체(deg)
0.00000000,1.5042048e-20,7.5842909e-21,1.2811115e-22,-7.3280686e-21,-1.4784248e-20,1.5013342e-14,1.5013335e-14,1.5013327e-14,1.5013320e-14,1.5013312e-14,0.00000000,-0.00000000,7288.7515,0.00000000,-0.00000000,0.00000000
0.010229000,499782.10,375664.13,148708.59,3361.5479,-3.2019703,499999.29,389897.16,163836.51,6866.0591,-3.1857187,1.9938509e-23,7.0602816e-05,7288.5912,6.3746838e-05,-8.9488844e-05,-0.00099275488
0.020253000,500001.64,499266.76,136793.93,1.6165242,1.6076142,500001.67,500001.66,153882.93,1.6449934,1.6358789,-6.4366351e-23,0.00027668729,7288.4668,0.00010995845,-0.00042251767,-0.0020079850
0.030253000,499998.34,499998.48,468355.68,126747.77,-1.0900797,499998.32,499998.46,485549.68,161591.59,-1.1117727,-4.9953395e-23,0.00061716671,7288.4602,0.00012149818,-0.0010122708,-0.0016409426
0.040253000,298264.45,182347.09,79737.091,13182.552,2.9584633,290014.92,174247.84,73437.355,10359.725,2.9710046,-1.0118613e-23,0.0010922377,7288.6643,9.5023731e-06,-0.0018761825,-0.00049381852
0.050253000,82781.733,57068.139,35330.187,18224.396,6407.2882,76252.856,51454.609,30783.769,14895.412,4444.6154,-3.4298876e-22,0.0017017653,7288.7150,-5.1624398e-06,-0.0029224648,-0.00015134902
0.060253000,500000.02,499999.66,438308.58,195573.99,7667.6913,500000.01,499999.64,460735.80,230377.52,19735.187,-7.4410746e-23,0.0024456145,7288.5293,9.5445457e-05,-0.0041256796,-0.0011209374
0.070253000,500000.17,326834.39,15303.766,0.62185766,0.77195181,500000.21,330233.28,16524.558,0.65755956,0.80754473,1.2951975e-25,0.0033236502,7288.5410,7.1310799e-05,-0.0055714761,-0.0015815949
0.080253000,499664.07,462362.40,378385.10,269262.39,156524.50,499998.21,468910.09,388706.04,281018.06,167481.44,9.6484362e-24,0.0043357376,7288.6177,3.6714728e-05,-0.0072167154,-0.00048526304
0.090253000,309883.02,329967.03,349549.61,368502.18,386696.15,319474.24,339290.84,358547.85,377117.57,394872.31,-4.1720145e-23,0.0054817415,7288.6919,9.4553987e-06,-0.0090290525,8.7795381e-05
