X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm),Y:Pos_ROLL-?˜ë?ì²?deg),Y:Pos_PITCH-?˜ë?ì²?deg),Y:Pos_YAW-?˜ë?ì²?deg)
2.190253,317668.09,264220,210177.5,157805.14,109367.49,336498.96,283647.52,229376.99,175974.77,125728.27,-2.76E-26,4.5025587,7293.1862,3.60E-05,-0.083666445,-0.000229346
2.200253,312162,261349.14,210109.8,160374.73,114074.72,330873.61,280549.15,229066.53,178376.58,130430.15,1.73E-26,4.5421332,7293.2109,3.52E-05,-0.084313073,-0.000217489
2.210253,319432.61,265324.06,210557.74,157489.81,108476.43,337576.55,284068.26,229084.88,175005.52,124209.29,2.44E-26,4.5818656,7293.2312,3.53E-05,-0.085016972,-0.000232378
2.220253,313318.68,262124.79,210467.86,160325.74,113676.26,331380.11,280670.39,228779.33,177704.67,129444.18,-6.07E-26,4.6217558,7293.254,3.44E-05,-0.085789455,-0.000219225
2.230253,316708.13,264013.05,210749.06,159083.72,111184.57,334349.11,282181.49,228696.29,176082.1,126527.51,9.45E-26,4.6618035,7293.2732,3.42E-05,-0.086630882,-0.000226003
2.240253,317492.39,264500.99,210913.75,158937.65,110779.69,334816.05,282352.85,228549.14,175632.98,125832.44,3.53E-26,4.7020086,7293.2918,3.38E-05,-0.087547952,-0.000227357
2.250253,313325.28,262329.66,210866.78,160891.85,114360.08,330536.93,279993.56,228304.09,177442.8,129383.95,-3.08E-28,4.7423708,7293.3104,3.32E-05,-0.088544306,-0.00021837
2.260253,319727.38,265835.1,211268.18,158356.32,109429.23,336434.85,283083.76,228311.69,174469.77,123909.13,-1.15E-26,4.7828899,7293.3249,3.32E-05,-0.089618776,-0.000231476
2.270253,313689.82,262653.35,211136.38,161099.99,114505.23,330393.83,279796.6,228058.73,177159.98,129080.1,8.60E-27,4.8235657,7293.3413,3.25E-05,-0.090777011,-0.000218576
2.280253,317750.82,264892.25,211424.58,159539.47,111428.64,334067.89,281699.84,228024.87,175254.75,125601.26,-2.04E-26,4.8643981,7293.3536,3.24E-05,-0.092013925,-0.000226809
2.290253,317322.87,264711.19,211503.67,159860.1,111940.29,333447.93,281311.83,227897.49,175384.37,125951.97,-4.36E-26,4.9053868,7293.3656,3.21E-05,-0.093330884,-0.000225701
2.300253,314440.8,263204.69,211462.81,161201.62,114407.58,330499.1,279690.05,227734.89,176638.43,128405.5,6.95E-27,4.9465316,7293.3768,3.17E-05,-0.094724453,-0.000219501
2.310253,319862.72,266168.45,211790.18,159032.99,110201.91,335526.41,282329.99,227755.3,174127.68,123772.51,-1.51E-27,4.9878324,7293.3844,3.18E-05,-0.096188053,-0.000230635
