X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm)
0.010229,188796.88,104774.65,39312.211,3519.2344,-2.0855819,197847.17,112449.17,44565.823,5359.4118,-2.132108,-3.14E-05,-1.73E-26,7288.6823
0.020253,499393.31,477124.06,428445.37,361116.42,282896.39,499998.97,485270.91,442165.08,378435.51,301901.08,-0.000122889,-6.40E-26,7288.6189
0.030253,235713.86,281201.21,325765.08,368059.88,406740.03,233731.31,279282.24,323964.67,366428.2,405322.43,-0.000274019,9.38E-26,7288.6877
0.040253,343711.19,226191.92,113525.67,30064.812,0.63718197,330660.56,212443.85,101899.71,23388.937,0.69914033,-0.000484787,1.16E-25,7288.6103
0.050253,113400.38,110812.66,108244.26,105695.59,103167.05,102390.2,99958.928,97547.532,95156.377,92785.833,-0.000755071,3.31E-24,7288.6449
0.060253,251114.53,225145.93,199416.72,174177.02,149676.91,251602.97,225605.77,199844,174568.53,150030.25,-0.001084752,-3.05E-25,7288.5856
0.070253,436732.29,360692.07,270338.09,177432.98,93739.382,447156.49,374467.05,285467.64,191992.29,105875.05,-0.001473711,8.81E-26,7288.5006
0.080253,124538.09,176289.21,231379.49,287302.83,341553.13,131586.4,183960.72,239318.23,295153.32,348960.35,-0.001921826,-2.11E-26,7288.5397
0.090253,424344.88,313255.86,187528.98,76254.892,8524.2597,433374.1,325103.6,199327.28,85272.181,12165.375,-0.002428978,-1.99E-25,7288.3988
0.100253,124249.79,154433.67,186160.33,218904.26,252139.95,124755.02,154994.23,186769.12,219552.96,252819,-0.002995047,-4.70E-26,7288.4269
0.110253,331512.81,269801.89,206970.72,146582.41,92200.095,334554.05,272917.33,209980.49,149319.9,94511.964,-0.003619913,-6.19E-26,7288.3109
0.120253,324356.56,269476.85,213731.46,159601.68,109568.79,327091.47,272253.48,216423.67,162092.57,111750.73,-0.004303456,2.62E-28,7288.2454
0.130253,152515.34,176457.61,201079.42,226149.89,251438.13,153203.62,177186.05,201842.04,226940.24,252249.26,-0.005045556,4.73E-27,7288.2155
0.140253,414715.46,311450.01,196297.36,91510.336,19341.74,421325.83,319682.29,204484.77,98079.712,22813.542,-0.005846093,-8.65E-27,7288.0617
0.150253,116210.81,159736.35,206308.67,254332.73,302213.47,117621.05,161306.45,207987.42,256065.71,303943.1,-0.006704947,-2.58E-26,7288.0611
0.160253,400037.61,314802.99,221302.28,131432.1,57089.102,405828.73,321578.57,228151.02,137493.08,61551.75,-0.007621998,3.05E-26,7287.8928
0.170253,232087.38,224319.43,216573.7,208856.94,201175.88,234388.05,226592.33,218816.99,211068.81,203354.6,-0.008597126,-1.50E-26,7287.8419
0.180253,245912.69,224085.43,202434.71,181109.26,160257.82,248872.56,226993.38,205271.44,183856.28,162897.46,-0.009630211,-6.57E-27,7287.7336
0.190253,348139.24,270007.46,190028.91,115629.01,54233.171,354262.04,276496.9,196277.13,121060.53,58304.954,-0.010721132,-4.40E-26,7287.596
0.200253,132569.59,162828.83,194453.14,226937.42,259776.54,134915.56,165313.08,197036.25,229579.41,262436.91,-0.011869771,-1.59E-26,7287.541
0.210253,406271.52,314209.71,212450.78,116325.02,41162.7,413201.39,322535.45,220851.24,123546.96,46020.782,-0.013076007,3.76E-26,7287.3477
0.220253,171467.65,195759.56,220541.19,245587.48,270673.32,173881.99,198238.66,223062.57,248128.51,273211.24,-0.01433972,1.14E-26,7287.2886
0.230253,346974.19,283838.19,218640.46,155352.71,97946.673,352093.19,289218.85,223945.66,160262.83,102159.61,-0.015660789,2.68E-26,7287.1106
0.240253,266870.53,235054.53,203454.07,172528.03,142735.31,270492,238627.54,206927.61,175853.38,145866.04,-0.017039096,-3.54E-27,7286.994
0.250253,206545.33,200668.12,194816.05,188992.16,183199.47,209489.81,203576.05,197686.15,191823.17,185990.16,-0.018474519,1.60E-27,7286.867
0.260253,358186.84,279223.49,197446.97,120752.8,57036.443,364688.68,286224.86,204259.7,126723.93,61548.313,-0.01996694,-2.10E-26,7286.6792
0.270253,154846.78,179894.41,205644.67,231836.24,258207.82,157664.44,182808.73,208625.93,234854.63,261233.42,-0.021516238,1.06E-26,7286.5823
0.280253,384070,303467.24,217091.56,134253.76,64264.608,390502.14,310716.29,224341.92,140731.34,69236.866,-0.023122292,-1.18E-26,7286.363
0.290253,201078.15,208534.72,216025.2,223543.43,231083.24,203882.13,211339.84,218829.06,226343.63,233877.44,-0.024784983,-3.23E-27,7286.2491
0.300253,308339.69,259687.43,210702.52,163071.77,118482.01,312897.79,264289.71,215189.28,167291.15,122289.94,-0.026504192,-5.64E-26,7286.0509
0.310253,284298.55,242781.37,201442.01,161305.42,123396.57,288542.18,246998.64,205529.26,165163.9,126932.43,-0.028279797,-9.14E-28,7285.8816
0.320253,202045.31,200236.9,198430.9,196627.4,194826.49,205000.07,203166.33,201334.91,199505.9,197679.4,-0.03011168,1.74E-26,7285.7228
0.330253,355637.67,281125.88,203950.28,130726.66,68070.797,361644.55,287552.16,210233.09,136332.39,72495.1,-0.031999719,-4.45E-26,7285.4969
0.340253,174499.14,191659.45,209083.09,226690.64,244402.68,177127.94,194331.53,211786.13,229412.36,247130.81,-0.033943795,-2.08E-27,7285.3554
0.350253,361257.83,289915.84,215387.14,143619.15,80559.289,366793.44,295870.69,221270.64,148966.63,84932.023,-0.035943788,-7.99E-27,7285.1098
0.360253,219592.47,216028.59,212470.95,208920.22,205377.05,222252.61,218663.35,215079.91,211502.96,207933.19,-0.037999578,-6.38E-27,7284.946
0.370253,288720.44,248513.93,208341.83,169138.14,131836.87,292482.72,252259.3,211983.41,172593.38,135027.52,-0.040111046,1.54E-26,7284.7203
0.380253,292372.24,247779.75,203250.57,160061.37,119488.85,296248.93,251645.15,206994.33,163578.85,122681.12,-0.04227807,-3.20E-27,7284.5063
0.390253,206941.24,204473.74,202010.31,199551.18,197096.57,209319.4,206829.92,204344.35,201862.93,199385.88,-0.044500531,-3.47E-27,7284.3109
0.400253,347406.6,278221.84,206982.12,138882.67,79118.723,352324.09,283400.36,212035.92,143447.84,82853.172,-0.046778309,-2.76E-26,7284.0508
0.410253,190407.23,200115.72,209894.49,219729.65,229607.3,192361.39,202080.61,211867.26,221707.46,231587.31,-0.049111284,-4.31E-27,7283.8647
0.420253,343531.71,279615.3,213864.47,150354.24,93159.633,347869.09,284146.43,218301.4,154425.83,96611.574,-0.051499336,-9.23E-27,7283.5905
0.430253,231998.44,221519.78,211086.03,200713.75,190419.5,234065.59,223556.72,213089.73,202681.29,192348.05,-0.053942345,-1.75E-27,7283.3808
0.440253,279480.21,243770.16,208173.51,173341.25,139924.38,282246.7,246504.26,210825.63,175864.59,142274.91,-0.056440191,-4.19E-27,7283.1234
0.450253,294508.75,249867.28,205229.6,161879.11,121099.2,297508.3,252852.32,208114.5,164583.46,123547.82,-0.058992754,-5.69E-27,7282.8691
0.460253,214544.34,209525.97,204522.46,199535.66,194567.43,216086.35,211048.89,206025.82,201019.01,196030.31,-0.061599913,2.98E-27,7282.6348
0.470253,337924.86,273976.53,208557.74,145687.54,89385.013,341591.76,277772.61,212244.97,149043.56,92203.115,-0.06426155,4.05E-27,7282.3418
0.480253,203391.49,206772.16,210160.11,213554.75,216955.5,204550.6,207929.02,211314.48,214706.43,218104.29,-0.066977544,-7.27E-29,7282.1118
0.490253,330423.38,272243.43,212944.19,155513.53,102939.31,333582.61,275478.03,216087.66,158410.79,105446.73,-0.069747775,6.23E-27,7281.8072
0.500253,240115.77,225333.54,210628.43,196046.69,181634.57,241489.57,226680.05,211943.65,197326.83,182876.06,-0.072572122,-3.59E-27,7281.5543
0.510253,275581.18,242024.58,208596.05,175834.94,144280.64,277466.82,243876.16,210384.07,177532,145861.4,-0.075450467,2.74E-27,7281.2627
0.520253,293410.57,250099.1,206784.96,164639.48,124833.99,295568.13,252233.95,208839.48,166560.39,126572.37,-0.078382689,-2.43E-27,7280.9704
0.530253,222620.73,214402.49,206219.04,198078.44,189988.76,223517.47,215282.53,207081.62,198922.86,190814.34,-0.081368667,3.41E-27,7280.6963
0.540253,328678.22,269531.23,209372.03,151324.8,98513.711,331382.83,272287.37,212033.75,153757.52,100594.27,-0.084408283,3.18E-28,7280.3707
0.550253,213855.91,212013.78,210173.52,208335.24,206499.01,214510.1,212661.26,210814.27,208969.23,207126.24,-0.087501415,5.99E-28,7280.0979
0.560253,320582.64,266783.36,212270.65,159366.15,110391.53,322963.75,269186.17,214590.87,161507.91,112267.32,-0.090647945,1.48E-27,7279.7615
0.570253,245276.67,227795.34,210410.92,193199.72,176238.06,246274.34,228767.42,211353.4,194108.87,177110.46,-0.093847751,9.84E-28,7279.4674
0.580253,274327.13,241598.67,208998.49,177026.83,146183.89,275794.96,243033.17,210378.01,178331.51,147395.68,-0.097100714,1.57E-27,7279.1405
0.590253,290607.17,249187.36,207787.53,167430.12,129137.57,292372.35,250925.25,209455.34,168988.71,130551.44,-0.10040671,9.62E-28,7278.8117
0.600253,230173.69,218671.93,207229.82,195869.3,184612.33,230946,219425.54,207963.44,196581.75,185302.49,-0.10376563,-6.20E-28,7278.498
0.610253,320061.59,265181.9,209631.55,155870.46,106358.51,322388.96,267527.9,211890.56,157945.64,108161.83,-0.10717735,3.09E-27,7278.1397
0.620253,222217.76,216069.69,209940.17,203832.57,197750.25,222915.34,216755.18,210613.25,204492.93,198397.62,-0.11064174,1.95E-28,7277.8257
0.630253,312895.62,262479.85,211601.93,162150.47,116014.05,315109.33,264697.29,213739.6,164131.66,117768.87,-0.11415869,1.48E-27,7277.4568
0.640253,248447.19,229231.01,210124.25,191228.18,172644.04,249599.11,230354.63,211213.91,192278.61,173650.38,-0.11772807,-4.32E-28,7277.1234
0.650253,274249.94,241639.13,209155.07,177292.59,146546.54,275889.51,243245.04,210703.22,178760.72,147914.23,-0.12134977,-6.41E-28,7276.761
0.660253,286967.24,247591.12,208268.44,169875.53,133288.71,288905.91,249501.3,210107.78,171604.92,134872.28,-0.12502367,-4.66E-28,7276.397
0.670253,236837.21,222225.63,207699.07,193302.31,179080.14,238044.65,223406.86,208850.69,194421.13,180163.16,-0.12874965,-1.39E-27,7276.0444
0.680253,312174.78,261047.97,209500.9,159500.01,113011.74,314705.33,263587.88,211952.2,161772.04,115021.13,-0.13252758,-4.72E-28,7275.6541
0.690253,228931.54,219203.43,209517.27,199886.35,190323.95,230177.51,220427.89,210718.7,201063.27,191474.98,-0.13635735,-2.35E-28,7275.3002
