X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-기복회전(deg),Y:Pos1_Relative-선회회전(deg),Y:Pos_TY-인양물(mm),Y:Pos_ROLL-하부체(deg),Y:Pos_PITCH-하부체(deg),Y:Pos_YAW-하부체(deg)
63.650253,119158.94,164747.15,213436.92,263437.30,312957.35,112503.93,157544.04,205972.18,255986.93,305786.92,-10.000000,174.37880,6105.4424,-1.9113243e-05,0.0014550645,0.00021187821
63.660253,119131.08,164727.84,213428.35,263440.38,312971.75,112490.02,157539.65,205979.03,256005.53,305816.49,-10.000000,174.39582,6105.4358,-1.9095549e-05,0.0011229578,0.00021192749
63.670253,119098.56,164704.84,213417.37,263442.51,312986.66,112475.60,157536.05,205988.15,256027.86,305851.12,-10.000000,174.41282,6105.4286,-1.9071540e-05,0.00085153030,0.00021198291
63.680253,119060.95,164677.70,213403.55,263443.30,313001.73,112461.01,157533.63,205999.97,256054.40,305891.31,-10.000000,174.42980,6105.4206,-1.9040011e-05,0.00064616462,0.00021204459
63.690253,119017.85,164646.03,213386.52,263442.37,313016.63,112446.54,157532.76,206014.89,256085.60,305937.51,-10.000000,174.44675,6105.4120,-1.8999878e-05,0.00051159953,0.00021211267
63.700253,118968.91,164609.46,213365.92,263439.42,313031.10,112432.47,157533.74,206033.28,256121.82,305990.12,-10.000000,174.46367,6105.4027,-1.8950187e-05,0.00045187045,0.00021218724
63.710253,118913.85,164567.71,213341.48,263434.19,313044.89,112419.00,157536.84,206055.42,256163.40,306049.46,-10.000000,174.48058,6105.3927,-1.8890132e-05,0.00047025815,0.00021226838
63.720253,118852.45,164520.54,213312.95,263426.45,313057.81,112406.34,157542.29,206081.56,256210.58,306115.82,-10.000000,174.49746,6105.3820,-1.8819057e-05,0.00056924614,0.00021235617
63.730253,118784.52,164467.78,213280.18,263416.05,313069.72,112394.63,157550.25,206111.89,256263.58,306189.38,-10.000000,174.51431,6105.3706,-1.8736470e-05,0.00075048728,0.00021245063
63.740253,118709.97,164409.32,213243.04,263402.87,313080.51,112383.97,157560.83,206146.53,256322.52,306270.27,-10.000000,174.53114,6105.3586,-1.8642047e-05,0.0010147801,0.00021255179
63.750253,118628.77,164345.10,213201.49,263386.86,313090.12,112374.42,157574.10,206185.54,256387.46,306358.55,-10.000000,174.54795,6105.3459,-1.8535633e-05,0.0013620549,0.00021265963
63.760253,118540.94,164275.15,213155.54,263368.02,313098.56,112365.98,157590.06,206228.93,256458.38,306454.19,-10.000000,174.56474,6105.3325,-1.8417245e-05,0.0017913702,0.00021277412
63.770253,118446.57,164199.56,213105.25,263346.42,313105.85,112358.64,157608.66,206276.62,256535.21,306557.11,-10.000000,174.58150,6105.3185,-1.8287075e-05,0.0023009195,0.00021289519
63.780253,118345.82,164118.47,213050.76,263322.15,313112.09,112352.31,157629.81,206328.49,256617.79,306667.13,-10.000000,174.59823,6105.3037,-1.8145481e-05,0.0028880476,0.00021302276
63.790253,118238.93,164032.11,212992.27,263295.39,313117.42,112346.89,157653.35,206384.36,256705.92,306784.01,-10.000000,174.61495,6105.2884,-1.7992985e-05,0.0035492775,0.00021315670
63.800253,118126.16,163940.72,212930.02,263266.35,313121.99,112342.20,157679.08,206443.98,256799.30,306907.45,-10.000000,174.63164,6105.2724,-1.7830267e-05,0.0042803466,0.00021329687
63.810253,118007.87,163844.66,212864.31,263235.28,313126.03,112338.06,157706.75,206507.05,256897.61,307037.08,-10.000000,174.64830,6105.2557,-1.7658153e-05,0.0050762523,0.00021344313
63.820253,117884.43,163744.29,212795.49,263202.50,313129.78,112334.24,157736.07,206573.22,257000.43,307172.46,-10.000000,174.66494,6105.2385,-1.7477606e-05,0.0059313059,0.00021359527
63.830253,117756.28,163640.03,212723.96,263168.35,313133.54,112330.48,157766.70,206642.09,257107.34,307313.11,-10.000000,174.68156,6105.2206,-1.7289715e-05,0.0068391954,0.00021375312
63.840253,117623.91,163532.37,212650.13,263133.21,313137.61,112326.48,157798.28,206713.24,257217.83,307458.51,-10.000000,174.69815,6105.2022,-1.7095675e-05,0.0077930542,0.00021391643
63.850253,117487.82,163421.79,212574.50,263097.49,313142.35,112321.92,157830.41,206786.19,257331.37,307608.08,-10.000000,174.71472,6105.1831,-1.6896778e-05,0.0087855377,0.00021408500
63.860253,117348.55,163308.83,212497.53,263061.63,313148.12,112316.48,157862.67,206860.44,257447.42,307761.23,-10.000000,174.73127,6105.1636,-1.6694392e-05,0.0098089048,0.00021425858
63.870253,117206.67,163194.04,212419.76,263026.09,313155.29,112309.79,157894.62,206935.48,257565.38,307917.32,-10.000000,174.74779,6105.1434,-1.6489945e-05,0.010855103,0.00021443692
63.880253,117062.75,163077.99,212341.71,262991.32,313164.26,112301.50,157925.81,207010.77,257684.65,308075.72,-10.000000,174.76429,6105.1228,-1.6284905e-05,0.011915861,0.00021461976
63.890253,116917.38,162961.25,212263.91,262957.81,313175.43,112291.24,157955.77,207085.77,257804.64,308235.78,-10.000000,174.78077,6105.1017,-1.6080760e-05,0.012982776,0.00021480687
63.900253,116771.13,162844.39,212186.90,262926.04,313189.20,112278.64,157984.04,207159.92,257924.72,308396.84,-10.000000,174.79722,6105.0801,-1.5879004e-05,0.014047411,0.00021499797
63.910253,116624.58,162727.99,212111.22,262896.47,313205.96,112263.33,158010.16,207232.71,258044.30,308558.26,-10.000000,174.81364,6105.0580,-1.5681108e-05,0.015101388,0.00021519283
63.920253,116478.29,162612.59,212037.37,262869.57,313226.10,112244.96,158033.70,207303.60,258162.79,308719.41,-10.000000,174.83005,6105.0355,-1.5488511e-05,0.016136480,0.00021539119
63.930253,116332.79,162498.72,211965.87,262845.77,313249.98,112223.18,158054.23,207372.09,258279.63,308879.69,-10.000000,174.84643,6105.0126,-1.5302591e-05,0.017144703,0.00021559282
63.940253,116188.59,162386.90,211897.16,262825.48,313277.95,112197.68,158071.33,207437.70,258394.28,309038.53,-10.000000,174.86278,6104.9893,-1.5124657e-05,0.018118402,0.00021579748
63.950253,116046.18,162277.58,211831.70,262809.10,313310.33,112168.17,158084.64,207500.00,258506.24,309195.40,-10.000000,174.87911,6104.9656,-1.4955922e-05,0.019050337,0.00021600496
63.960253,115905.98,162171.19,211769.87,262796.96,313347.40,112134.38,158093.83,207558.57,258615.06,309349.79,-10.000000,174.89542,6104.9416,-1.4797493e-05,0.019933759,0.00021621504
63.970253,115768.38,162068.12,211712.04,262789.38,313389.41,112096.07,158098.58,207613.06,258720.34,309501.28,-10.000000,174.91170,6104.9172,-1.4650354e-05,0.020762488,0.00021642754
63.980253,115633.72,161968.69,211658.49,262786.62,313436.57,112053.05,158098.65,207663.15,258821.71,309649.47,-10.000000,174.92796,6104.8926,-1.4515351e-05,0.021530970,0.00021664226
63.990253,115502.29,161873.18,211609.48,262788.88,313489.04,112005.18,158093.83,207708.60,258918.87,309794.04,-10.000000,174.94420,6104.8677,-1.4393185e-05,0.022234344,0.00021685904
64.000253,115374.31,161781.81,211565.21,262796.31,313546.93,111952.34,158083.97,207749.20,259011.60,309934.72,-10.000000,174.96041,6104.8425,-1.4284397e-05,0.022868486,0.00021707774
64.010253,115249.96,161694.74,211525.80,262809.03,313610.31,111894.46,158068.95,207784.81,259099.71,310071.33,-10.000000,174.97660,6104.8171,-1.4189362e-05,0.023430053,0.00021729820
64.020253,115129.33,161612.04,211491.32,262827.06,313679.19,111831.53,158048.75,207815.36,259183.11,310203.73,-10.000000,174.99276,6104.7915,-1.4108286e-05,0.023916512,0.00021752033
64.030253,115012.47,161533.76,211461.77,262850.40,313753.53,111763.59,158023.35,207840.83,259261.76,310331.86,-10.000000,175.00890,6104.7657,-1.4041198e-05,0.024326162,0.00021774402
64.040253,114899.35,161459.84,211437.11,262878.97,313833.23,111690.70,157992.84,207861.28,259335.68,310455.73,-10.000000,175.02502,6104.7397,-1.3987952e-05,0.024658148,0.00021796918
64.050253,114789.90,161390.19,211417.20,262912.62,313918.16,111613.00,157957.33,207876.81,259404.99,310575.44,-10.000000,175.04111,6104.7136,-1.3948225e-05,0.024912461,0.00021819576
64.060253,114683.96,161324.65,211401.87,262951.17,314008.10,111530.67,157917.01,207887.60,259469.85,310691.14,-10.000000,175.05717,6104.6873,-1.3921523e-05,0.025089929,0.00021842372
64.070253,114581.33,161262.96,211390.87,262994.37,314102.82,111443.91,157872.10,207893.90,259530.48,310803.05,-10.000000,175.07322,6104.6610,-1.3907185e-05,0.025192199,0.00021865303
64.080253,114481.73,161204.86,211383.90,263041.92,314202.02,111352.98,157822.88,207895.99,259587.20,310911.45,-10.000000,175.08924,6104.6345,-1.3904391e-05,0.025221710,0.00021888369
64.090253,114384.85,161149.99,211380.60,263093.47,314305.38,111258.19,157769.70,207894.22,259640.36,311016.72,-10.000000,175.10523,6104.6079,-1.3912169e-05,0.025181655,0.00021911573
64.100253,114290.30,161097.95,211380.57,263148.62,314412.52,111159.87,157712.91,207889.01,259690.38,311119.25,-10.000000,175.12120,6104.5813,-1.3929412e-05,0.025075934,0.00021934919
64.110253,114197.66,161048.29,211383.37,263206.93,314523.04,111058.39,157652.94,207880.78,259737.71,311219.51,-10.000000,175.13715,6104.5546,-1.3954884e-05,0.024909102,0.00021958413
64.120253,114106.47,161000.53,211388.49,263267.95,314636.50,110954.12,157590.23,207870.04,259782.87,311318.03,-10.000000,175.15307,6104.5279,-1.3987240e-05,0.024686303,0.00021982064
64.130253,114016.22,160954.14,211395.43,263331.17,314752.46,110847.49,157525.25,207857.31,259826.42,311415.35,-10.000000,175.16897,6104.5011,-1.4025042e-05,0.024413205,0.00022005882
64.140253,113926.37,160908.56,211403.62,263396.07,314870.43,110738.93,157458.51,207843.13,259868.94,311512.09,-10.000000,175.18484,6104.4743,-1.4066774e-05,0.024095925,0.00022029880
64.150253,113836.37,160863.22,211412.51,263462.13,314989.96,110628.86,157390.52,207828.08,259911.04,311608.86,-10.000000,175.20070,6104.4475,-1.4110861e-05,0.023740949,0.00022054072
64.160253,113745.64,160817.52,211421.51,263528.79,315110.53,110517.75,157321.79,207812.75,259953.35,311706.32,-10.000000,175.21652,6104.4207,-1.4155692e-05,0.023355049,0.00022078475
64.170253,113653.59,160770.85,211430.03,263595.50,315231.68,110406.02,157252.87,207797.74,259996.53,311805.13,-10.000000,175.23232,6104.3939,-1.4199633e-05,0.022945194,0.00022103107
64.180253,113559.63,160722.61,211437.48,263661.74,315352.93,110294.13,157184.27,207783.64,260041.21,311905.96,-10.000000,175.24810,6104.3671,-1.4241053e-05,0.022518466,0.00022127986
64.190253,113463.16,160672.20,211443.28,263726.97,315473.81,110182.50,157116.51,207771.04,260088.03,312009.48,-10.000000,175.26385,6104.3403,-1.4278343e-05,0.022081972,0.00022153134
64.200253,113363.61,160619.03,211446.88,263790.67,315593.88,110071.54,157050.10,207760.51,260137.64,312116.36,-10.000000,175.27958,6104.3135,-1.4309934e-05,0.021642749,0.00022178571
64.210253,113260.41,160562.52,211447.73,263852.36,315712.72,109961.64,156985.51,207752.62,260190.64,312227.23,-10.000000,175.29529,6104.2868,-1.4334316e-05,0.021207685,0.00022204319
64.220253,113153.03,160502.16,211445.32,263911.57,315829.95,109853.16,156923.19,207747.89,260247.61,312342.71,-10.000000,175.31097,6104.2601,-1.4350061e-05,0.020783428,0.00022230400
64.230253,113040.97,160437.41,211439.17,263967.89,315945.20,109746.45,156863.57,207746.81,260309.10,312463.37,-10.000000,175.32663,6104.2334,-1.4355836e-05,0.020376310,0.00022256836
64.240253,112923.77,160367.84,211428.85,264020.93,316058.17,109641.79,156807.01,207749.82,260375.61,312589.75,-10.000000,175.34226,6104.2067,-1.4350424e-05,0.019992270,0.00022283649
64.250253,112801.00,160293.01,211413.98,264070.35,316168.56,109539.46,156753.86,207757.34,260447.60,312722.34,-10.000000,175.35787,6104.1801,-1.4332736e-05,0.019636780,0.00022310858
64.260253,112672.29,160212.56,211394.20,264115.86,316276.16,109439.67,156704.41,207769.71,260525.46,312861.57,-10.000000,175.37345,6104.1536,-1.4301826e-05,0.019314785,0.00022338484
64.270253,112537.35,160126.19,211369.25,264157.22,316380.77,109342.60,156658.89,207787.22,260609.54,313007.80,-10.000000,175.38901,6104.1271,-1.4256903e-05,0.019030644,0.00022366545
64.280253,112395.91,160033.65,211338.91,264194.26,316482.25,109248.39,156617.49,207810.11,260700.11,313161.33,-10.000000,175.40455,6104.1007,-1.4197343e-05,0.018788079,0.00022395056
64.290253,112247.78,159934.76,211303.01,264226.84,316580.54,109157.12,156580.33,207838.54,260797.36,313322.39,-10.000000,175.42006,6104.0743,-1.4122696e-05,0.018590139,0.00022424032
