X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm)
4.000253,435369.93,352938.69,255351.31,156996.87,72264.427,411597.37,322890.17,223625.29,128137.49,50761.538,-4.26E-26,9.361093,7288.9135
4.010253,430586.24,349444.5,254542.5,159027.41,76046.386,406942.13,320090.26,223688.89,130835.38,54627.09,2.67E-27,9.4043355,7288.9071
4.020253,426578.73,346578.91,253895.5,160712.33,79213.245,403022.14,317739.62,223691.69,133015.71,57849.011,3.01E-26,9.4476589,7288.9003
4.030253,436163.18,353785.02,256051.97,157447.6,72455.508,411422.15,322473.3,222984.68,127381.45,50088.752,-2.25E-28,9.491063,7288.8889
4.040253,429908.35,349174.1,254901.85,159976.82,77284.219,405469.86,318951.59,223169.27,130956.35,55146.254,3.11E-26,9.5345477,7288.8825
4.050253,427945.2,347797.95,254646.89,160892.61,78935.732,403432.15,317696.31,223098.7,131989.48,56718.839,3.83E-26,9.5781129,7288.8746
4.060253,436692,354407.45,256644.31,157922.94,72763.703,411098.18,322002.28,222420.82,126812.23,49634.948,1.23E-26,9.6217584,7288.8631
4.070253,429344.79,348962.79,255227.25,160803.53,78356.996,404195.45,317962.76,222707.38,131041.13,55575.859,-4.43E-26,9.665484,7288.8569
4.080253,429378.44,349049.93,255368.69,160981.35,78534.521,403989.7,317764.24,222552.33,130946.3,55538.49,9.76E-27,9.7092898,7288.8482
4.090253,436971.42,354817.85,257134.55,158423.18,73185.424,410629.68,321477.27,221928.08,126418.98,49386.86,-3.04E-27,9.7531754,7288.837
4.100253,428928.57,348838.48,255534.64,161508.82,79252.786,403134.14,317125.56,222290.65,131066.05,55888.409,-2.95E-26,9.7971408,7288.8311
4.110253,430821,350298.14,256059.62,161013.18,78066.541,404623.93,317896.42,222042.27,129911.13,54352.625,4.10E-26,9.8411859,7288.8219
4.120253,437027.06,355040.18,257538.66,158954.32,73718.979,410019.12,320893.05,221491.75,126179.89,49322.168,5.27E-28,9.8853105,7288.8115
4.130253,428683.34,348825.21,255844.5,162106.54,79976.637,402281.21,316426.79,221900.02,131009.47,56063.726,5.40E-26,9.9295144,7288.806
