X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-기복회전(deg),Y:Pos1_Relative-선회회전(deg),Y:Pos_TY-인양물(mm),Y:Pos_ROLL-하부체(deg),Y:Pos_PITCH-하부체(deg),Y:Pos_YAW-하부체(deg)
0.00000000,7.5210241e-21,3.7913566e-21,6.3266766e-23,-3.6648231e-21,-7.3929130e-21,1.5013335e-14,1.5013331e-14,1.5013328e-14,1.5013324e-14,1.5013320e-14,0.00000000,-0.00000000,7288.7515,0.00000000,-0.00000000,0.00000000
0.010229000,68206.595,43006.692,22867.198,8602.0338,1025.1177,72845.655,46832.960,25766.504,10465.157,1747.7912,1.2275620e-23,3.5301408e-05,7288.7179,1.5326280e-05,-6.0811819e-05,-0.00016290904
0.020253000,356791.36,335454.68,313467.57,291001.40,268227.51,374848.21,354079.85,332500.88,310286.19,287610.65,-1.2627748e-22,0.00013834364,7288.6794,3.0764448e-05,-0.00024737706,-9.7245049e-05
0.030253000,347333.66,360578.33,373485.66,386013.04,398117.83,359702.26,372564.51,385053.96,397128.66,408746.67,1.4435715e-22,0.00030858335,7288.6905,1.5327945e-05,-0.00056466033,6.0627548e-05
0.040253000,344806.34,296451.75,246418.72,196514.47,148546.21,343288.13,294817.43,244725.75,194823.96,146922.98,3.0136435e-23,0.00054611885,7288.6749,6.7003703e-06,-0.00099812298,-0.00021232668
0.050253000,96959.098,116544.76,137222.63,158809.91,181123.79,85687.852,104619.14,124764.67,145938.88,167956.21,-4.9119657e-23,0.00085088265,7288.7289,-2.3002069e-05,-0.0015574821,9.9236557e-05
0.060253000,212009.24,165973.92,122669.29,83608.613,50305.153,202872.74,157270.76,114691.89,76647.476,44648.849,-1.0426185e-22,0.0012228072,7288.6931,-3.9411176e-06,-0.0022135703,-0.00019996976
0.070253000,154898.32,162918.36,171030.58,179226.10,187496.04,150856.90,158861.42,166963.42,175153.93,183423.93,-6.2414133e-23,0.0016618251,7288.7143,-7.2809941e-06,-0.0029833640,3.6187045e-05
0.080253000,263157.95,241590.04,220077.81,198764.08,177791.68,266087.00,244483.39,222916.43,201529.73,180466.88,9.5344773e-24,0.0021678688,7288.6905,7.7025284e-06,-0.0038445851,-9.1190923e-05
0.090253000,270516.84,252923.51,235317.29,217775.88,200377.01,276268.99,258642.03,240976.68,223351.40,205844.65,-1.6653147e-24,0.0027408707,7288.6895,1.0778740e-05,-0.0047996112,-7.4519061e-05
0.10025300,207006.34,212169.85,217348.09,222539.05,227740.69,211834.92,216984.16,222146.10,227318.77,232500.15,2.0400005e-24,0.0033807635,7288.7030,5.5673876e-06,-0.0058385717,2.1970431e-05
0.11025300,272509.34,232262.63,192425.68,153928.44,117700.88,278371.34,238066.81,198038.87,159222.77,122553.72,7.5989383e-24,0.0040874795,7288.6816,1.4938804e-05,-0.0069445645,-0.00017029334
0.12025300,145116.17,163663.99,182707.63,202134.85,221833.40,147485.89,166104.64,185204.69,204673.80,224399.70,4.1992811e-24,0.0048609514,7288.7137,-9.4808087e-08,-0.0081211603,8.4045822e-05
0.13025300,281934.72,234448.84,187463.80,142510.81,101121.08,287019.92,239494.25,192307.91,146999.60,105108.02,-1.2977063e-23,0.0057011115,7288.6765,1.5224178e-05,-0.0093393133,-0.00020105138
0.14025300,161589.67,180334.18,199465.83,218876.73,238458.94,163785.78,182583.59,201755.84,221194.56,240791.83,-8.5045287e-25,0.0066078924,7288.7092,-3.8569125e-07,-0.010609222,8.2956419e-05
0.15025300,285805.74,246280.65,206838.66,168365.31,131746.11,290492.51,250949.19,211384.59,172688.77,135751.80,-3.4383287e-25,0.0075812267,7288.6760,1.3306514e-05,-0.011899319,-0.00016751481
0.16025300,194324.88,200666.77,207038.21,213435.34,219854.31,196879.99,203222.60,209593.11,215987.69,222402.51,8.5906997e-25,0.0086210467,7288.6992,2.3216716e-06,-0.013216797,2.7278317e-05
0.17025300,246948.31,224351.41,201941.73,179884.25,158343.93,250555.88,227899.86,205405.74,183239.46,161566.98,8.6458819e-25,0.0097272850,7288.6836,8.8030634e-06,-0.014536136,-9.5691932e-05
0.18025300,221826.66,209252.99,196772.90,184415.42,172209.55,224942.39,212317.87,199780.29,187358.90,175082.92,-7.8977416e-26,0.010899874,7288.6886,6.4080476e-06,-0.015855102,-5.3635885e-05
0.19025300,202596.55,198722.31,194859.48,191008.93,187171.54,205478.57,201573.50,197679.33,193796.94,189927.23,1.4177281e-24,0.012138746,7288.6925,4.5864022e-06,-0.017159541,-1.6715911e-05
0.20025300,254365.74,224932.99,195810.34,167361.81,139951.42,258623.24,229120.76,199877.41,171259.28,143632.44,4.1397301e-24,0.013443835,7288.6781,1.0887448e-05,-0.018436210,-0.00012457049
0.21025300,180004.44,189179.72,198433.27,207753.02,217126.88,182823.13,192012.85,201276.96,210603.42,219980.21,-1.3113100e-24,0.014815071,7288.6974,2.1946501e-06,-0.019682652,3.9942354e-05
0.22025300,275980.68,237999.30,200264.82,163559.31,128664.87,280945.84,242922.32,205044.90,168099.86,132873.47,8.7245112e-25,0.016252388,7288.6715,1.3389690e-05,-0.020877362,-0.00016072923
0.23025300,175959.42,188537.88,201265.76,214111.71,227044.38,178740.71,191347.40,204096.39,216956.38,229896.09,-1.4344732e-24,0.017755719,7288.6976,1.5285941e-06,-0.022025668,5.4914282e-05
0.24025300,272902.99,236733.08,200810.58,165810.41,132407.44,277649.92,241433.07,205376.53,170158.80,136458.42,4.1292120e-25,0.019324995,7288.6712,1.2772317e-05,-0.023103623,-0.00015302312
0.25025300,187820.33,194030.53,200273.30,206544.94,212841.78,190633.37,196845.26,203087.92,209357.67,215650.89,-2.0250514e-24,0.020960150,7288.6933,2.7053958e-06,-0.024118492,2.6852832e-05
0.26025300,250625.36,224911.70,199435.01,174438.15,150163.98,254701.21,228921.84,203342.25,178206.75,153759.62,-1.9341188e-25,0.022661115,7288.6762,9.9971325e-06,-0.025050483,-0.00010885620
0.27025300,212375.75,205658.10,198969.73,192315.14,185698.79,215604.37,208846.48,202115.98,195417.41,188755.29,-1.1425342e-25,0.024427824,7288.6860,5.5390905e-06,-0.025903432,-2.8788849e-05
0.28025300,221289.19,209925.95,198637.87,187446.35,176372.81,224725.59,213310.60,201964.78,190709.73,179567.05,3.3077268e-26,0.026260209,7288.6835,6.6293207e-06,-0.026666557,-4.8481864e-05
0.29025300,239750.74,219024.03,198488.27,178271.35,158501.17,243613.17,222820.55,202196.10,181868.56,161966.63,-2.0827453e-26,0.028158201,7288.6786,8.8373363e-06,-0.027337338,-8.7917655e-05
0.30025300,197007.12,197868.29,198730.04,199592.36,200455.23,199972.26,200816.07,201660.41,202505.25,203350.59,7.9151564e-25,0.030121735,7288.6901,3.8584285e-06,-0.027915563,3.6502074e-06
0.31025300,259184.94,228958.46,199006.11,169721.59,141498.62,263435.12,233145.91,203077.00,173624.29,145183.66,-4.8937574e-25,0.032150742,7288.6740,1.1041831e-05,-0.028392778,-0.00012786508
