X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm)
4.000253,434205.75,351254.19,253359.44,154981.57,70580.674,413508.29,325052.88,225675.83,129794.75,51827.233,1.08E-26,8.7477192,7288.985
4.010253,427745.23,346565.11,252269.28,157672.37,75589.002,407333.89,321333.3,225768.65,133417.14,57056.008,-7.61E-26,8.7893654,7288.9796
4.020253,425757.98,345193.59,252039,158620.8,77265.564,405264.11,320039.38,225668.52,134441.59,58648.619,-9.81E-27,8.8310995,7288.9726
4.030253,434717.77,351857.29,253936.84,155449.39,70887.874,413181.05,324584.29,225121.22,129238.93,51384.518,1.96E-26,8.8729215,7288.9617
4.040253,427068.53,346277.14,252577.87,158540.93,76736.54,405963.05,320282.67,225304.03,133558.12,57575.923,8.07E-27,8.9148312,7288.956
4.050253,427260.28,346477.81,252746.61,158655.29,76792.47,405907.32,320172.62,225145.94,133375.76,57410.595,2.61E-26,8.9568286,7288.9476
4.060253,434950.94,352226.25,254404.14,155948.56,71323.452,412692.05,324053.52,224643.99,128878.78,51173.25,-6.30E-27,8.9989136,7288.9365
4.070253,426566.11,346090.19,252862.76,159264.13,77674.617,404846.04,319415.02,224897.11,133631.78,57958.512,-8.32E-27,9.0410861,7288.9305
4.080253,428783.66,347762.09,253414.9,158613.29,76228.457,406657.32,320395.05,224672.89,132318.43,56159.3,2.32E-26,9.0833461,7288.921
4.090253,434931.68,352382.36,254770.42,156475,71875.253,412055.92,323466.74,224237.24,128695.82,51170.827,3.54E-27,9.1256934,7288.91
4.100253,426267.47,346029.4,253139.38,159845.2,78394.663,403994.29,318729.78,224535.49,133616.84,58179.268,-7.12E-26,9.168128,7288.9039
4.110253,430265.77,349005.88,254042.02,158532.32,75634.91,407438.01,320656.14,224238.96,131297.67,54943.498,-3.73E-26,9.2106498,7288.8937
4.120253,434697.16,352358.93,255054.44,157030.23,72532.843,411285.66,322824.76,223885.02,128660.54,51345.407,1.98E-27,9.2532587,7288.8833
4.130253,426189.4,346113.86,253427.1,160300.97,78907.312,403396.23,318209.75,224200.18,133495.46,58223.548,9.07E-27,9.2959547,7288.8772
4.140253,431655.73,350178.55,254633.44,158453.91,75073.481,408174.16,320902.6,223827.91,130333.46,53802.651,3.91E-26,9.3387376,7288.8666
4.150253,434292.62,352198.24,255282.34,157620.3,73287.51,410392.79,322124.33,223564.71,128735.54,51658.417,3.30E-26,9.3816073,7288.8572
4.160253,426336.97,346356.62,253747.52,160658.57,79238.669,403021.79,317824.96,223867.83,133253.73,58085.985,-2.22E-27,9.4245639,7288.8513
4.170253,432915.69,351259.84,255200.4,158420.12,74601.765,408796.58,321082.62,223419.89,129437.84,52765.942,5.24E-26,9.4676072,7288.841
4.180253,433768.57,351948.15,255484.75,158253.97,74131.408,409388.55,321360.28,223250.17,128878.89,52067.121,1.69E-26,9.5107372,7288.8327
4.190253,426705.06,346764.65,254122.31,160951.42,79425.353,402828.35,317537.49,223513.5,132882.21,57769.483,-9.31E-27,9.5539537,7288.8273
4.200253,434020.66,352239.02,255757.65,158470.02,74269.599,409246.48,321149.91,222994.07,128615.96,51852.557,-2.51E-28,9.5972566,7288.8175
4.210253,433177.98,351658.48,255693.45,158940.21,75056.083,408285.57,320528.11,222915.07,129047.68,52527.189,1.50E-26,9.640646,7288.8107
4.220253,427279.86,347338.61,254570.81,161214.86,79509.163,402766.97,317306.6,223113.68,132376.71,57284.209,-5.73E-27,9.6841217,7288.8058
