X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm),Y:Pos_ROLL-?˜ë?ì²?deg),Y:Pos_PITCH-?˜ë?ì²?deg),Y:Pos_YAW-?˜ë?ì²?deg)
1.480253,226024.62,213745.44,201545.29,189451.02,177489.49,225485.26,213201.64,200998.33,188902.24,176940.28,1.89E-28,5.72E-31,7288.5571,1.46E-06,-0.00689913,-5.22E-05
1.490253,227433.76,214467.86,201588.23,188826.44,176214.08,226827.9,213857.81,200975.58,188212.84,175601.22,-4.18E-27,6.59E-30,7288.5573,1.50E-06,-0.006528452,-5.51E-05
1.500253,225317.57,213433.78,201624.69,189914.64,178328,224603.9,212718.08,200908.49,189199.54,177615.62,-9.04E-32,3.36E-31,7288.5585,1.16E-06,-0.006082663,-5.05E-05
1.510253,228054.71,214823.06,201680.3,188659.98,175795.65,227270.84,214036.95,200894.05,187875.73,175015.58,4.58E-28,-1.83E-30,7288.5584,1.31E-06,-0.005565595,-5.62E-05
1.520253,225163.55,213405.82,201721.26,190133.47,178666.06,224250.84,212493.57,200811.35,189227.83,177766.63,-8.86E-29,-4.02E-31,7288.5598,8.72E-07,-0.004982063,-5.00E-05
1.530253,228103.33,214899.35,201783.71,188789.72,175950.72,227108.5,213904.89,200792.21,187803.8,174973.06,-1.70E-27,3.38E-30,7288.5597,1.02E-06,-0.004337332,-5.61E-05
1.540253,225592.49,213674.18,201830.48,190085.95,178465.17,224461.42,212546.07,200707.71,188970.91,177360.27,-2.68E-28,3.53E-30,7288.561,6.08E-07,-0.003637566,-5.07E-05
1.550253,227654.41,214731.8,201894.23,189172.95,176599.2,226422.94,213503.81,200672.74,187961,175399.87,-1.51E-27,-1.26E-30,7288.5611,6.51E-07,-0.002889265,-5.49E-05
1.560253,226422.65,214146.54,201948.51,189855.38,177893.97,225058.54,212787.97,200598.48,188516.9,176570.07,2.04E-29,1.38E-30,7288.5621,3.59E-07,-0.002099621,-5.22E-05
1.570253,226961.8,214445.73,202010.1,189683.34,177493.86,225477.77,212968.52,200543.11,188229.95,176057.46,-1.36E-27,5.66E-30,7288.5626,2.41E-07,-0.001276104,-5.32E-05
1.580253,227347.75,214669.01,202072.28,189587.1,177242.97,225740.75,213070.23,200485.46,188015.98,175691.31,-1.60E-27,-1.42E-30,7288.5632,1.05E-07,-0.000426586,-5.39E-05
1.590253,226344.43,214199.1,202130.08,190163.35,178324.87,224602.76,212467.61,200412.48,188463.33,176646.14,8.76E-28,8.65E-31,7288.5641,-1.71E-07,0.000440828,-5.16E-05
1.600253,228059.11,215085.97,202197.64,189425.73,176801.84,226205.24,213243.13,200370.33,187618.42,175019.02,8.48E-28,-8.08E-31,7288.5644,-1.74E-07,0.00131794,-5.51E-05
1.610253,226059.99,214118.54,202251.04,190482.19,178836.67,224066.17,212138.06,200287.98,188540.6,176920.59,1.02E-27,1.45E-30,7288.5656,-5.45E-07,0.002196389,-5.07E-05
