X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm),Y:Pos_ROLL-?˜ë?ì²?deg),Y:Pos_PITCH-?˜ë?ì²?deg),Y:Pos_YAW-?˜ë?ì²?deg)
2.190253,263742.22,230317.21,197205.69,164939.92,134052.19,290853.3,257352.35,223732.88,190537.46,158308.65,1.13E-27,6.0034116,7297.419,4.24E-05,-0.10299071,-0.000141846
2.200253,264556.9,230814.41,197383.3,164811.14,133645.47,291310.12,257499.52,223565.74,190066.76,157560.5,9.86E-27,6.0561776,7297.4621,4.20E-05,-0.1041277,-0.000143179
2.210253,262942.96,230056.88,197478.29,165714.13,135271.33,289442.51,256469.31,223395.18,190736.79,159010.84,-5.32E-27,6.1091542,7297.5042,4.14E-05,-0.10531717,-0.000139555
2.220253,265463.51,231435.21,197713.33,164859.43,133435.08,291539.14,257450.04,223236.55,189470.59,156724.1,-1.46E-27,6.1623411,7297.5436,4.11E-05,-0.10656158,-0.000144372
2.230253,262996.03,230233.1,197772.66,166115.94,135764.21,288869.45,256017.98,223073.35,190546.26,158947.44,-2.52E-27,6.215738,7297.5825,4.06E-05,-0.1078664,-0.00013902
2.240253,265393.15,231545.08,197998.39,165305.76,134019.87,290859.86,256947.53,222920.45,189341.34,156772.9,1.17E-26,6.2693448,7297.6181,4.03E-05,-0.10923184,-0.000143596
2.250253,263950.28,230866.86,198081.94,166111.61,135471.92,289193.34,256029.38,222770.28,189941.57,158068.8,-1.99E-26,6.323161,7297.6528,3.98E-05,-0.1106616,-0.000140359
2.260253,264639.94,231289.42,198235.53,166006.93,135132.28,289576.83,256151.93,222628.41,189544.44,157438.24,-2.73E-26,6.3771865,7297.6848,3.95E-05,-0.11215496,-0.000141481
2.270253,265218.3,231651.38,198379.13,165940.56,134874.68,289868.33,256232.05,222494.57,189204.47,156910.35,-1.72E-26,6.431421,7297.7148,3.91E-05,-0.11371208,-0.00014239
2.280253,263945.29,231049.14,198445.32,166641.14,136143.96,288416.46,255437.37,222373.47,189741.21,158057.04,-2.30E-27,6.4858641,7297.7429,3.88E-05,-0.11533192,-0.00013955
2.290253,266042.56,232191.96,198632.19,165916.04,134596.31,290187.02,256273.72,222256.85,188698.78,156161.87,8.68E-28,6.5405157,7297.7679,3.85E-05,-0.11701063,-0.000143578
