X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm),Y:Pos_ROLL-?˜ë?ì²?deg),Y:Pos_PITCH-?˜ë?ì²?deg),Y:Pos_YAW-?˜ë?ì²?deg)
15.990253,368491.26,322347.42,273638.54,224101.13,175471.71,362335.61,315735.97,266811.21,217297.65,168931.62,10,5.0242213,8054.5999,-3.42E-07,-0.005284654,-0.000209414
16.000253,372628.18,324947.85,274394.66,222917.87,172466.77,366142.52,317941.21,267142.48,215695.27,165548.51,10,5.0404099,8054.5978,-5.71E-07,-0.004589978,-0.000217636
16.010253,366454.61,321222.43,273577.57,225142.82,177540.96,360323.47,314657.9,266807.15,218393.75,171040.23,10,5.0566225,8054.5948,-4.68E-07,-0.00394419,-0.000204737
16.020253,370894.21,324003.51,274383.14,223874.12,174317.47,364416.74,317025.71,267168.86,216686.83,167420.23,10,5.0728591,8054.5879,-6.99E-07,-0.003355067,-0.000213528
16.030253,365037.75,320483.6,273621.59,225994.45,179144.92,358906.18,313933.05,266871.44,219263.76,172652.46,10,5.0891196,8054.5806,-5.90E-07,-0.002831076,-0.000201311
16.040253,368364.02,322577.78,274257.58,225100.15,176802.19,361966.35,315712.71,267170.65,218036.46,170006.44,10,5.1054042,8054.5699,-7.73E-07,-0.002378753,-0.000207795
16.050253,364077,320025.35,273737.79,226700.29,180398.85,357933.32,313471.94,266988.64,219969.05,173898.84,10,5.1217127,8054.5587,-6.97E-07,-0.002004964,-0.000198811
16.060253,365343.33,320858.79,274058.61,226480.72,179663.06,359082.13,314169.57,267165.07,219606.17,173030.41,10,5.1380451,8054.545,-7.97E-07,-0.001714786,-0.000201099
16.070253,363299.11,319676.69,273876.84,227338.61,181501.08,357152.93,313128.74,267136.38,220614.52,175001.88,10,5.1544015,8054.5305,-7.77E-07,-0.001513038,-0.000196694
16.080253,362203.38,319071.66,273835.79,227881.25,182593.48,356114.29,312594.32,267171.91,221232.18,176160.22,10,5.1707819,8054.5147,-7.79E-07,-0.00140313,-0.000194221
16.090253,362424.09,319263.84,273989.32,227990.06,182655.6,356306.46,312754.86,267292.14,221307.44,176189.92,10,5.1871861,8054.4977,-8.16E-07,-0.001387549,-0.00019441
16.100253,359288.78,317421.86,273634.34,229180.09,185313,353385.1,311165.59,267207.48,222764.32,179089.7,10,5.2036143,8054.4805,-7.27E-07,-0.001467846,-0.000187867
16.110253,361247.11,318660.14,274038.72,228712.2,184009.92,355204.2,312241.14,267438.04,222123.88,177627.62,10,5.2200663,8054.4618,-8.06E-07,-0.001644067,-0.000191561
16.120253,356848.37,316054.69,273485.48,230290.83,187620.85,351124.31,310007.17,267280.36,224093.7,181597.04,10,5.2365423,8054.4437,-6.52E-07,-0.001915742,-0.000182535
16.130253,359683.48,317813.11,274008.17,229525.05,185620.09,353766.71,311540.87,267563.26,223089.92,179376.89,10,5.2530421,8054.4243,-7.45E-07,-0.002280531,-0.000187991
16.140253,355001.58,315036.95,273401.99,231171.37,189419.78,349438.8,309172.76,267389.96,225164.84,183571.88,10,5.2695658,8054.406,-5.62E-07,-0.002735855,-0.000178455
16.150253,357775.81,316748.17,273901.02,230408.5,187444.75,352031.49,310673.06,267664.17,224178.68,181390.46,10,5.2861133,8054.3866,-6.38E-07,-0.003277171,-0.000183798
16.160253,353741.68,314360.46,273378.95,231821.22,190711.31,348316.87,308649.97,267527.47,225973.27,185011.24,10,5.3026847,8054.3685,-4.62E-07,-0.003899798,-0.000175609
16.170253,355671.4,315553.97,273736.89,231309.96,189362.98,350131.92,309709.96,267742.87,225320.25,183531.71,10,5.31928,8054.35,-4.97E-07,-0.004597278,-0.000179289
16.180253,352967.44,313961.74,273398.62,232270.66,191570.45,347658.63,308378.04,267678.54,226552.57,185992.56,10,5.335899,8054.3327,-3.57E-07,-0.005362959,-0.000173793
16.190253,353581.26,314356.87,273545.4,232158.35,191207.2,348258.92,308755.02,267804.8,226419.61,185610.81,10,5.3525419,8054.3156,-3.36E-07,-0.006188817,-0.00017489
16.200253,352529.44,313749.79,273437.33,232566.15,192110.34,347319.27,308272.21,267826.47,226956.02,186634.86,10,5.3692086,8054.2996,-2.51E-07,-0.007066491,-0.000172708
16.210253,351732.32,313291.97,273359.15,232880.13,192801.17,346616.38,307917.94,267856.02,227376.82,187426.55,10,5.3858991,8054.2845,-1.73E-07,-0.007986784,-0.00017105
16.220253,352277.19,313634.1,273472.57,232755.7,192446.57,347152.8,308247.81,267955.23,227238.1,187059.43,10,5.4026134,8054.2702,-1.47E-07,-0.008940004,-0.000172057
16.230253,350322.89,312476.85,273207.43,233413.62,193994.36,345380.15,307292.12,267900.87,228105.34,188804.47,10,5.4193515,8054.2573,-2.47E-08,-0.009916197,-0.000168152
16.240253,352096.64,313546.71,273488.33,232877.12,192668.68,347046.76,308239.36,268051.75,227439.49,187358.17,10,5.4361133,8054.2451,-5.09E-08,-0.01090482,-0.000171612
16.250253,349489.45,311992.36,273111.52,233718.94,194686.63,344667.83,306938.66,267940.42,228545.13,189624.83,10,5.4528989,8054.2347,9.19E-08,-0.011895582,-0.000166456
16.260253,351932.44,313455.32,273478.19,232950.75,192822.68,346942.99,308212.03,268107.18,227578.14,187574.59,10,5.4697083,8054.2249,2.84E-08,-0.012877633,-0.000171258
16.270253,349289.22,311872.89,273082.05,233782.55,194840.2,344523.74,306878.71,267971.92,228669.27,189836.62,10,5.4865414,8054.2171,1.63E-07,-0.013840769,-0.000166063
16.280253,351793.68,313366.55,273445.91,232977.32,192906.32,346843.12,308164.62,268117.36,227646.88,187698.77,10,5.5033982,8054.2098,8.09E-08,-0.014774397,-0.00017101
16.290253,349700.01,312106.46,273118.82,233616.42,194478.58,344919.6,307094.29,267989.25,228483.84,189457.45,10,5.5202787,8054.2045,1.79E-07,-0.01566882,-0.000166922
16.300253,351744.98,313320.46,273403.92,232940.56,192875.54,346800.65,308125.22,268082.33,227617.16,187674.91,10,5.537183,8054.1999,9.46E-08,-0.016514245,-0.000170987
16.310253,350634.61,312643.17,273212.57,233253.08,193674.93,345768.57,307536.23,267984.04,228022.28,188561.23,10,5.5541109,8054.1971,1.32E-07,-0.017301888,-0.000168855
16.320253,351886.75,313378.72,273370.35,232813.41,192659.66,346902.89,308141.25,268005.44,227447.21,187418.31,10,5.5710626,8054.1951,5.76E-08,-0.018023246,-0.000171382
16.330253,351965.27,313409.29,273348.28,232737.77,192533.28,346948.15,308136.59,267947.35,227335.93,187257.88,10,5.5880379,8054.1945,2.06E-08,-0.018670824,-0.000171608
16.340253,352329.28,313609.22,273365.22,232566.19,192181.05,347247.31,308266.48,267892,227092.74,186837.59,10,5.6050369,8054.1949,-4.13E-08,-0.019237817,-0.000172405
16.350253,353552.08,314323.79,273509.06,232119.58,191167.01,348326.5,308823.04,267871.33,226482.95,185669.51,10,5.6220595,8054.1962,-1.56E-07,-0.019718353,-0.000174902
16.360253,353165.9,314070.17,273406.46,232174.88,191375.52,347917.13,308547.7,267747.95,226517.87,185857.47,10,5.6391058,8054.1988,-2.11E-07,-0.020107622,-0.000174233
16.370253,355269.53,315313.79,273679.93,231443.13,189678.58,349786.82,309532.1,267750.72,225517.69,183908.01,10,5.6561757,8054.2018,-3.94E-07,-0.020401656,-0.000178485
16.380253,354450.26,314796.54,273506.45,231627.99,190209.15,348960.64,309013.39,267578.67,225704.25,184437.94,10,5.6732693,8054.2059,-4.56E-07,-0.020597822,-0.000176966
16.390253,357026.43,316326.49,273850.63,230742.11,188144.18,351245.65,310219.28,267583.89,224482.44,182057.88,10,5.6903865,8054.2101,-6.92E-07,-0.020694252,-0.000182171
16.400253,356181.84,315791.27,273669.56,230930.75,188688.88,350378.19,309666.52,267388.18,224656.87,182586.29,10,5.7075273,8054.2153,-7.78E-07,-0.020690559,-0.000180603
16.410253,358776.24,317335.5,274017.3,230035.88,186605.52,352662.32,310864.35,267373.28,223402.91,180167.03,10,5.7246917,8054.2203,-1.04E-06,-0.020587076,-0.000185861
16.420253,358302.49,317022.84,273891.3,230105.92,186864.76,352119.1,310482.63,267178.93,223405.53,180359.97,10,5.7418797,8054.226,-1.17E-06,-0.020385616,-0.000185029
16.430253,360516.69,318340.85,274182.41,229329.41,185069.88,354038.48,311471.26,267125.3,222287.99,178246.69,10,5.7590912,8054.2312,-1.45E-06,-0.020088713,-0.000189546
