X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm),Y:Pos_ROLL-?˜ë?ì²?deg),Y:Pos_PITCH-?˜ë?ì²?deg),Y:Pos_YAW-?˜ë?ì²?deg)
1.490253,221757.45,208477.48,195303.96,182271.09,169413.07,234135.33,220691.85,207324.43,194068,180957.52,8.50E-27,2.1369145,7290.9409,1.90E-05,-0.092654903,-5.68E-05
1.500253,219662.65,207416.39,195263.12,183229.75,171343.16,232082.56,219674.97,207334.48,195088.62,182964.91,-1.59E-28,2.1649297,7290.9787,1.88E-05,-0.092233338,-5.25E-05
1.510253,222257.85,208700.47,195253.39,181952.99,168835.64,234747.77,221024.88,207380.3,193851.2,180474.74,-1.09E-27,2.1931169,7291.016,1.91E-05,-0.09162021,-5.80E-05
1.520253,219309.32,207213.73,195209.34,183322.05,171577.79,231830.13,219572.43,207380.46,195280.76,183299.85,-4.98E-27,2.2214761,7291.0555,1.89E-05,-0.090824366,-5.19E-05
1.530253,222180.14,208636.82,195203.76,181917.22,168813.45,234766,221056.01,207424.12,193907.36,180542.78,7.27E-27,2.250007,7291.0942,1.93E-05,-0.089853544,-5.80E-05
1.540253,219522.12,207295.07,195161.02,183146.72,171278.94,232139.1,219748.38,207424.42,195194.62,183086.39,-5.50E-27,2.2787094,7291.135,1.91E-05,-0.08871936,-5.24E-05
1.550253,221583.1,208313.06,195149.75,182127.3,169279.86,234258.22,220821.02,207459.46,194208.43,181102.83,5.59E-27,2.3075831,7291.1752,1.93E-05,-0.087432083,-5.68E-05
1.560253,220134.81,207575.13,195112.88,182777.04,170596.61,232850.45,220124.93,207468.93,194912.11,182484.13,4.02E-27,2.3366279,7291.2169,1.93E-05,-0.086005184,-5.38E-05
1.570253,220706.82,207847.08,195088.77,182462.98,170000.83,233476.22,220449.17,207494.15,194642.97,181927.44,4.01E-27,2.3658436,7291.2585,1.94E-05,-0.084451427,-5.51E-05
1.580253,220852.06,207904.67,195059.95,182349.62,169805.44,233676.52,220560.91,207518.03,194580.34,181780.3,-4.91E-27,2.39523,7291.3007,1.95E-05,-0.082785304,-5.55E-05
1.590253,219865.17,207394.39,195020.09,182770.67,170674.51,232745.13,220106.73,207536.94,195064.82,182719.44,-5.27E-27,2.424787,7291.3436,1.95E-05,-0.081021737,-5.34E-05
1.600253,221368.1,208129.12,194996.87,182005.25,169188.17,234319.22,220909.72,207575.32,194350.7,181270.51,-2.68E-28,2.4545142,7291.3861,1.97E-05,-0.07917563,-5.67E-05
1.610253,219322.08,207085.33,194942.2,182919.53,171044.16,232338.42,219933.06,207594.21,195349.35,183225.97,3.30E-28,2.4844115,7291.4297,1.96E-05,-0.077263394,-5.25E-05
1.620253,221476.88,208143.04,194917.41,181834.65,168929.38,234580.76,221074.29,207643.55,194323.99,181151.02,3.85E-28,2.5144787,7291.4723,1.99E-05,-0.075299968,-5.71E-05
1.630253,219200.2,206979.08,194851.59,182844.47,170984.45,232387.06,219995.3,207669.75,195437.82,183326.91,-2.98E-27,2.5447156,7291.5162,1.98E-05,-0.073302337,-5.24E-05
1.640253,221135.97,207922.49,194815.87,181849.85,169058.14,234427.94,221039.79,207726.15,194521.53,181460.44,4.19E-27,2.575122,7291.5589,2.01E-05,-0.071285264,-5.66E-05
1.650253,219451.8,207049.63,194743.69,182561.94,170532.32,232850.91,220274.94,207766.52,195354.28,183066.83,2.56E-26,2.6056977,7291.6024,2.01E-05,-0.069265304,-5.32E-05
1.660253,220465.39,207525.45,194689.03,181987.83,169453.55,233989.89,220873.11,207828.29,194887.87,182084.33,4.35E-27,2.6364424,7291.6449,2.04E-05,-0.067256861,-5.55E-05
1.670253,219894.54,207204.28,194614.39,182154.8,169855.41,233553.94,220685.87,207887.51,195189.52,182622.55,-1.50E-26,2.6673561,7291.6876,2.05E-05,-0.065275153,-5.44E-05
1.680253,219687.11,207062.04,194536.67,182140.45,169902.87,233495.73,220691.21,207955.69,195319.4,182812.52,2.64E-28,2.6984384,7291.7298,2.07E-05,-0.063333959,-5.41E-05
1.690253,220291.09,207323.52,194460.44,181733.75,169175.36,234263.22,221113.23,208034.94,195061.06,182224.28,7.88E-27,2.7296892,7291.7714,2.10E-05,-0.061446491,-5.56E-05
1.700253,219033.43,206648.31,194360.1,182196.67,170185.86,233181.62,220613.6,208112.25,195706.14,183423.83,9.20E-29,2.7611082,7291.8129,2.11E-05,-0.059625481,-5.31E-05
1.710253,220440.04,207306.03,194279.24,181392.82,168679.93,234779.48,221458.08,208209.37,195067.33,182065.93,8.10E-30,2.7926954,7291.8531,2.15E-05,-0.057881773,-5.63E-05
1.720253,218661.61,206362.99,194160.62,182081.78,170153.74,233205.46,220719.39,208298.9,195971.97,183766.63,-6.17E-28,2.8244503,7291.8935,2.16E-05,-0.056226495,-5.28E-05
1.730253,220244.96,207103.22,194069.35,181176.59,168458.16,235006.54,221672.2,208410.12,195254.39,182239.07,-1.78E-27,2.856373,7291.9324,2.21E-05,-0.054668045,-5.63E-05
1.740253,218605.67,206223.43,193939.07,181780.45,169775.4,233599.42,221023.98,208514.34,196099.11,183806.88,-3.22E-27,2.8884631,7291.9713,2.23E-05,-0.053215347,-5.31E-05
1.750253,219739.27,206732.11,193831.6,181069.98,168479.49,234976.09,221770.86,208636.25,195605.37,182711.29,4.00E-27,2.9207205,7292.0087,2.27E-05,-0.051874454,-5.58E-05
1.760253,218778.47,206186.87,193696.58,181336.87,169137.01,234272.33,221480.76,208756.18,196128.66,183628.29,5.57E-27,2.953145,7292.0459,2.30E-05,-0.050651591,-5.41E-05
1.770253,219061.91,206263.62,193569.77,181011.12,168618.38,234822.56,221820.4,208886.58,196052.72,183350.38,4.38E-27,2.9857363,7292.0819,2.33E-05,-0.049550627,-5.49E-05
1.780253,219017,206173.34,193435.1,180833.35,168399.15,235054.75,222003.69,209021.04,196138.74,183388.73,-3.90E-28,3.0184942,7292.1172,2.37E-05,-0.04857481,-5.51E-05
1.790253,218397.1,205792.32,193290.02,180919.59,168710.42,234722.33,221907.39,209158.64,196506.33,183980.7,-3.48E-27,3.0514186,7292.1517,2.41E-05,-0.04772595,-5.41E-05
1.800253,219149.9,206099.2,193157.53,180357.49,167731.65,235766.45,222500.63,209304.21,196210.71,183253.66,2.95E-27,3.0845092,7292.185,2.45E-05,-0.047004335,-5.60E-05
