X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm)
0.010229,336019.76,191962.72,65674.347,1530.621,-2.5551571,347914.03,204194.74,74496.987,3394.5218,-2.5825131,-1.22E-24,6.28E-05,7288.6514
0.020253,500000.33,500000.56,456553.61,305021.63,126967.8,500000.41,500000.64,465529.92,320138.61,140677.04,3.97E-23,0.000246,7288.5723
0.030253,64643.558,78755.731,93872.285,109888.56,126699.89,52404.325,65577.293,79868.141,95169.917,111375.67,1.57E-23,0.000548777,7288.7346
0.040253,233490.58,138762.01,59815.837,10163.808,-1.1327642,223204.29,129481.59,52968.868,7185.4214,-1.217912,1.04E-23,0.000971313,7288.6781
0.050253,499998.97,467457.18,338431.54,173148.51,39219.164,499998.88,481902.68,366607.49,202534.89,57734.226,9.33E-24,0.001513526,7288.5977
0.060253,164309.52,230962.8,298876.96,363538.12,420432.4,176564.02,243774.29,311396.31,374921.28,429840.44,2.62E-23,0.002175338,7288.7274
0.070253,452227.64,334280.48,190350.07,64645.469,1375.7554,457654.95,342577.19,198773.28,70626.67,2520.7953,4.29E-23,0.002956667,7288.6294
0.080253,350011.67,252464.19,154565.41,70582.701,14783.442,346720.45,248850.94,151145.3,67899.059,13407.717,2.53E-23,0.003857435,7288.6584
0.090253,143368.08,178450.75,214968.29,252181.65,289351.78,141027.49,176033.13,212527.47,249768.46,287014.03,4.28E-23,0.00487756,7288.7209
0.100253,500000.06,434483.47,277245.07,107767.12,5680.2414,500000.05,444590.49,291734.7,120029.53,9457.8968,6.87E-23,0.006016964,7288.5979
0.110253,209442.92,217541.36,225670.73,233823.27,241991.2,211179.64,219280.86,227411.33,235563.27,243728.94,-2.35E-23,0.007275565,7288.7019
0.120253,305892.83,247591.72,189408.76,134224.11,84917.933,309152.22,250855.73,192517.2,137027.86,87278.963,-3.50E-24,0.008653284,7288.6706
0.130253,445748.67,324994.86,181354.6,58614.698,561.94307,453223.76,336055.93,192429.23,66320.644,1707.1546,1.87E-24,0.010150042,7288.6247
0.140253,129102.5,173930.9,221333.69,269694.8,317398.17,132085.78,177164.17,224706.61,273094.98,320711.13,6.22E-24,0.011765757,7288.7202
0.150253,479625.17,388346.06,257530.35,124670.57,27259.282,483810.46,396823.32,267436.77,133301.09,32066.564,-3.22E-24,0.01350035,7288.6162
0.160253,310899.65,264549.53,217744.16,171950.08,128633.84,312736.46,266380.72,219511.16,173599.47,130117.36,-6.44E-24,0.015353742,7288.6689
0.170253,209142.47,197444.63,185853.07,174391.68,163084.32,210440.2,198712.92,187089.68,175594.45,164251.24,2.74E-24,0.017325851,7288.6906
0.180253,456924.6,338949.65,192422.01,64162.002,989.99294,463494.34,349473.32,203261.91,71879.904,2347.0935,-4.07E-24,0.019416598,7288.6166
0.190253,174899.13,202516.36,230681.45,259068.43,287351.32,177823.09,205519.45,233728.85,262125.16,290382.23,5.40E-24,0.021625903,7288.704
0.200253,430987.6,347055.57,248833.83,150779.77,67350.803,436225.66,353794.06,255981.87,157307.1,72287.785,-3.68E-23,0.023953686,7288.6332
0.210253,357797.29,284890.59,209105.5,136697.82,73923.345,362530.04,289947.42,214057.25,141140.87,77479.641,2.29E-24,0.026399868,7288.651
0.220253,178321.34,182618.8,186935.48,191270.13,195621.5,180796.15,185091.89,189406.03,193737.31,198084.5,-1.48E-23,0.028964367,7288.6959
0.230253,451855.34,340999.88,204902.87,81118.872,7202.4146,458190.21,350611.1,214908.02,88794.629,9984.5812,-3.74E-24,0.031647104,7288.6181
0.240253,216645.86,224741.82,232861.65,240997.67,249142.18,219500.56,227593.73,235708.01,243835.75,251969.29,-4.15E-26,0.034447999,7288.6914
0.250253,385538.63,314671.08,238287.67,162893.44,94993.449,390328.11,320015.85,243704.43,167926.07,99213.004,-1.29E-23,0.037366972,7288.6461
0.260253,376814.3,294421.96,207150.56,124583.95,56306.001,382137.41,300325.87,212964.1,129675.37,60082.946,1.68E-24,0.040403943,7288.645
0.270253,179730.08,186575.75,193467.03,200398.88,207366.25,182396.21,189248.28,196143.85,203077.91,210045.44,6.90E-24,0.043558832,7288.6972
0.280253,442145.79,337775.85,213018.09,96714.711,17707.92,448159.31,346231.7,221797.93,103820.42,21261.574,1.68E-23,0.046831559,7288.625
0.290253,242471.96,236484.58,230504.1,224533.59,218576.11,245416.89,239401.97,233392.52,227391.63,221402.39,-1.24E-24,0.050222044,7288.6871
0.300253,356075.29,294556.96,230398.87,167397.6,109349.71,360414.82,299154.08,234970.03,171675.15,113081.95,-3.38E-24,0.053730207,7288.6576
0.310253,382942.24,298541.64,208449.54,123221.78,53414.169,388111.01,304346.25,214182.88,128219.44,57054.47,6.15E-25,0.057355968,7288.6481
0.320253,190713.44,195187.09,199677.22,204182.46,208701.45,193142.44,197612.74,202098.7,206598.96,211112.16,-1.04E-24,0.061099247,7288.7009
0.330253,431754.03,332654.65,217205.69,108151.35,28235.805,437198.15,339840.84,224607.07,114332.9,31854.428,-1.56E-24,0.064959963,7288.6364
0.340253,257221.86,242464.76,227731.01,213066.32,198516.44,259905.41,245117.61,230345,215633.59,201029.41,1.55E-24,0.068938038,7288.6908
0.350253,340692.7,284162.51,225975.45,168951.93,115912.37,344387.17,287992.81,229749.6,172489.41,119044.12,4.02E-24,0.073033391,7288.6705
0.360253,382614.35,299459.03,210670.49,126351.68,56605.529,387106.65,304483.25,215630.37,130690.19,59804.9,9.21E-25,0.077245942,7288.6587
0.370253,203619.79,203952.67,204285.61,204618.64,204951.73,205450.68,205771.88,206093.14,206414.46,206735.86,9.79E-25,0.081575611,7288.7093
0.380253,422235.66,327379.46,219143.42,116176.8,37128.859,426898.35,333246.21,225127.81,121264.38,40377.198,5.88E-24,0.086022317,7288.6524
0.390253,265225.51,245408.65,225617.46,205962.75,186555.37,267373.64,247528.35,227696.91,207990.71,188521.11,-1.12E-24,0.090585982,7288.7017
0.400253,334555.03,279898.83,223901.35,169074.09,117928.56,337510.32,282931.86,226871.61,171850.68,120390.19,-6.53E-25,0.095266525,7288.6861
0.410253,378764.2,298385.18,212902.39,131323.59,62656.543,382366.59,302359.84,216811.12,134761.29,65251.199,1.56E-26,0.10006387,7288.6753
0.420253,216268.76,211897.05,207535.93,203186.62,198850.34,217367.24,212981.74,208606.58,204242.99,199892.2,-3.83E-24,0.10497792,7288.7224
0.430253,413938.83,322536.15,219910.95,121891.36,44305.492,417745.01,327151.56,224571.39,125890.54,46995.067,5.54E-24,0.11000862,7288.6722
0.440253,269147.07,246614.79,224106.99,201786.74,179817.09,270642.28,248083.81,225539.24,203172.28,181146.66,2.84E-25,0.11515588,7288.7181
0.450253,333878.29,279150.11,223112.53,168282.35,117176.39,336143.46,281460.97,225361.46,170370.68,119014.39,3.36E-24,0.12041961,7288.7044
0.460253,372883.33,296056.89,214852.69,136982.13,70156.587,375634.86,299036.89,217763.91,139554.06,72145.492,-8.23E-26,0.12579974,7288.6962
0.470253,228210.36,219013.17,209853.72,200743.25,191692.98,228693.71,219483.36,210310.28,201185.73,192120.98,1.48E-24,0.13129619,7288.7389
0.480253,406652.55,318141.21,220033.51,126107.42,50140.914,409733.92,321768.37,223659.22,129232.48,52314.165,-1.72E-24,0.13690887,7288.6945
0.490253,270620.6,246746.65,222899.12,199272.04,176059.46,271587.74,247688.84,223808.76,200142.2,176883.89,-2.78E-25,0.14263772,7288.7377
0.500253,336123.54,280200.39,222856.17,166788.66,114695.65,337950.28,282057.83,224653.11,168443,116134.37,-2.45E-24,0.14848264,7288.7242
0.510253,365764.85,292884.07,216392.68,142726,78319.358,367947.12,295202.23,218641.21,144720.85,79897.924,7.97E-25,0.15444356,7288.7191
0.520253,239458.07,225456.01,211522.82,197697.78,184020.23,239686.53,225669.62,211721.09,197880.39,184186.95,6.27E-25,0.1605204,7288.7568
0.530253,399987.31,314011.11,219740.49,129360.46,55056.043,402685.78,317114.54,222818.17,132023.12,56955.832,-3.23E-24,0.16671308,7288.7173
0.540253,270726.91,246219.09,221743.63,197510.42,173729.37,271519.83,246987.11,222480.23,198209.8,174386.42,-3.69E-25,0.17302151,7288.7581
0.550253,339657.41,281964.41,222661.91,164735.07,111168.99,341469.32,283812.82,224449.46,166374.38,112582.7,-8.07E-25,0.17944562,7288.7436
0.560253,357885.78,289113.65,217456.57,148197.11,86617.823,359958.87,291285.61,219559.16,150079.68,88147.362,1.39E-25,0.18598533,7288.7417
0.570253,250102.89,231355.1,212700.73,194233.74,176048.09,250602.44,231833.29,213155.37,194662.93,176450.22,1.83E-24,0.19264056,7288.7741
0.580253,393574.44,309950.43,219140.65,132006,59407.342,396381.07,313128.2,222283.97,134746.62,61414.399,3.21E-26,0.19941123,7288.7388
0.590253,270225.4,245342.06,220499.82,195918.31,171817.2,271349.77,246439.84,221561.38,196934.85,172780.69,9.38E-26,0.20629725,7288.7772
0.600253,343452.52,283777.92,222272.61,162268.75,107098.51,345760.85,286157.91,224589.9,164400.67,108934.06,1.08E-24,0.21329855,7288.7612
0.610253,349598.66,284936.05,218030.77,153176.72,94667.79,352097.23,287537.45,220561.28,155477.69,96595.647,1.25E-24,0.22041505,7288.7624
0.620253,260209.3,236795.79,213485.35,190460.69,167904.56,261547.94,238104.05,214753.24,191678.94,169064.59,-7.42E-25,0.22764667,7288.7894
0.630253,387157.99,305838.5,218320.36,134300.96,63477.683,390602.17,309699.32,222145.9,137674.47,66017.621,-1.58E-24,0.23499333,7288.758
0.640253,269670.85,244378.2,219136.77,194177.19,169730.09,271660.77,246337.71,221048.12,196023.6,171495.79,2.67E-25,0.24245494,7288.7941
0.650253,346895.36,285270.08,221594.68,159568.64,102891.47,350184.4,288701.16,224961.26,162678.33,105565.97,-2.40E-24,0.25003143,7288.7767
0.660253,341219.77,280540.19,218158.71,157551.98,102196.67,344629.77,284076.58,221618.45,160745.54,104947.98,6.84E-25,0.25772272,7288.7809
0.670253,269802.68,241838.25,213964.73,186493.8,159737.14,272452.81,244452.91,216514.98,188952.14,162077.52,-1.44E-25,0.26552873,7288.8027
0.680253,380621.35,301655.09,217386.32,136452.41,67490.766,385141.14,306678.39,222374.36,140900.54,70928.45,1.59E-24,0.27344938,7288.7754
0.690253,269472.59,243562.79,217714.54,192175.75,167194.31,272753.8,246808.44,220893.7,195258.79,170152.91,1.95E-25,0.28148458,7288.8092
0.700253,349664.72,286282.53,220659.28,156846.34,98895.04,354278.06,291140.37,225452.09,161281.73,102697.81,-3.10E-25,0.28963426,7288.7909
0.710253,333056.04,276129.33,217936.87,161298.88,109035.56,337703.05,280926.82,222647.07,165696.42,112907.51,-2.21E-25,0.29789834,7288.7982
0.720253,278882.14,246534.35,214238.31,182478.01,151737.4,283107.65,250731.21,218343.8,186432,155482.36,3.26E-26,0.30627674,7288.8154
0.730253,373972.95,297466.58,216468.91,138635.3,71621.156,379804.89,303890.11,222853.27,144383.12,76168.375,-4.14E-24,0.31476938,7288.7925
0.740253,269922.29,243102.48,216353.34,189949.84,164166.96,274700.89,247840.94,221003.2,194464.38,168501.2,3.76E-25,0.32337617,7288.8244
0.750253,351645.62,286807.52,219582.88,154328.41,95400.852,357703.31,293229.54,225940.57,160213.56,100425.62,-9.93E-25,0.33209704,7288.806
0.760253,325398.51,271912.47,217499.01,164463.01,115109.36,331374.71,278051.95,223537.07,170146.54,120196.82,-5.13E-25,0.34093191,7288.8165
0.770253,287435.17,250934.29,214415.58,178577.85,144119.88,293233.35,256727.8,220093.36,184033,149249.67,2.55E-25,0.3498807,7288.83
0.780253,367307.25,293389.13,215701.55,140988.6,75994.335,374428.4,301158.75,223422.52,147996.02,81655.592,-1.03E-24,0.35894333,7288.8118
0.790253,271204.64,243160.98,215193.96,187618.02,160747.62,277413.94,249328.65,221250.92,193497.47,166385.02,-1.83E-25,0.36811971,7288.8421
0.800253,352856.79,286929.23,218521.79,152226.29,92634.556,360225.71,294776.56,226305.7,159428.28,98759.453,-7.37E-25,0.37740977,7288.8246
0.810253,318499.97,268082.55,216990.65,167132.25,120415.32,325647.65,275391.01,224183.01,173942.38,126587.87,-1.31E-24,0.38681343,7288.8384
0.820253,295444.61,255082.14,214600.59,174950.91,137084.05,302555.52,262228.96,221614.58,181669.33,143350.17,1.81E-25,0.39633061,7288.8489
0.830253,360755.05,289543.96,215191.12,143601.48,80680.036,368893.97,298339.56,223924.15,151583.17,87252.041,-1.28E-24,0.40596123,7288.8359
0.840253,273400.04,243840.09,214356.85,185318.84,157094.57,280721.71,251123.63,221511.49,192256.65,163730.47,1.35E-24,0.4157052,7288.8649
0.850253,353384.26,286765.63,217624.75,150703.31,90743.015,361710.95,295655.21,226450.59,158864.22,97663.261,6.34E-25,0.42556245,7288.8491
