X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm)
0.010229,68209.887,43007.123,22865.776,8600.0101,1023.9929,72854.947,46838.336,25768.79,10465.43,1747.38,-8.09E-24,4.71E-05,7288.7179
0.020253,356796.21,335456.67,313466.5,290997.14,268220.01,374865.88,354095.27,332513.68,310296.08,287617.43,9.18E-23,0.0001845,7288.6794
0.030253,347320.79,360566.63,373475.13,386003.66,398109.58,359713.69,372576.33,385066.08,397141,408759.14,1.02E-22,0.000411583,7288.6905
0.040253,344787.67,296426.92,246388.29,196479.55,148508.49,343320.73,294846.27,244749.41,194841.64,146934.47,-3.25E-23,0.000728485,7288.6749
0.050253,96928.75,116514.28,137192.49,158780.53,181095.53,85706.381,104640.35,124788.54,145965.33,167985.13,-6.25E-23,0.001135145,7288.729
0.060253,211992.11,165953.71,122647.15,83586.063,50284.105,202904.95,157297.33,114712.47,76662.136,44658.068,5.75E-23,0.001631503,7288.6932
0.070253,154886.55,162906.11,171017.85,179212.89,187482.36,150875.1,158879.3,166980.95,175171.08,183440.67,1.85E-22,0.002217501,7288.7145
0.080253,263153.45,241584.1,220070.48,198755.43,177781.82,266102.55,244497.39,222928.8,201540.41,180475.85,5.34E-26,0.002893076,7288.6908
0.090253,270518.36,252921.38,235311.51,217766.51,200364.15,276284.16,258653.51,240984.41,223355.37,205844.88,-9.51E-24,0.00365817,7288.6899
0.100253,206998.02,212162.48,217341.69,222533.62,227736.24,211837.63,216987.78,222150.64,227324.22,232506.53,-1.02E-23,0.004512723,7288.7035
0.110253,272514.6,232262.38,192420.03,153917.9,117686.33,278385.04,238074.98,198041.41,159219.94,122546.2,-2.84E-24,0.005456674,7288.6821
0.120253,145109.08,163658.34,182703.55,202132.41,221832.68,147486.11,166106.48,185208.22,204679.05,224406.71,-9.04E-24,0.006489963,7288.7143
0.130253,281943.93,234452.73,187462.36,142504.54,101111.02,287034.26,239503.3,192311.46,146997.96,105102.02,-1.32E-23,0.007612531,7288.6773
0.140253,161587.33,180332.46,199464.79,218876.37,238459.28,163789.31,182587.85,201760.82,221200.26,240798.22,-3.15E-24,0.008824318,7288.7101
0.150253,285814.31,246285.45,206839.59,168362.53,131740.06,290502.32,250955.25,211386.75,172687.16,135746.8,7.90E-25,0.010125263,7288.6771
0.160253,194329.2,200669.71,207039.76,213435.49,219853.05,196882.79,203224.03,209593.15,215986.33,222399.73,3.30E-24,0.011515306,7288.7004
0.170253,246957.13,224358.26,201946.58,179887.12,158344.9,250554.82,227896.94,205400.99,183232.98,161558.89,-4.72E-24,0.012994388,7288.685
0.180253,221841.6,209264.33,196780.68,184419.68,172210.37,224941.19,212313.28,199772.37,187347.72,175068.6,3.47E-25,0.014562449,7288.6902
0.190253,202608.15,198733.46,194870.18,191019.18,187181.34,205468.88,201563.56,197669.15,193786.52,189916.57,2.14E-25,0.016219427,7288.6943
0.200253,254390.05,224952.39,195824.69,167371.14,139955.96,258619.38,229112.28,199864.5,171242.3,143611.91,-1.95E-24,0.017965265,7288.6801
0.210253,180019.04,189194.69,198448.59,207768.67,217142.85,182809.3,191999.33,201263.77,210590.59,219967.75,-4.60E-24,0.019799901,7288.6997
0.220253,276011.04,238024.68,200284.77,163573.69,128673.84,280937.59,242909.18,205027.18,168078.16,132848.7,-4.34E-25,0.021723275,7288.674
0.230253,175979.75,188558.41,201286.43,214132.47,227065.18,178722.29,191328.94,204077.94,216937.99,229877.8,-5.91E-25,0.023735328,7288.7004
0.240253,272939.17,236764.8,200837.32,165831.88,132423.63,277633.28,241412.15,205351.75,170130.84,136428.17,8.11E-25,0.025835999,7288.6743
0.250253,187850.47,194059.8,200301.67,206572.39,212868.28,190608.61,196819.7,203061.56,209330.55,215622.99,1.36E-24,0.028025229,7288.6967
0.260253,250667.4,224950,199469.27,174468.16,150189.65,254674.69,228892.3,203310.01,178172.23,153723.33,3.89E-25,0.030302957,7288.6799
0.270253,212417.69,205697.63,199006.87,192349.87,185731.11,215572.59,208813.08,202081,195380.88,188717.26,1.57E-25,0.032669124,7288.6901
0.280253,221336.17,209970.18,198679.29,187484.94,176408.53,224689.76,213273.02,201925.54,190668.94,179524.82,2.62E-26,0.035123669,7288.688
0.290253,239804.26,219073.92,198534.28,178313.3,158538.92,243574.07,222778.96,202152.32,181822.93,161919.57,2.45E-25,0.037666533,7288.6835
0.300253,197058.51,197918.13,198778.32,199639.07,200500.39,199928.2,200771.04,201614.4,202458.27,203302.63,-9.00E-25,0.040297655,7288.6954
0.310253,259248.36,229017.63,199060.34,169770.35,141541.52,263389.21,233096.67,203025.15,173570.64,145129.17,-5.25E-25,0.043016976,7288.6797
0.320253,186427.66,193066.29,199742.85,206452.83,213191.74,188956.95,195599.35,202277.85,208987.97,215725.23,2.82E-25,0.045824435,7288.7
0.330253,264058.94,231947.22,200100.79,168991.49,139091.17,268066.93,235899.36,203939.66,172662.15,142541.12,-9.16E-27,0.048719973,7288.6805
0.340253,191118.73,195806.02,200511.18,205232.65,209968.84,193459.29,198144.03,202845.78,207562.97,212294.05,-2.02E-25,0.051703529,7288.701
0.350253,253201.96,226668.53,200369.55,174571.6,149541.27,256657.56,230066.19,203675.76,177754.29,152569.79,-9.39E-26,0.054775043,7288.6858
0.360253,207202.94,203678.03,200161.58,196654.25,193156.69,209563.94,206014.63,202473.45,198941.05,195418.1,-1.52E-25,0.057934456,7288.6994
0.370253,232270.11,215941.93,199744.54,183740.78,167993.49,235021.09,218644,202387.77,186315.6,170490.74,-3.46E-25,0.061181708,7288.6942
0.380253,228111.21,213730.42,199457.98,185336.97,171410.5,230674.63,216249,201924.57,187744.71,173752.77,-6.55E-26,0.064516738,7288.6969
0.390253,211088.64,205246.53,199426.8,193632.41,187866.3,213216.19,207347.1,201499.49,195676.31,189880.56,-1.22E-25,0.067939487,7288.7032
