X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm),Y:Pos_ROLL-?˜ë?ì²?deg),Y:Pos_PITCH-?˜ë?ì²?deg),Y:Pos_YAW-?˜ë?ì²?deg)
4.990253,426294.86,345735.08,252470.21,158884.96,77364.073,405503.31,320184.84,225672.47,134313.21,58454.076,7.33E-27,7.0065939,7288.5279,-1.91E-05,-0.001162857,-0.000402814
5.000253,427698.66,346815.9,252872.34,158550.31,76532.135,406553.61,320719.82,225472.98,133455.73,57310.703,1.77E-26,7.0318904,7288.5278,-1.97E-05,-0.000212051,-0.000406007
5.010253,429687,348329.95,253388.34,157989.88,75262.255,408142.98,321570.41,225247.44,132259.51,55692.067,-4.48E-28,7.0572206,7288.5276,-2.06E-05,0.000713806,-0.000410696
5.020253,426351.41,345986.55,252932.98,159500.55,77999.115,404780.68,319510.6,225175.17,134044.05,58386.881,-2.88E-27,7.0825845,7288.529,-2.04E-05,0.001600784,-0.00040198
5.030253,428472.04,347590.45,253475.13,158899.72,76637.844,406486.96,320424.74,224946.23,132782.19,56663.372,-1.87E-26,7.107982,7288.5288,-2.13E-05,0.00243573,-0.000406957
5.040253,429640.41,348512.5,253846.48,158664.61,75989.138,407309.19,320820.5,224739.31,132043.08,55709.266,1.29E-26,7.1334131,7288.5288,-2.19E-05,0.003205125,-0.000409572
5.050253,426533.76,346332.28,253426.89,160079.99,78553.938,404159.26,318891.66,224665.82,133701.32,58217.766,-4.69E-27,7.1588776,7288.5302,-2.18E-05,0.003896057,-0.000401441
5.060253,429193.24,348328.76,254069.75,159269.66,76781.971,406372.92,320101.23,224419.99,132136.62,56058.551,-1.47E-26,7.1843756,7288.5297,-2.27E-05,0.004496791,-0.000407781
5.070253,429518.61,348634.99,254279.45,159353.53,76758.801,406421.83,320046.48,224246.14,131875.2,55788.046,7.85E-27,7.2099069,7288.5299,-2.32E-05,0.004995687,-0.000408282
5.080253,426825.73,346748.07,253921.86,160590.86,78998.844,403671.93,318362.07,224174.75,133308.33,57961.233,-4.26E-28,7.2354714,7288.531,-2.32E-05,0.005382374,-0.000401217
