X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm),Y:Pos_ROLL-?˜ë?ì²?deg),Y:Pos_PITCH-?˜ë?ì²?deg),Y:Pos_YAW-?˜ë?ì²?deg)
3.490253,327616.66,275700.71,222755.06,170901.19,122260.57,321903.4,269758.78,216822.83,165217.87,117066.27,5.37E-29,7.2661092,7289.4434,1.63E-06,-0.050685327,-0.000223896
3.500253,327218.65,275495.22,222758.41,171104.62,122630.25,321469.72,269519.12,216792.98,165388.51,117402.91,-4.72E-28,7.3050488,7289.4293,1.54E-06,-0.050524033,-0.000223009
3.510253,327380.69,275602.22,222803.73,171088.99,122561.77,321553.67,269544.8,216757.57,165296.5,117266.13,7.49E-28,7.3440761,7289.4148,1.45E-06,-0.050398041,-0.000223269
3.520253,327703.73,275796.16,222855.26,171001.9,122356.99,321798.42,269656.15,216726.84,165132.1,116993.53,1.00E-28,7.383191,7289.4002,1.36E-06,-0.050302509,-0.000223872
3.530253,327204.42,275519.28,222821.31,171202.25,122753.85,321331.19,269415.49,216729.53,165365.79,117416.7,1.30E-28,7.4223934,7289.3856,1.36E-06,-0.050231733,-0.000222841
3.540253,327873.42,275901.6,222889.4,170966.31,122261.83,321915.08,269705.93,216705.63,165044.34,116852.24,-1.01E-27,7.4616832,7289.3706,1.30E-06,-0.050178876,-0.000224173
3.550253,327411.89,275638.46,222843.7,171130.93,122603.49,321512.23,269506.15,216723.37,165267.91,117243.8,-1.26E-27,7.5010601,7289.3559,1.34E-06,-0.050136785,-0.000223251
3.560253,327652.84,275771.06,222858.04,171031.31,122408.41,321743.72,269627.47,216726.16,165158.04,117041.33,-1.02E-27,7.5405242,7289.3409,1.35E-06,-0.050097272,-0.000223753
3.570253,327823.08,275860.86,222860.37,170949.67,122256.87,321923.23,269725.69,216736.55,165084.59,116898.64,1.63E-27,7.5800751,7289.326,1.38E-06,-0.050051887,-0.000224124
3.580253,327418.56,275621.51,222802.88,171068.87,122525.67,321605.01,269577.71,216770.13,165289.23,117241.97,-3.72E-29,7.6197129,7289.3112,1.47E-06,-0.049991767,-0.000223355
