X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm),Y:Pos_ROLL-?˜ë?ì²?deg),Y:Pos_PITCH-?˜ë?ì²?deg),Y:Pos_YAW-?˜ë?ì²?deg)
3.990253,450708.34,370132.18,270166.91,167063.74,77073.889,405617.72,311782.84,208315.84,111314.47,36876.505,-2.71E-26,18.635863,7291.3195,-6.46E-05,-0.028612892,-0.000440325
4.000253,450462.11,370088.37,270460.33,167669.54,77807.535,404747.7,311069.26,207935.56,111283.42,37049.657,-4.11E-26,18.722186,7291.298,-6.56E-05,-0.028126374,-0.00043886
4.010253,442381.4,363434.53,268094.41,170222.58,83680.607,397419.69,307220.31,209008.84,116514.73,43467.433,3.23E-26,18.808671,7291.2794,-6.19E-05,-0.02793718,-0.00041758
4.020253,451600.54,371405.72,271600.33,168433.77,78155.46,404413.13,310348.9,206884.45,110106.59,36102.132,-5.48E-26,18.895318,7291.2551,-6.85E-05,-0.028039201,-0.000440249
4.030253,451461.16,371446.87,271916.18,168992.69,78800.011,403655.53,309703.36,206502.43,110012.24,36192.29,-3.18E-27,18.982126,7291.2343,-6.95E-05,-0.028434932,-0.000439092
4.040253,443586.15,364905.43,269542.41,171434.73,84520.049,396521.89,306001.94,207617.49,115165.48,42442.856,-2.09E-26,19.069095,7291.2166,-6.57E-05,-0.029118265,-0.000418286
4.050253,452449.12,372626.58,272982.3,169761.86,79210.809,403243.8,308965.45,205510.94,108954.43,35370.065,-2.75E-27,19.156226,7291.1935,-7.23E-05,-0.030075823,-0.000440157
4.060253,452534.91,372857.45,273364.01,170243.34,79684.171,402699.74,308435.26,205100.79,108711.48,35282.491,-2.90E-26,19.243517,7291.174,-7.34E-05,-0.031302193,-0.000439625
4.070253,444790.78,366364.01,270957.09,172594.25,85299.717,395698.92,304849.39,206270.62,113837.62,41425.371,-1.04E-26,19.330968,7291.1577,-6.94E-05,-0.032784127,-0.000419095
4.080253,453239.29,373780.28,274304.69,171048.13,80246.25,402098.92,307627.42,204198.25,107867.26,34690.302,8.80E-27,19.41858,7291.1365,-7.58E-05,-0.034501483,-0.000440012
4.090253,453662.15,374303.74,274798.91,171428.81,80474.577,401859.49,307251.23,203729.16,107391.26,34335.508,1.97E-26,19.506351,7291.1188,-7.71E-05,-0.036441691,-0.000440404
4.100253,445986.36,367804.54,272338.88,173707.84,86029.924,394935.58,303751.02,204963.02,112532.42,40420.073,-8.29E-27,19.594282,7291.1048,-7.30E-05,-0.038585418,-0.000419979
4.110253,453954.99,374854.31,275566.02,172303.57,81280.421,400953.15,306317.21,202941.41,106851.53,34073.35,1.90E-26,19.682372,7291.0863,-7.92E-05,-0.040906937,-0.000439758
4.120253,454818.39,375769.13,276221.32,172567.25,81199.182,401098.26,306125.02,202379.39,106060.84,33368.809,3.00E-27,19.770621,7291.0713,-8.08E-05,-0.043387912,-0.000441349
4.130253,447167.35,369227.06,273695.99,174791.15,86729.532,394207.28,302685.84,203681.67,111245.77,39429.125,1.89E-26,19.859029,7291.0604,-7.64E-05,-0.046004569,-0.000420902
4.140253,454581.54,375839.79,276771.25,173547.71,82340.965,399771.14,305008.13,201728.91,105910.16,33528.566,-6.71E-27,19.947595,7291.0453,-8.25E-05,-0.048727338,-0.000439329
4.150253,455977.9,377237.64,277636.15,173685.07,81895.991,400368.35,305021.51,201038.62,104728.74,32400.902,-2.62E-26,20.03632,7291.0337,-8.44E-05,-0.051534016,-0.000442364
4.160253,448333.07,370637.78,275043.35,175866.16,87422.573,393484.41,301627.09,202407.78,109968.46,38451.087,-2.30E-26,20.125202,7291.0267,-7.99E-05,-0.054398455,-0.000421829
4.170253,455108.18,376733.08,277930.95,174805.38,83459.939,398513.52,303669.02,200544.68,105042,33062.45,-9.26E-26,20.214243,7291.016,-8.56E-05,-0.057289392,-0.00043866
4.180253,457115.63,378694.56,279051.31,174813.45,82608.592,399616.65,303901.36,199691.72,103402.92,31450.138,-1.99E-27,20.30344,7291.0084,-8.81E-05,-0.060182966,-0.000443343
4.190253,449488.18,372048.75,276400.69,176957.92,88134.331,392737.33,300546.43,201119.4,108687.2,37480.8,1.99E-26,20.392795,7291.0059,-8.34E-05,-0.063052961,-0.000422733
4.200253,455530.3,377536.83,279059.84,176102.66,84668.623,397143.27,302269.32,199370.53,104241.6,32677.209,-5.94E-26,20.482307,7291.0001,-8.87E-05,-0.065868745,-0.000437696
4.210253,458208.68,380126.64,280475.62,175984.26,83381.173,398790.65,302726.04,198324.14,102091.28,30533.758,3.12E-28,20.571975,7290.9971,-9.18E-05,-0.068607118,-0.000444184
4.220253,450642.3,373476.41,277789.87,178090.83,88887.426,391940.91,299418.17,199794.48,107386.26,36509.955,-6.56E-26,20.661799,7290.9996,-8.70E-05,-0.071244105,-0.000423599
4.230253,455850.75,378260.15,280174.74,177462.76,85992.402,395631.84,300783.93,198188.71,103499.57,32369.852,1.88E-26,20.75178,7290.9991,-9.18E-05,-0.073751983,-0.000436408
4.240253,459237.08,381521.58,281916.42,177225.74,84253.67,397844.06,301462.6,196924.73,100802.35,29667.342,1.09E-26,20.841916,7291.001,-9.56E-05,-0.076110411,-0.000444795
4.250253,451808.36,374939.16,279231.67,179285.03,89698.388,391078.23,298222.89,198413.93,106049.66,35528.356,3.53E-27,20.932208,7291.0085,-9.07E-05,-0.078299731,-0.000424427
4.260253,456080.15,378917.77,281292.19,178902.13,87446.322,393964,299197.31,196984.41,102803.3,32131.939,1.53E-26,21.022655,7291.0136,-9.50E-05,-0.08029715,-0.000434794
4.270253,460183.79,382867.11,283376.98,178558.7,85257.565,396741.34,300087.64,195488.18,99546.136,28864.715,6.57E-27,21.113257,7291.0203,-9.95E-05,-0.082087031,-0.000445099
4.280253,453000.27,376454.26,280742.42,180553.21,90575.083,390142.96,296950.23,196964.44,104663.59,34525.674,1.12E-26,21.204014,7291.0329,-9.47E-05,-0.083655699,-0.000425233
4.290253,456236.31,379528.65,282426,180427.36,89031.725,392141.29,297506.38,195747.8,102138.12,31949.909,-2.34E-26,21.294925,7291.0434,-9.83E-05,-0.084986833,-0.000432886
4.300253,461034.11,384149.66,284854.19,179993.33,86412.714,395460.81,298590.12,194016.9,98334.977,28138.185,4.67E-28,21.385991,7291.0548,-0.00010345,-0.086070833,-0.00044504
4.310253,454230.11,378034.58,282331.02,181898.28,91515.227,389140.35,295600.56,195440.65,103218.86,33493.424,-1.49E-26,21.47721,7291.0722,-9.89E-05,-0.086901086,-0.000426042
4.320253,456343.11,380114.19,283585.33,182033.14,90734.208,390183.75,295722.08,194475.42,101488.43,31805.769,3.36E-26,21.568583,7291.0878,-0.000101713,-0.087468672,-0.000430745
4.330253,461774.93,385353.31,286337.02,181527.31,87725.387,393996.29,296972.78,192522.01,97184.039,27498.896,1.27E-27,21.660109,7291.1037,-0.00010753,-0.087770725,-0.000444584
4.340253,455505.4,379685.69,283996.63,183312.15,92506.133,388086.77,294185.38,193846.55,101712.85,32426.841,-5.09E-27,21.751789,7291.1254,-0.000103303,-0.087808083,-0.000426889
4.350253,456429.19,380696.7,284773.46,183701.54,92523.017,388130.04,293869.38,193170.67,100838.6,31677.903,1.36E-27,21.843621,7291.1457,-0.00010522,-0.08757947,-0.000428468
4.360253,462394.21,386459.31,287806.04,183145.2,89187.583,392357.35,295252.19,191023.25,96111.279,26957.016,-2.87E-27,21.935606,7291.1655,-0.000111636,-0.087088745,-0.000443719
4.370253,456826.9,381403.67,285727.53,184775.78,93525.745,387008.03,292726.5,192195.92,100150.99,31326.404,-4.16E-26,22.027743,7291.1909,-0.000107897,-0.086343879,-0.000427809
4.380253,456526.79,381298.55,285987.8,185402.83,94351.936,386035.96,291986,191843.32,100173.42,31541.813,8.21E-27,22.120032,7291.2155,-0.000108815,-0.085350778,-0.000426173
