X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm)
0.010229,336018.6,191958.35,65668.918,1529.2474,-2.5551274,347931.47,204209.9,74505.825,3396.1061,-2.582585,-6.12E-25,7.06E-05,7288.6514
0.020253,500000.34,500000.56,456532.76,304980.42,126924.34,500000.41,500000.64,465544.32,320157.16,140687.74,-2.67E-23,0.000276687,7288.5723
0.030253,64626.979,78734.679,93846.473,109857.77,126663.98,52409.904,65580.266,79867.975,95166.155,111367.93,-1.17E-22,0.000617167,7288.7346
0.040253,233477.04,138753.16,59811.799,10163.136,-1.1329451,223210.16,129490.09,52977.403,7189.8778,-1.217968,1.77E-22,0.001092238,7288.6782
0.050253,499998.97,467464.89,338436.63,173144.83,39211.704,499998.88,481916.59,366629.86,202550.21,57738.342,1.71E-23,0.001701765,7288.5978
0.060253,164299.5,230949.63,298861.42,363521.51,420416.52,176568.62,243776.37,311395.69,374918.34,429836.07,5.88E-23,0.002445615,7288.7275
0.070253,452206.67,334253.78,190328.22,64633.834,1374.4599,457646.4,342568.85,198770.06,70628.362,2522.0653,-7.09E-23,0.00332365,7288.6296
0.080253,350041.04,252478.31,154562.13,70567.427,14769.125,346768.98,248885.31,151160.68,67898.2,13401.013,-3.44E-23,0.004335738,7288.6585
0.090253,143352.14,178443.75,214971.15,252194.7,289374.74,141030.71,176046.15,212550.82,249802.08,287057.25,-9.04E-23,0.005481742,7288.7211
0.100253,500000.06,434479.06,277238.46,107761.23,5678.5013,500000.05,444602.23,291751.83,120044.14,9462.784,8.43E-24,0.006761527,7288.5982
0.110253,209468.42,217548.17,225658.72,233792.33,241941.29,211206.94,219289.44,227401.04,235534.03,243680.7,-7.82E-24,0.008174959,7288.7022
0.120253,305849.33,247564.22,189398.54,134229.95,84936.107,309104.71,250824.03,192502.89,137030.02,87294.141,-3.24E-24,0.009721903,7288.671
0.130253,445771.17,325013.6,181358.99,58607.675,559.99942,453248.59,336080,192439.39,66317.369,1704.5576,-2.04E-23,0.011402223,7288.6252
0.140253,129112.44,173941.31,221344.16,269704.98,317407.72,132105.57,177185.07,224727.85,273115.84,320730.91,-8.14E-23,0.013215785,7288.7208
0.150253,479616.63,388338.09,257531.55,124680.94,27270.173,483804.56,396819.39,267442.58,133315.78,32080.643,-2.37E-23,0.015162453,7288.6169
0.160253,310935.63,264561.61,217731.48,171914.12,128578.4,312767.98,266388.29,219494,173559.13,130057.74,-2.30E-24,0.017242093,7288.6697
0.170253,209106.53,197424.76,185849.03,174403.12,163110.8,210391.32,198680.32,187073.14,175593.67,164265.8,4.43E-24,0.01945457,7288.6916
0.180253,456946.58,338977.48,192443.46,64172.023,990.68165,463503.29,349481.43,203263.2,71875.45,2345.0044,-3.14E-23,0.021799748,7288.6176
0.190253,174933.49,202541.98,230697.66,259074.88,287348.02,177854.81,205542.31,233742.23,262128.78,290376.14,2.25E-25,0.024277493,7288.7051
0.200253,430967.95,347044.38,248837.2,150797.17,67375.05,436198.7,353772.62,255974.05,157314.29,72304.666,3.50E-23,0.026887669,7288.6345
0.210253,357840.16,284913.74,209105.22,136676.23,73888.404,362548.88,289944.8,214031.36,141095.7,77424.995,1.81E-24,0.029630142,7288.6524
0.220253,178312.02,182620.29,186947.88,191293.53,195655.98,180754.08,185060.74,189385.91,193728.32,198086.72,-7.66E-25,0.032504777,7288.6976
0.230253,451880.5,341035.66,204938.03,81144.143,7210.5373,458186.27,350602.91,214897.13,88784.322,9979.8901,-7.81E-24,0.035511438,7288.6199
0.240253,216692.62,224774.22,232879.58,241001.05,249130.98,219531.15,227609.98,235709.83,243823.08,251942.13,-9.82E-26,0.038649991,7288.6934
0.250253,385518.46,314663.73,238296.06,162916.45,95025.918,390284.58,319981.73,243685.23,167923.2,99223.754,8.61E-24,0.0419203,7288.6483
0.260253,376867.39,294460.89,207168.64,124581.45,56290.134,382142.68,300311.42,212928.92,129625.29,60030.628,3.52E-24,0.045322231,7288.6474
0.270253,179744.54,186597.23,193495.59,200434.59,207409.17,182354.71,189213.82,196116.55,203057.87,210032.74,-6.54E-24,0.048855648,7288.6999
0.280253,442176.53,337819.27,213063.71,96752.038,17726.421,448142.97,346208.38,221773.53,103800.5,21251.337,-4.18E-24,0.052520417,7288.6279
0.290253,242528.01,236524.13,230527.17,224540.22,218566.36,245438.69,239407.52,233381.84,227364.77,221359.43,-2.26E-24,0.056316403,7288.6902
0.300253,356064.68,294560.29,230417.16,167429.23,109390.42,360359.99,299109.77,234940.29,171661.33,113082.66,-1.35E-23,0.06024347,7288.6611
0.310253,383006.39,298595.88,208485.02,123236.37,53412.489,388104.04,304319.89,214137.65,128162.41,56999.286,-1.12E-24,0.064301484,7288.6519
0.320253,190746.33,195224.42,199719.02,204228.74,208752.23,193096.62,197571.62,202062.33,206567.37,211085.4,3.10E-24,0.068490309,7288.705
0.330253,431791.62,332705.56,217259.74,108197.84,28263.555,437170.98,339805.21,224570.81,114303.01,31837.003,1.59E-23,0.072809811,7288.6409
0.340253,257286.25,242512.26,227761.51,213079.91,198513.32,259916.63,245112.28,230323.17,215595.48,200975.37,9.88E-25,0.077259855,7288.6957
0.350253,340694.33,284177.74,226004.31,168992.48,115960.69,344324.62,287940.47,229710.93,172465.82,119034.95,4.72E-24,0.081840305,7288.6757
0.360253,382687.47,299524.62,210718.71,126378.81,56613.966,387090.37,304447.6,215577.07,130626.86,59745.067,-4.70E-25,0.086551026,7288.6643
0.370253,203664.97,204000.74,204336.58,204672.51,205008.51,205399.44,205724.17,206048.97,206373.84,206698.77,-3.92E-24,0.091391885,7288.7154
0.380253,422278.96,327435.56,219202.54,116228.71,37162.905,426863.81,333202.89,225083.9,121227.31,40353.577,5.07E-24,0.096362745,7288.6589
0.390253,265295.15,245461.9,225654.06,205982.74,186559.03,267376.27,247514.93,227667.54,207945.76,188461.21,-1.57E-24,0.10146347,7288.7088
0.400253,334565.57,279922.26,223937.2,169120.23,117981.19,337444.4,282875.44,226827.93,171821.22,120374.69,-3.44E-25,0.10669393,7288.6937
0.410253,378840.99,298455.02,212955.8,131356.46,62670.144,382346.08,302320.51,216755.08,134695.81,65188.722,2.79E-25,0.11205398,7288.6834
0.420253,216318.12,211948.71,207589.85,203242.78,198908.7,217313.48,212931.2,208559.26,204198.89,199851.31,-3.46E-26,0.1175435,7288.731
0.430253,413983.21,322591.57,219968.72,121942.55,44340.944,417709.02,327107.68,224526.93,125852.25,46969.132,3.12E-24,0.12316234,7288.6814
0.440253,269215.3,246667.75,224144.32,201808.43,179823.47,270641.61,248068.14,225508.7,203127.34,181088.1,8.19E-25,0.12891038,7288.7279
0.450253,333890.18,279174.04,223147.96,168327.2,117227,336081.1,281407.46,225319.83,170342.33,118999.1,-2.02E-24,0.13478747,7288.715
0.460253,372955.22,296121,214901.13,137011.6,70168.4,375617.8,299002.49,217713.71,139494.03,72086.019,7.30E-28,0.14079348,7288.7073
0.470253,228253.47,219058.73,209901.65,200793.46,191745.38,228644.33,219437.38,210267.72,201146.61,192085.31,2.65E-24,0.14692828,7288.7508
0.480253,406690.02,318186.5,220080.12,126148.81,50170.532,409705.16,321733.91,223624.18,129201.74,52292.334,-4.79E-25,0.15319173,7288.707
0.490253,270677.59,246789.89,222928.29,199287.17,176060.9,271592.19,247679.73,223786.18,200106.59,176836.02,1.26E-25,0.1595837,7288.751
0.500253,336126.61,280214.26,222880.71,166822.24,114735.12,337901.46,282017.44,224623.65,168425.39,116128,2.64E-24,0.16610405,7288.7383
0.510253,365821,292930.62,216424.23,142741.02,78320.168,367943.81,295183.87,218607.89,144676.4,79849.969,3.11E-25,0.17275264,7288.7339
0.520253,239482.94,225483.89,211553.58,197731.3,184056.35,239652.06,225638.75,211693.89,197856.87,184167.1,2.22E-24,0.17952935,7288.7725
0.530253,400007.5,314034.37,219763.61,129380.52,55070.381,402675.57,317101.94,222804.77,132010.69,56946.301,-2.34E-25,0.18643403,7288.7337
0.540253,270761.19,246241.18,221753.37,197507.98,173715.22,271540.75,246995.89,222476.82,198194.47,174359.74,-3.35E-25,0.19346656,7288.7754
0.550253,339640.33,281955.99,222663.11,164745.37,111186.44,341446.25,283798.08,224444.36,166378.76,112594.92,5.97E-25,0.20062679,7288.7618
0.560253,357914.91,289130.55,217458.8,148185.5,86596.467,359981.83,291295.96,219554.85,150061.96,88120.758,9.59E-25,0.20791459,7288.7608
0.570253,250097.52,231353.15,212702.19,194238.52,176056.06,250595.83,231830.12,213155.63,194666.54,176457.06,2.06E-25,0.21532983,7288.7941
0.580253,393566.4,309939.16,219127.22,131992.17,59395.582,396402.45,313151.13,222305.27,134763.9,61426.056,4.20E-25,0.22287237,7288.7597
0.590253,270225.98,245331.41,220478.06,195885.87,171774.81,271400.75,246479.39,221589.18,196950.89,172785.26,-5.75E-26,0.23054208,7288.799
0.600253,343404.08,283734.77,222237.6,162243.37,107082.91,345776.25,286182.05,224621.95,164438.54,108974.39,-1.78E-24,0.23833882,7288.784
0.610253,349591.27,284912.87,217992.28,153126.34,94611.904,352160.28,287589.4,220597.61,155496.96,96599.459,2.39E-25,0.24626246,7288.7862
0.620253,260163.05,236752.85,213446.03,190425.22,167873.08,261582.4,238141.25,214792.87,191720.62,169107.88,8.36E-25,0.25431286,7288.8141
0.630253,387112.17,305781.88,218258.74,134241.5,63428.93,390668.4,309770.91,222213.96,137731.8,66058.685,-2.48E-25,0.26248988,7288.7838
0.640253,269629.22,244325,219072.54,194102.78,169646.66,271755.96,246420.82,221118.41,196080.7,171539.64,2.17E-25,0.2707934,7288.8208
0.650253,346805.72,285181.08,221511.95,159496.67,102833.57,350249.26,288775.94,225041.96,162759.98,105642.67,-1.48E-24,0.27922327,7288.8044
0.660253,341169.99,280469.72,218070.5,157452.01,102093.88,344746.58,284181.73,221704.87,160809.34,104988.48,1.47E-25,0.28777936,7288.8097
0.670253,269707.15,241745.3,213875.39,186409,159657.7,272538.89,244540.86,216603.82,189040.83,162164.95,-3.76E-26,0.29646155,7288.8325
0.680253,380531.56,301545.97,217268.24,136338.13,67395.389,385263.95,306809.24,222498.24,141005.35,71004.957,-3.14E-24,0.30526968,7288.8063
0.690253,269383.71,243460.46,217599.81,192050.03,167059.41,272905.31,246945.62,221015.27,195363.89,170241.13,-5.80E-25,0.31420363,7288.8412
0.700253,349526.58,286139.48,220520.55,156720.25,98789.036,354399.78,291274.19,225589.87,161414.8,102816.95,-7.34E-25,0.32326326,7288.824
0.710253,332962.57,276008.47,217793.51,161141.23,108875.17,337885.2,281093.84,222789.51,165808.48,112986.99,2.67E-25,0.33244843,7288.8324
0.720253,278731.45,246385.31,214093.14,182338.81,151606.16,283250.7,250875.92,218488.02,186573.53,155618.98,6.31E-29,0.34175902,7288.8507
0.730253,373837.63,297302.73,216290.76,138460.79,71471.878,379992.8,304086.62,223037.47,144538.49,76282.839,8.02E-25,0.35119489,7288.829
0.740253,269784.54,242948.2,216184.19,189768,163975.09,274915.84,248038.22,221180.82,194620.91,168635.78,5.74E-26,0.3607559,7288.8621
0.750253,351455.39,286606.51,219384.43,154145.25,95245.084,357884.7,293426.13,226139.49,160401.83,100590.19,-1.10E-24,0.37044191,7288.8449
0.760253,325264.17,271742.33,217299.26,164243.71,114884.45,331629.48,278285.12,223737.22,170306.51,120313.68,-1.87E-25,0.38025279,7288.8566
0.770253,287226.17,250726.42,214212.81,178383.96,143938.48,293432.21,256929.76,220294.55,184229.53,149437.62,3.57E-25,0.39018842,7288.8713
0.780253,367129.69,293173.43,215464.68,140752.76,75787.013,374685.52,301422.15,223666.18,148200.08,81806.336,3.85E-25,0.40024864,7288.8545
0.790253,271018.7,242955.31,214970.98,187380.79,160499.84,277692.12,249585.98,221484.5,193705.16,166565.46,-1.32E-24,0.41043333,7288.8861
0.800253,352615.4,286671.39,218265.06,151987.86,92431.269,360465.02,295034.6,226564.73,159670.93,98968.68,1.87E-24,0.42074235,7288.87
0.810253,318330.14,267867.59,216737.56,166852.46,120124.69,325976,275689.19,224438.2,174146.6,126737.98,-1.44E-24,0.43117557,7288.8851
0.820253,295177.16,254816.29,214342.61,174706.66,136859.02,302803.04,262483.28,221869.73,181919.22,143588.55,-4.65E-25,0.44173285,7288.8972
0.830253,360542.3,289283.42,214901.19,143307.5,80414.202,369219.2,298665.68,224221.38,151829.6,87433.647,1.10E-24,0.45241405,7288.8856
0.840253,273167.66,243586.12,214084.57,185032.3,156798.59,281054.91,251434.49,221796.09,192511.99,163954.49,-1.12E-24,0.46321905,7288.9162
0.850253,353097.16,286456.95,217315.82,150415.39,90497.299,362002.69,295968.84,226763.89,159155.8,97912.505,5.38E-26,0.47414771,7288.9019
0.860253,312350.35,264537.25,216239.64,169069.72,124639.71,320901.32,273248.03,224816,177227.75,132105.83,-4.33E-26,0.48519988,7288.9205
0.870253,302562.78,258684.15,214563.88,171432.42,130520.23,311148.25,267365.4,223096.92,179581.56,138058.04,-1.58E-24,0.49637544,7288.9307
0.880253,354198.33,285722.69,214657.86,146154.48,85363.179,363536.71,295726.43,224582.92,155285.76,93014.503,-1.24E-26,0.50767426,7288.9245
0.890253,276211.21,244867.11,213594.93,182834.45,153025.44,284813.79,253440.6,222018.93,190992.22,160803.88,4.35E-25,0.51909619,7288.9541
0.900253,353001.14,286068.32,216640.82,149519.58,89505.558,362459.56,296178.38,226684.62,158806.7,97373.004,-1.11E-25,0.5306411,7288.9424
0.910253,307432.56,261840.66,215891.56,170973.93,128476.44,316396.93,270940.17,224848.41,179519.71,136352.13,3.91E-25,0.54230886,7288.9641
0.920253,309345.12,262326.95,214912.7,168628.73,125001.37,318351.56,271483.93,223922.44,177203.61,132863.93,6.70E-25,0.55409933,7288.9729
0.930253,348179.17,282523.93,214725.28,149252.36,90574.29,357659.65,292590.13,224697.88,158477.84,98424.93,-1.18E-25,0.56601238,7288.972
0.940253,280038.42,246743.56,213500.24,180836.46,149280.21,288819.31,255509.72,222112.45,189159.76,157183.93,4.42E-25,0.57804787,7289.0005
0.950253,352400.1,285560.41,216271.26,149304.69,89432.737,361892.44,295698.8,226339.04,158612.54,97318.71,1.04E-25,0.59020566,7288.9915
0.960253,303601.47,259796.54,215719.66,172596.87,131654.24,312495.01,268797.87,224576.17,181064.42,139497.12,-5.20E-26,0.60248563,7289.0156
0.970253,315464.37,265702.42,215371.99,166298.08,120305.68,324401.01,274834.61,224364.46,174827.29,128059.84,-1.40E-25,0.61488763,7289.0233
0.980253,342519.09,279662.49,215030.95,152493.6,95919.582,351691.21,289320.95,224584.95,161374.73,103581.83,-4.35E-25,0.62741154,7289.0269
0.990253,284468.56,249090.8,213729.31,179019.08,145595.07,292985.8,257609.89,222097.06,187087.14,153219.94,-7.66E-25,0.64005721,7289.0538
1.000253,351327.37,284930.65,216164.51,149693.09,90180.506,360440.77,294644.07,225802.04,158605.05,97743.481,-5.96E-25,0.65282451,7289.0474
