X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm),Y:Pos_ROLL-?˜ë?ì²?deg),Y:Pos_PITCH-?˜ë?ì²?deg),Y:Pos_YAW-?˜ë?ì²?deg)
3.990253,390538.13,313376.05,229750.95,148172.77,77151.456,388543.15,311026.53,227282.21,145838.21,75222.525,-1.752985,4.02E-30,7110.3933,1.16E-05,0.013346999,-0.000355893
4.000253,392274.14,314409.5,229817.73,147314.74,75716.411,390300.62,312074.27,227360.23,144993.23,73807.959,-1.7601822,-7.08E-30,7109.635,1.18E-05,0.013463651,-0.000360109
4.010253,391263.96,313791.63,229745.99,147768.87,76502.121,389302.07,311475.56,227309.95,145465.54,74602.595,-1.7673853,-7.68E-31,7108.8769,1.17E-05,0.013457724,-0.000357723
4.020253,391264.8,313777.2,229715.35,147725.94,76455.652,389335.09,311497.8,227316.66,145456.91,74583.776,-1.7745944,-1.03E-30,7108.1176,1.18E-05,0.013326562,-0.000357791
4.030253,392678.15,314607.66,229744.95,146992.21,75251.655,390805.04,312384.84,227401.26,144775.75,73429.782,-1.7818093,5.52E-31,7107.3572,1.20E-05,0.013068808,-0.000361282
4.040253,391343.33,313784.17,229636.66,147573.86,76268.882,389517.15,311622.36,227357.58,145414.74,74485.795,-1.7890301,-9.02E-31,7106.597,1.20E-05,0.0126844,-0.000358157
4.050253,391996.12,314150.67,229615.76,147187.39,75661.537,390245.98,312072.14,227420.35,145105.91,73944.126,-1.7962567,1.06E-30,7105.8353,1.22E-05,0.012174846,-0.000359843
4.060253,392868.89,314646.38,229597.62,146683.56,74865.117,391209.26,312666.84,227501.56,144694.27,73225.83,-1.8034889,-5.36E-30,7105.0729,1.24E-05,0.011542894,-0.00036208
4.070253,391510.99,313798.56,229467.55,147247.77,75869.012,389935.76,311922.22,227478.92,145355.27,74300.651,-1.8107268,-4.44E-30,7104.3104,1.24E-05,0.010792627,-0.000358942
4.080253,392657.49,314451.88,229449.21,146594.19,74831.559,391198.78,312703.44,227589.04,144820.7,73363.538,-1.8179702,-5.91E-30,7103.5464,1.27E-05,0.009929588,-0.000361867
4.090253,392898.33,314558.34,229381.56,146368.46,74519.527,391559.82,312946.54,227660.3,144722.41,73154.159,-1.8252192,1.28E-30,7102.782,1.29E-05,0.008960385,-0.00036262
4.100253,391784.68,313848.16,229244.97,146789.75,75297.106,390565.68,312377.65,227669.33,145276.02,74033.035,-1.8324736,-8.30E-30,7102.0172,1.30E-05,0.007892868,-0.000360109
4.110253,393195.27,314652.18,229220.97,145983.45,74021.434,392125.04,313346.96,227811.87,144623.31,72884.789,-1.8397334,4.28E-30,7101.2509,1.34E-05,0.00673607,-0.000363716
4.120253,392836.25,314390.37,229110.1,146027.12,74173.127,391909.13,313250.53,227870.08,144821.44,73158.209,-1.8469986,2.33E-29,7100.4845,1.36E-05,0.005499822,-0.000363049
4.130253,392156.8,313934.28,228980.35,146219.93,74577.968,391377.38,312965.71,227915.72,145174.39,73688.714,-1.854269,-5.01E-30,7099.7175,1.38E-05,0.004194969,-0.000361616
4.140253,393584.33,314743.01,228944.04,145387.28,73272.584,392974.26,313965.4,228072.63,144519,72527.53,-1.8615447,-2.11E-29,7098.9491,1.42E-05,0.002833137,-0.000365296
4.150253,392755.9,314194.15,228802.39,145645.88,73789.894,392302.92,313598.71,228117.56,144947.99,73178.492,-1.8688255,2.24E-29,7098.1807,1.44E-05,0.001426409,-0.00036351
4.160253,392602.44,314050.39,228689.45,145573.88,73757.929,392314.59,313644.79,228198.35,145053.12,73287.001,-1.8761114,-1.36E-29,7097.4113,1.47E-05,-1.25E-05,-0.000363366
4.170253,393828.72,314735.72,228637.53,144830.06,72609.244,393717.33,314531.88,228351.38,144496.47,72287.799,-1.8834024,2.61E-31,7096.6409,1.51E-05,-0.001470404,-0.000366575
4.180253,392722.17,314018.27,228481.11,145220.6,73346.653,392771.36,313999.86,228384.8,145060.72,73162.18,-1.8906983,-8.07E-30,7095.8705,1.53E-05,-0.002934296,-0.000364118
4.190253,393089.12,314186.98,228391.14,144895.53,72894.054,393307.65,314363.36,228493.37,144916.9,72853.16,-1.8979992,-3.65E-29,7095.099,1.56E-05,-0.00439074,-0.000365237
4.200253,393956.97,314657.82,228324.3,144327.73,72039.38,394345.38,315030.4,228626.47,144531.13,72141.908,-1.9053049,-3.53E-30,7094.3266,1.60E-05,-0.005826562,-0.000367575
4.210253,392783.73,313902.46,228170.01,144757.54,72836.221,393324.94,314450.16,228651.17,145125.21,73069.528,-1.9126154,1.80E-30,7093.5542,1.61E-05,-0.007228875,-0.000364944
4.220253,393585.44,314335.8,228105.67,144230,72043.714,394286.39,315068.69,228775.74,144769.41,72411.604,-1.9199307,-4.20E-30,7092.7806,1.65E-05,-0.008584996,-0.000367107
4.230253,394013.9,314546.82,228028.19,143888.46,71558.04,394865.56,315454.55,228876.76,144590.26,72053.083,-1.9272506,-3.34E-30,7092.0064,1.68E-05,-0.009882944,-0.000368358
4.240253,392969.26,313874.27,227891.4,144271.84,72266.763,393955.03,314934.53,228895.58,145116.83,72876.896,-1.9345751,4.83E-30,7091.232,1.69E-05,-0.011111364,-0.000366013
4.250253,394067.12,314492.28,227852.58,143617.43,71256.24,395190.41,315714.24,229022.06,144611.75,71981.169,-1.9419042,-3.33E-30,7090.4564,1.73E-05,-0.012259552,-0.000368872
