X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-기복회전(deg),Y:Pos1_Relative-선회회전(deg),Y:Pos_TY-인양물(mm),Y:Pos_ROLL-하부체(deg),Y:Pos_PITCH-하부체(deg),Y:Pos_YAW-하부체(deg)
0.00000000,0.00000000,-1.5776208e-24,-1.5776208e-24,-1.5776208e-24,-1.5776208e-24,1.5013328e-14,1.5013328e-14,1.5013328e-14,1.5013328e-14,1.5013328e-14,0.00000000,-0.00000000,7288.7515,0.00000000,-0.00000000,0.00000000
0.010229000,336029.43,191998.10,65718.103,1541.6912,-2.5553950,347774.26,204073.23,74426.096,3381.8138,-2.5819379,8.7144690e-24,-6.5383424e-27,7288.6514,4.2378376e-05,-4.2508881e-05,-0.00061738161
0.020253000,500000.33,500000.56,456720.84,305352.36,127316.66,500000.41,500000.64,465414.01,319989.15,140590.64,-5.3877054e-23,-1.5449952e-25,7288.5723,5.3397369e-05,-0.00020793243,-0.00077489112
0.030253000,64776.842,78924.979,94079.798,110136.09,126988.64,52358.832,65552.685,79868.697,95199.333,111437.05,-1.1778497e-22,5.1622714e-25,7288.7344,-2.8030243e-05,-0.00052770598,8.2681205e-05
0.040253000,233599.93,138833.79,59848.906,10169.544,-1.1313130,223156.25,129412.64,52899.938,7149.5587,-1.2174683,1.1441842e-22,-3.8520909e-25,7288.6777,3.4092034e-06,-0.00091571998,-0.00041516123
0.050253000,499998.97,467396.17,338392.15,173179.57,39279.934,499998.88,481790.35,366426.72,202410.72,57700.318,-1.0482070e-23,-1.1135046e-26,7288.5972,7.1030975e-05,-0.0014030249,-0.00071056618
0.060253000,164390.55,231069.27,299002.58,363672.41,420560.70,176525.23,243755.87,311399.73,374943.67,429874.58,1.1334651e-22,5.3537244e-25,7288.7266,4.8749658e-06,-0.0020331476,0.00028795799
0.070253000,452396.80,334496.22,190526.95,64739.991,1386.3652,457722.26,342642.18,198797.12,70611.644,2510.3001,3.1575090e-23,-6.3720759e-26,7288.6282,3.7482517e-05,-0.0027141360,-0.00061683647
0.080253000,349777.45,252352.76,154593.59,70706.837,14899.395,346329.34,248573.57,151020.68,67905.087,13461.193,-6.8261310e-23,4.4018682e-25,7288.6569,1.2699507e-05,-0.0035046596,-0.00042217330
0.090253000,143497.87,178508.97,214947.48,252079.19,289169.89,140999.83,175926.79,212338.26,249496.94,286665.56,1.6114345e-23,3.1174024e-25,7288.7190,-1.0206902e-05,-0.0043768478,0.00015733667
0.10025300,500000.06,434521.39,277301.68,107817.29,5695.0088,500000.05,444493.83,291593.56,119909.08,9417.6012,5.1693899e-23,-1.2034458e-25,7288.5956,5.1183646e-05,-0.0052819422,-0.00075035139
0.11025300,209238.99,217487.46,225768.08,234072.64,242392.92,210958.91,219210.51,227492.52,235796.74,244114.96,-2.1219144e-23,3.4527454e-26,7288.6990,8.3990631e-07,-0.0062870727,3.5144167e-05
