X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm)
0.010229,336022.16,191971.55,65685.274,1533.3833,-2.5552165,347879.07,204164.34,74479.244,3391.3386,-2.5823692,3.22E-24,4.71E-05,7288.6514
0.020253,500000.33,500000.56,456595.45,305104.35,127055.03,500000.41,500000.64,465500.96,320101.26,140655.46,-3.64E-23,0.0001845,7288.5723
0.030253,64676.868,78798.045,93924.18,109950.48,126772.13,52392.96,65571.166,79868.323,95177.333,111391.1,-4.88E-23,0.000411583,7288.7346
0.040253,233517.92,138779.94,59824.087,10165.229,-1.1324011,223192.3,129464.36,52951.625,7176.4406,-1.2178007,-3.49E-23,0.000728485,7288.678
0.050253,499998.97,467441.9,338421.66,173156.28,39234.373,499998.88,481874.59,366562.25,202503.82,57725.749,1.22E-23,0.001135145,7288.5976
0.060253,164329.75,230989.42,298908.41,363571.77,420464.56,176554.29,243769.69,311397.2,374926.95,429849.05,-1.07E-22,0.001631503,7288.7272
0.070253,452270.01,334334.48,190394.32,64669.104,1378.4028,457671.84,342593.51,198779.3,70622.937,2518.1706,-5.72E-23,0.002217501,7288.6291
0.080253,349952.89,252436.2,154572.43,70613.784,14812.461,346622.42,248781.41,151114.07,67900.589,13421.127,5.13E-23,0.002893076,7288.658
0.090253,143400.48,178465.24,214963.01,252155.94,289306.2,141020.51,176006.45,212480.06,249700.46,286926.78,-3.14E-23,0.00365817,7288.7204
0.100253,500000.06,434492.91,277259.18,107779.64,5683.9269,500000.05,444566.3,291699.38,119999.4,9447.8143,2.56E-23,0.004512723,7288.5974
0.110253,209391.58,217527.74,225695.14,233885.9,242092.13,211124.13,219263.17,227431.73,235621.96,243825.98,3.96E-24,0.005456674,7288.7012
0.120253,305980.75,247647.44,189429.68,134212.67,84881.613,309247.55,250919.22,192545.68,137023.22,87248.153,3.67E-24,0.006489963,7288.6697
0.130253,445703.92,324958,181346.72,58629.555,565.9539,453173.06,336006.48,192407.85,66326.634,1712.2876,-7.78E-24,0.007612531,7288.6236
0.140253,129082.98,173910.56,221313.31,269675.09,317379.78,132045.01,177121.18,224663,273052.24,320670.66,4.16E-24,0.008824318,7288.719
0.150253,479642.73,388362.81,257528.69,124650.32,27237.672,483822.05,396830.61,267424.27,133270.75,32037.749,-1.42E-23,0.010125263,7288.6148
0.160253,310827.24,264525.46,217770.15,172023.16,128746.3,312672.22,266364.91,219545.38,173680.59,130237.52,3.84E-25,0.011515306,7288.6673
0.170253,209215.55,197485.27,185861.78,174369.14,163031.43,210538.32,198778.19,187122.54,175595.54,164221.4,-1.77E-24,0.012994388,7288.6888
0.180253,456880.82,338894.48,192379.76,64142.536,988.71497,463475.68,349455.95,203258.27,71888.161,2351.162,-3.80E-23,0.014562449,7288.6145
0.190253,174830.29,202465.25,230649.44,259056.2,287358.87,177758.15,205472.46,233701.09,262117.2,290393.96,9.66E-24,0.016219427,7288.7016
0.200253,431027.8,347078.82,248827.66,150745.18,67302.236,436279.71,353836.82,255997.05,157291.97,72253.179,-8.27E-24,0.017965265,7288.6305
0.210253,357711.09,284844.33,209106.63,136742.01,73994.456,362491.39,289952.11,214109.01,141231.71,77589.781,-2.76E-24,0.019799901,7288.648
0.220253,178340.79,182616.39,186911.02,191223.45,195552.43,180880.64,185154.29,189446.13,193754.92,198079.45,-2.31E-24,0.021723275,7288.6926
0.230253,451805.07,340928.4,204832.67,81068.431,7186.2162,458197.75,350626.98,214929.28,88814.84,9993.8134,-5.80E-24,0.023735328,7288.6144
0.240253,216551.98,224676.97,232826.07,240991.51,249165.51,219438.11,227560.29,235703.76,243860.78,252023.62,9.72E-26,0.025835999,7288.6874
0.250253,385579.89,314686.47,238271.21,162847.36,94928.165,390415.79,320084.43,243742.79,167931.41,99190.853,6.04E-24,0.028025229,7288.6416
0.260253,376707.37,294343.68,207114.33,124589.21,56338.183,382126.64,300354.85,213034.92,129776.3,60188.45,-3.13E-24,0.030302957,7288.6401
0.270253,179701.23,186532.7,193409.63,200326.99,207279.8,182479.89,189317.72,196198.81,203118.18,210070.85,-1.01E-23,0.032669124,7288.6918
0.280253,442083.98,337688.46,212926.19,96639.477,17670.613,448192.38,346278.83,221847.14,103860.52,21282.148,-2.06E-24,0.035123669,7288.619
0.290253,242359.43,236405.24,230457.93,224520.49,218595.94,245372.9,239390.69,233413.89,227445.55,221488.7,1.52E-24,0.037666533,7288.6806
0.300253,356096.79,294550.32,230362,167333.76,109267.53,360525.59,299243.6,235030.11,171703.08,113080.51,-1.11E-24,0.040297655,7288.6505
0.310253,382812.7,298431.88,208377.43,123191.67,53416.91,388125.97,304400.21,214274.69,128334.8,57165.934,1.39E-24,0.043016976,7288.6405
0.320253,190646.75,195111.38,199592.45,204088.6,208598.47,193235.62,197696.39,202172.72,206663.27,211166.68,-4.97E-24,0.045824435,7288.6926
0.330253,431677.84,332551.38,217095.99,108056.92,28179.408,437253.85,339913.83,224681.25,114394.01,31890.006,8.23E-24,0.048719973,7288.6274
0.340253,257092.51,242369.13,227669.27,213038.37,198521.83,259884.09,245129.29,230389.58,215710.66,201138.25,1.81E-24,0.051703529,7288.6811
0.350253,340688.44,284130.86,225916.4,168869.46,115814.4,344513.93,288099.12,229828.45,172537.91,119063.52,-2.07E-24,0.054775043,7288.6599
0.360253,382466.17,299325.48,210571.48,126294.94,56586.643,387141.91,304557.4,215739.6,130819.01,59926.085,6.72E-26,0.057934456,7288.6474
0.370253,203527.29,203854.27,204181.33,204508.47,204835.67,205555.95,205869.95,206184.02,206498.14,206812.34,1.59E-24,0.061181708,7288.6971
0.380253,422147.05,327264.6,219022.33,116070.43,37059.073,426970,333336.07,225218.82,121341.2,40426.129,7.63E-24,0.064516738,7288.6393
0.390253,265085.38,245300.87,225542.53,205920.66,186545.54,267371.42,247557.78,227757.78,208082.28,188642.11,4.66E-25,0.067939487,7288.6877
0.400253,334531.22,279849.24,223827.02,168979.4,117821.23,337644.52,283047.29,226961.67,171912.26,120423.69,-1.89E-24,0.071449894,7288.671
0.410253,378607.91,298241.92,212791.43,131253.62,62625.661,382412.27,302443.17,216927.31,134895.42,65378.24,-5.59E-26,0.075047899,7288.6592
0.420253,216166.42,211790.09,207424.4,203070.58,198729.85,217479.02,213086.97,208705.25,204335.11,199977.78,-8.14E-24,0.078733443,7288.7051
0.430253,413846.85,322421.25,219791.15,121785.17,44231.938,417820.96,327244.14,224665.18,125971.31,47049.765,-3.98E-25,0.082506466,7288.6538
0.440253,269009.29,246506.77,224029.45,201739.74,179800.04,270648.76,248119.47,225603.78,203264.78,181265.56,1.57E-25,0.086366907,7288.6984
0.450253,333849.95,279097.84,223037.63,168189.18,117072.35,336271.31,281571.61,225448.67,170431.46,119048.97,-6.07E-26,0.090314706,7288.6835
0.460253,372736.1,295923.93,214750.15,136917.19,70127.513,375675.67,299112.17,217869.86,139678.32,72267.112,-2.47E-25,0.094349804,7288.674
0.470253,228119,218916.94,209752.78,200637.78,191583.18,228798.15,219580.93,210400.91,201269.37,192197.63,2.18E-24,0.09847214,7288.7153
0.480253,406573.26,318045.24,219934.68,126019.59,50078.01,409796.82,321843.66,223735.71,129299.54,52361.736,-9.27E-26,0.10268166,7288.6695
0.490253,270504.77,246657.23,222836.77,199236.79,176050.66,271585.9,247713,223858.67,200217,176982.08,1.48E-25,0.10697829,7288.7112
0.500253,336111.33,280166.86,222801.87,166717.09,114613.23,338051.78,282143.2,224717.15,168483.57,116152.42,2.43E-24,0.11136198,7288.6963
0.510253,365648.66,292785.46,216322.8,142688.58,78310.712,367962.17,295246.91,218714.55,144814.68,79996.917,-1.56E-25,0.11583267,7288.6896
0.520253,239401.9,225393.95,211455.1,197624.7,183942.11,239762.22,225738.06,211782.17,197934.03,184233.15,-1.56E-24,0.1203903,7288.7258
0.530253,399941.79,313958.36,219687.68,129314.32,55022.824,402712.76,317147.3,222852.48,132054.49,56979.545,2.63E-24,0.12503481,7288.6846
0.540253,270656.17,246171.44,221719.42,197509.39,173750.68,271486.37,246976.61,222492.74,198244.76,174442.69,3.53E-25,0.12976613,7288.7238
0.550253,339684.7,281974.69,222653.67,164709.56,111130.32,341519.71,283847.42,224465.43,166371.72,112564.28,-1.29E-24,0.13458422,7288.7076
0.560253,357823.75,289074.22,217444.92,148212.22,86652.491,359922.46,291273.66,219574.91,150120.23,88203.624,-2.35E-25,0.139489,7288.704
0.570253,250106.57,231352.12,212691.17,194217.79,176026.01,250622.72,231846.76,213162.02,194662.86,176443.63,6.10E-25,0.14448042,7288.7346
0.580253,393585.4,309966.7,219160.81,132027.34,59425.896,396345.43,313090.29,222249.1,134718.68,61395.855,1.72E-24,0.14955842,7288.6976
0.590253,270222.22,245359.99,220538.61,195977.19,171894.82,271256.57,246368.07,221511.64,196907.13,172774.42,-1.50E-27,0.15472294,7288.7342
0.600253,343542.73,283857.92,222337.1,162315,107126.34,345734,286114.52,224531.39,164330.89,108859.31,-2.63E-25,0.15997392,7288.7164
0.610253,349610.68,284977.67,218101.25,153269.74,94771.475,351980.63,287441.92,220495.17,155443.58,96590.331,-4.73E-25,0.16531129,7288.7158
0.620253,260295.09,236875.26,213557.92,190525.95,167962.23,261485.29,238036.11,214680.59,191602.27,168984.73,1.51E-25,0.170735,7288.7408
0.630253,387245.58,305946.65,218437.98,134414.38,63570.65,390476.3,309563.26,222016.51,137565.45,65939.505,-2.07E-24,0.176245,7288.7076
0.640253,269753.17,244482.28,219261.59,194321.12,169890.92,271478.12,246177.85,220912.43,195912.86,171410.1,3.09E-26,0.18184121,7288.7417
0.650253,347069.46,285443.35,221756.2,159709.64,103005.3,350057.12,288554.94,224803.98,162519.62,105417.26,8.71E-25,0.18752358,7288.7224
0.660253,341318.65,280678.56,218330.66,157745.98,102395.52,344404.07,283872.79,221450.23,160620.47,104867.58,1.49E-25,0.19329204,7288.7247
