X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm),Y:Pos_ROLL-?˜ë?ì²?deg),Y:Pos_PITCH-?˜ë?ì²?deg),Y:Pos_YAW-?˜ë?ì²?deg)
4.990253,414859.57,330954.48,236261.06,143369.97,64871.888,419390.08,336441.58,241915.78,148452.97,68693.469,-1.29E-26,2.80E-29,7288.6083,2.49E-05,-0.01251438,-0.000405708
5.000253,415334.18,331293.32,236359.18,143224.13,64580.481,419754.69,336653.04,241882.5,148185.05,68302.68,3.47E-28,-1.45E-28,7288.6107,2.47E-05,-0.011562234,-0.000406795
5.010253,417883.88,332982,236593.21,142029.71,62603.717,422196.95,338256.35,242038.39,146906.88,66225.621,5.41E-28,-4.01E-30,7288.6123,2.49E-05,-0.010606365,-0.000413309
5.020253,414687.63,330942.88,236458.52,143742.8,65304.01,418872.39,335998.92,241660.75,148414.26,68815.858,-1.95E-26,5.46E-29,7288.6159,2.42E-05,-0.009660841,-0.000404812
5.030253,415925.8,331777.99,236611.07,143219.42,64397.451,419996.74,336714.6,241693.2,147775.73,67805.389,-1.62E-26,-8.62E-29,7288.618,2.41E-05,-0.008738505,-0.000407873
5.040253,417808.08,333035.1,236804.03,142363.83,62963.468,421769.27,337867.91,241784.92,146819.35,66270.259,2.85E-27,2.82E-29,7288.6198,2.42E-05,-0.007852952,-0.000412644
5.050253,414614.3,330996.8,236666.2,144071.61,65662.13,418446.18,335615.63,241410.16,148325.58,68857.664,7.26E-27,-1.36E-29,7288.6233,2.35E-05,-0.007017553,-0.000404164
5.060253,416497.01,332247.84,236857.01,143217.79,64223.45,420226.82,336770.29,241506.96,147378.06,67324.8,-1.03E-26,3.56E-29,7288.625,2.36E-05,-0.006244083,-0.000408911
5.070253,417641.13,333022.32,236995.27,142725.72,63379.408,421271.33,337439.03,241538.48,146784,66389.883,2.13E-28,2.46E-29,7288.6269,2.36E-05,-0.005544737,-0.000411769
5.080253,414630.08,331097.79,236857.82,144325.82,65917.452,418145.19,335325.98,241192.77,148206.69,68828.881,7.14E-27,-1.57E-29,7288.63,2.29E-05,-0.004930724,-0.000403793
5.090253,417007.95,332664.93,237069.26,143204.97,64056.066,420446.21,336832.81,241349.04,147026.16,66895.403,7.93E-27,4.81E-29,7288.6312,2.31E-05,-0.004411396,-0.000409861
5.100253,417389.06,332936.22,237143.14,143079.07,63813.208,420748.69,337011.88,241327.44,146811.85,66581.58,1.00E-26,-8.04E-29,7288.6329,2.30E-05,-0.003996193,-0.000410753
5.110253,414721.56,331226.51,237010.07,144481.18,66048.828,417993.99,335156.76,241033.38,148077.42,68742.487,-2.63E-27,1.12E-29,7288.6355,2.25E-05,-0.00369291,-0.000403714
5.120253,417425.4,332997.4,237224.48,143169.01,63893.356,420656.03,336913,241240.9,146748.89,66546.082,-1.00E-26,3.73E-29,7288.6361,2.28E-05,-0.003507374,-0.000410678
5.130253,417063.82,332775.56,237229.2,143391.24,64228.202,420245.29,336625.02,241175.09,146908.27,66837.335,-4.29E-27,7.81E-29,7288.6375,2.27E-05,-0.003445209,-0.000409669
5.140253,414872.75,331364.6,237104.92,144522.24,66045.062,418005.31,335124.44,240950.29,147955.6,68613.098,1.78E-27,-1.21E-29,7288.6394,2.23E-05,-0.003509894,-0.000403922
5.150253,417724.72,333221.87,237306.06,143102.15,63735.053,420855.83,337017.7,241197.72,146567.39,66298.231,4.27E-27,3.45E-29,7288.6394,2.27E-05,-0.003703002,-0.000411329
5.160253,416682.67,332545.86,237242.23,143636.3,64592.584,419799.5,336309.9,241097.36,147072.09,67144.255,-5.63E-27,-9.99E-29,7288.6405,2.25E-05,-0.004025682,-0.000408591
5.170253,415066.33,331496.22,237131.38,144444.01,65906.298,418178.34,335233.2,240953.37,147855.37,68455.661,-9.48E-28,7.69E-30,7288.6416,2.23E-05,-0.004476653,-0.000404394
5.180253,417891.2,333325.07,237305.69,143002.11,63583.401,421042.51,337148.36,241226.7,146493.43,66164.486,5.26E-27,-2.63E-29,7288.641,2.27E-05,-0.005052953,-0.000411791
5.190253,416267.18,332259.13,237179.29,143797.11,64882.071,419440.88,336088.13,241101.28,147295.32,67485.257,3.56E-27,8.18E-29,7288.6417,2.26E-05,-0.005751087,-0.000407584
5.200253,415285.08,331609.43,237086.46,144252.59,65644.235,418498.43,335474.34,241043.08,147785.95,68284.22,-4.26E-28,-2.27E-29,7288.6419,2.25E-05,-0.006565058,-0.00040509
5.210253,417920.63,333304.61,237224.11,142872.58,63443.468,421209.91,337300.33,241326.25,146528.57,66148.15,-2.92E-27,1.90E-29,7288.6408,2.30E-05,-0.007487591,-0.000412048
5.220253,415841.78,331933.14,237045.94,143866.63,65081.681,419188.04,335970,241184.45,147563.72,67840.126,-3.00E-27,5.04E-29,7288.6411,2.28E-05,-0.00851086,-0.000406703
5.230253,415513.19,331697.01,236975.38,143964.62,65281.061,418938.5,335827.02,241210.43,147750.96,68110.823,-3.87E-27,1.87E-29,7288.6407,2.29E-05,-0.009624713,-0.000405955
5.240253,417819.2,333168.81,237070.87,142723.02,63322.907,421349.09,337463.16,241486.25,146664.32,66243.322,3.20E-27,-2.08E-29,7288.6392,2.34E-05,-0.010818235,-0.000412098
5.250253,415432.27,331590.12,236855.53,143847.85,65186.399,419047.8,335954.22,241335.62,147857.86,68186.832,3.33E-27,1.55E-29,7288.6391,2.33E-05,-0.012080068,-0.000405992
5.260253,415737.49,331757,236810.97,143605.65,64847.276,419461.65,336260.34,241438.08,147748.37,67944.688,-5.71E-27,5.61E-29,7288.6381,2.35E-05,-0.01339689,-0.000406924
5.270253,417602.62,332935.65,236863.19,142567.59,63231.188,421449.26,337621.82,241689.25,146883.3,66435.73,4.30E-28,-1.15E-29,7288.6364,2.40E-05,-0.014755236,-0.000411948
