X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm)
16.000253,372628.18,324947.85,274394.66,222917.87,172466.77,366142.52,317941.21,267142.48,215695.27,165548.51,10,5.0404099,8054.5978
16.010253,366454.61,321222.43,273577.57,225142.82,177540.96,360323.47,314657.9,266807.15,218393.75,171040.23,10,5.0566225,8054.5948
16.020253,370894.21,324003.51,274383.14,223874.12,174317.47,364416.74,317025.71,267168.86,216686.83,167420.23,10,5.0728591,8054.5879
16.030253,365037.75,320483.6,273621.59,225994.45,179144.92,358906.18,313933.05,266871.44,219263.76,172652.46,10,5.0891196,8054.5806
16.040253,368364.02,322577.78,274257.58,225100.15,176802.19,361966.35,315712.71,267170.65,218036.46,170006.44,10,5.1054042,8054.5699
16.050253,364077,320025.35,273737.79,226700.29,180398.85,357933.32,313471.94,266988.64,219969.05,173898.84,10,5.1217127,8054.5587
16.060253,365343.33,320858.79,274058.61,226480.72,179663.06,359082.13,314169.57,267165.07,219606.17,173030.41,10,5.1380451,8054.545
16.070253,363299.11,319676.69,273876.84,227338.61,181501.08,357152.93,313128.74,267136.38,220614.52,175001.88,10,5.1544015,8054.5305
16.080253,362203.38,319071.66,273835.79,227881.25,182593.48,356114.29,312594.32,267171.91,221232.18,176160.22,10,5.1707819,8054.5147
16.090253,362424.09,319263.84,273989.32,227990.06,182655.6,356306.46,312754.86,267292.14,221307.44,176189.92,10,5.1871861,8054.4977
16.100253,359288.78,317421.86,273634.34,229180.09,185313,353385.1,311165.59,267207.48,222764.32,179089.7,10,5.2036143,8054.4805
16.110253,361247.11,318660.14,274038.72,228712.2,184009.92,355204.2,312241.14,267438.04,222123.88,177627.62,10,5.2200663,8054.4618
16.120253,356848.37,316054.69,273485.48,230290.83,187620.85,351124.31,310007.17,267280.36,224093.7,181597.04,10,5.2365423,8054.4437
16.130253,359683.48,317813.11,274008.17,229525.05,185620.09,353766.71,311540.87,267563.26,223089.92,179376.89,10,5.2530421,8054.4243
16.140253,355001.58,315036.95,273401.99,231171.37,189419.78,349438.8,309172.76,267389.96,225164.84,183571.88,10,5.2695658,8054.406
