X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm)
17.210253,500000,471752.21,220634.32,6224.5213,0.000259185,500000,474737.46,226486.1,7667.5747,-0.00044523,-9.4705777,-2.57E-30,6175.6469
17.220253,500000,471904.96,220898.53,6279.3165,0.000221007,500000,474626.2,226210.83,7581.8245,-0.000500061,-9.4741732,-7.58E-30,6175.1548
17.230253,500000,472064.69,221167.09,6332.7901,0.000215853,500000,474516.68,225929.24,7491.9834,-0.000516803,-9.4777579,-4.89E-30,6174.6642
17.240253,500000,472224.27,221439.33,6388.1785,0.000247054,500000,474403.96,225644.55,7402.669,-0.000491806,-9.4813317,-2.76E-30,6174.1751
17.250253,500000,472377.06,221714.33,6448.4354,0.000304902,500000,474283.59,225360.06,7318.1121,-0.00043439,-9.4848947,-1.40E-29,6173.6874
17.260253,500000,472518.77,221990.52,6515.067,0.000369744,500000,474153.47,225078.68,7240.9469,-0.00036389,-9.4884468,2.17E-29,6173.2012
17.270253,500000,472648.59,222265.52,6587.4133,0.000418208,500000,474014.91,224802.71,7171.5176,-0.000303543,-9.491988,3.87E-30,6172.7165
17.280253,500000,472769.16,222536.18,6662.6002,0.000430598,500000,473872.65,224533.69,7107.9012,-0.000273151,-9.4955183,-1.14E-29,6172.2332
17.290253,500000,472885.54,222798.92,6736.1875,0.000397142,500000,473733.82,224272.58,7046.6328,-0.000282812,-9.4990377,2.85E-30,6171.7514
17.300253,500000,473003.4,223050.2,6803.3259,0.000321118,500000,473606.09,224020.09,6983.9067,-0.000329705,-9.5025461,-1.53E-30,6171.271
17.310253,500000,473126.97,223286.96,6860.0716,0.000217879,500000,473495.66,223777.04,6916.8811,-0.000398961,-9.5060436,9.86E-30,6170.792
17.320253,500000,473257.55,223506.99,6904.4381,0.000110068,500000,473405.65,223544.72,6844.6686,-0.000468363,-9.5095302,8.03E-30,6170.3144
17.330253,500000,473392.86,223709,6936.8368,2.06E-05,500000,473335.49,223325.05,6768.693,-0.000515395,-9.5130057,2.07E-29,6169.8383
17.340253,500000,473527.64,223892.48,6959.7584,-3.47E-05,500000,473281.42,223120.49,6692.2962,-0.000524376,-9.5164703,2.13E-30,6169.3635
17.350253,500000,473655.14,224057.41,6976.8036,-5.14E-05,500000,473238.02,222933.7,6619.7353,-0.000491406,-9.5199238,7.64E-30,6168.8902
17.360253,500000,473769.13,224203.83,6991.3876,-3.83E-05,500000,473200.15,222767.16,6554.901,-0.000425564,-9.5233663,-1.01E-30,6168.4183
17.370253,500000,473865.73,224331.49,7005.5391,-1.38E-05,500000,473164.81,222622.64,6500.1681,-0.000346007,-9.5267978,-4.68E-30,6167.9479
17.380253,500000,473944.47,224439.68,7019.1714,-4.72E-07,500000,473132.2,222500.98,6455.7262,-0.000275905,-9.5302182,-7.49E-31,6167.479
17.390253,500000,474008.37,224527.18,7030.0477,-1.74E-05,500000,473105.8,222401.97,6419.5832,-0.000235156,-9.5336276,1.12E-30,6167.0114
17.400253,500000,474062.88,224592.56,7034.4508,-7.42E-05,500000,473091.34,222324.61,6388.2304,-0.00023414,-9.5370258,-6.07E-31,6166.5454
17.410253,500000,474114.11,224634.54,7028.3516,-0.000167917,500000,473094.95,222267.47,6357.765,-0.000270488,-9.540413,2.07E-31,6166.0808
17.420253,500000,474166.91,224652.33,7008.7116,-0.000283545,500000,473121.28,222229.2,6325.1263,-0.000329871,-9.5437891,-7.68E-31,6165.6176
17.430253,500000,474223.31,224646.01,6974.5026,-0.000398926,500000,473171.88,222208.87,6289.0555,-0.000390552,-9.547154,6.04E-31,6165.1559
17.440253,500000,474281.91,224616.57,6927.1097,-0.000491332,500000,473244.63,222206.14,6250.474,-0.000430245,-9.5505078,3.86E-30,6164.6957
17.450253,500000,474338.37,224565.9,6869.9877,-0.000544451,500000,473334.19,222221.18,6212.1609,-0.000433113,-9.5538504,3.00E-30,6164.2369
17.460253,500000,474386.85,224496.42,6807.6925,-0.000553255,500000,473433.53,222254.34,6177.8436,-0.00039469,-9.5571818,6.29E-30,6163.7797
17.470253,500000,474421.88,224410.78,6744.6089,-0.000525353,500000,473535.79,222305.69,6151.002,-0.000323213,-9.5605021,1.35E-29,6163.324
17.480253,500000,474440.17,224311.4,6683.7807,-0.000478415,500000,473636.11,222374.65,6133.7617,-0.000237008,-9.5638111,-1.64E-29,6162.8698
17.490253,500000,474441.68,224200.23,6626.1968,-0.000434557,500000,473732.76,222459.64,6126.2088,-0.000158797,-9.5671089,-1.41E-29,6162.4172
17.500253,500000,474429.79,224078.65,6570.7299,-0.00041342,500000,473827.26,222558.17,6126.3191,-0.00010871,-9.5703955,-1.82E-29,6161.9661
17.510253,500000,474410.35,223947.66,6514.7328,-0.000426086,500000,473923.53,222667.01,6130.5143,-9.82E-05,-9.5736708,9.74E-31,6161.5166
17.520253,500000,474390.08,223808.12,6455.098,-0.000471674,500000,474026.21,222782.64,6134.6788,-0.000126484,-9.5769349,1.05E-29,6161.0687
17.530253,500000,474374.69,223661.22,6389.4554,-0.000537649,500000,474138.82,222901.72,6135.3329,-0.000181232,-9.5801877,4.40E-30,6160.6223
17.540253,500000,474367.35,223508.76,6317.1314,-0.000603739,500000,474262.29,223021.47,6130.6009,-0.000242203,-9.5834292,3.11E-29,6160.1775
17.550253,500000,474367.99,223353.31,6239.5688,-0.000648222,500000,474394.23,223139.81,6120.6723,-0.000287739,-9.5866594,7.61E-31,6159.7343
17.560253,500000,474373.55,223198.21,6160.0772,-0.000654632,500000,474529.28,223255.35,6107.61,-0.000301447,-9.5898783,-9.76E-30,6159.2926
