X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm)
38.310253,291165.84,277111.67,262979.89,248811.01,234645.53,143660.84,131755.14,120151.81,108883.3,97982.107,-30,82.40418,2619.8436
38.320253,290895.59,276977.17,262983.04,248952.51,234924.93,143413.02,131636.82,120156.99,109004.96,98212.211,-30,82.449038,2619.8287
38.330253,290624.82,276841.58,262984.48,249091.69,235201.4,143167.8,131520.39,120163.42,109127.34,98442.63,-30,82.493897,2619.8171
38.340253,290353.22,276704.73,262984.2,249228.69,235475.25,142924.9,131405.72,120171.11,109250.57,98673.625,-30,82.538759,2619.809
38.350253,290080.46,276566.45,262982.2,249363.66,235746.8,142683.99,131292.63,120180.04,109374.79,98905.452,-30,82.583622,2619.8043
38.360253,289806.23,276426.6,262978.5,249496.81,236016.42,142444.75,131180.95,120190.19,109500.11,99138.363,-30,82.628487,2619.803
38.370253,289530.23,276285.05,262973.14,249628.34,236284.47,142206.81,131070.48,120201.51,109626.63,99372.599,-30,82.673353,2619.8051
38.380253,289252.18,276141.69,262966.19,249758.48,236551.37,141969.79,130961.02,120213.95,109754.45,99608.39,-30,82.718221,2619.8107
38.390253,288971.83,275996.43,262957.71,249887.48,236817.52,141733.32,130852.33,120227.44,109883.64,99845.948,-30,82.763091,2619.8198
38.400253,288688.95,275849.2,262947.82,250015.6,237083.35,141497,130744.18,120241.89,110014.26,100085.47,-30,82.807962,2619.8323
38.410253,288403.33,275699.95,262936.61,250143.11,237349.29,141260.43,130636.33,120257.19,110146.35,100327.13,-30,82.852835,2619.8481
38.420253,288114.81,275548.67,262924.22,250270.3,237615.77,141023.22,130528.52,120273.25,110279.94,100571.07,-30,82.897709,2619.8674
38.430253,287823.24,275395.37,262910.8,250397.45,237883.21,140784.99,130420.5,120289.94,110415.01,100817.41,-30,82.942585,2619.89
38.440253,287528.54,275240.06,262896.5,250524.84,238152.03,140545.36,130312.02,120307.12,110551.56,101066.26,-30,82.987463,2619.916
38.450253,287230.64,275082.8,262881.5,250652.76,238422.63,140303.97,130202.83,120324.65,110689.56,101317.67,-30,83.032342,2619.9453
38.460253,286929.52,274923.68,262865.97,250781.49,238695.4,140060.48,130092.69,120342.39,110828.93,101571.68,-30,83.077223,2619.9779
38.470253,286625.19,274762.8,262850.1,250911.31,238970.68,139814.56,129981.35,120360.16,110969.61,101828.29,-30,83.122105,2620.0136
38.480253,286317.72,274600.29,262834.09,251042.48,239248.81,139565.93,129868.6,120377.82,111111.49,102087.46,-30,83.166989,2620.0526
38.490253,286007.22,274436.29,262818.14,251175.25,239530.09,139314.33,129754.2,120395.2,111254.46,102349.13,-30,83.211874,2620.0947
38.500253,285693.81,274270.97,262802.45,251309.84,239814.77,139059.52,129637.98,120412.13,111398.39,102613.19,-30,83.256761,2620.1398
38.510253,285377.67,274104.54,262787.22,251446.47,240103.08,138801.32,129519.74,120428.43,111543.12,102879.52,-30,83.301649,2620.188
38.520253,285059.04,273937.2,262772.65,251585.34,240395.2,138539.57,129399.33,120443.95,111688.48,103147.95,-30,83.346539,2620.2392
38.530253,284738.16,273769.17,262758.94,251726.6,240691.26,138274.15,129276.6,120458.53,111834.3,103418.28,-30,83.39143,2620.2932
